candidate_id,slot_id,macro_region,city,country,query,role,selected,status,attempts,reason,protocol_frozen_utc,protocol_sha256,started_utc,completed_utc,geocode_lat,geocode_lon,geocode_display_name,geocode_osm_type,geocode_osm_id,geocode_source_utc,osm_base_timestamps_utc,overpass_url,n_raw_nodes,n_raw_directed_edges,n_nodes,n_edges,selfloops_removed,isolates_removed,is_connected,crs,raw_file_bytes,simple_file_bytes,raw_file_sha256,simple_file_sha256,topology_sha256,coordinate_sha256,python_version,osmnx_version,networkx_version,shapely_version,geopandas_version,script_sha256,license,license_url,attribution
ER61P,ER61,North America,Calgary,Canada,"Calgary, Canada",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:48:37+00:00,2026-09-05T08:49:17+00:00,51.0456064,-114.057541,"Calgary, Alberta, Canada",relation,3227127,2026-09-05T08:48:39.921464+00:00,2026-09-05T08:47:51Z,https://overpass-api.de/api,18363,45039,18363,26621,249,0,True,epsg:4326,10776624,6539080,38e5df10f1202b0715e00a2cf3d2b24c98a7887b76f68305bd3ae812abc4ee8b,2cd0ee64befa8284a4b4fe9913f84fd655fc1c4e2b55dc5df2db94e486dd449b,25d330713632567598e7f1c04056545d51571c8e2fd6b4d16264ed1d21abc310,6e4e0732eaf3666848bac404a186eb858ceae74bf4afc511b1e474ba89605b9d,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER61F,ER61,North America,Edmonton,Canada,"Edmonton, Canada",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER71P,ER71,Oceania,Adelaide,Australia,"Adelaide, Australia",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:49:36+00:00,2026-09-05T08:50:27+00:00,-34.9281805,138.5999312,"Adelaide, South Australia, Australia",relation,11381689,2026-09-05T08:49:39.277687+00:00,2026-09-05T08:47:51Z,https://overpass-api.de/api,29777,72297,29777,43041,71,0,True,epsg:4326,14901178,9216994,705d6f41b6c7b631a3d58c6816231522f9e79c9126f537262f61302af21fdc9b,35eafb65e1e568deb9aebaad4714710a0ad7023f35210c3185dfa85eb1dd69bc,35f1940b1c647c214e29327130f1b0674a087e0522991936fa0ed125efb1de8f,a9bc666c21cdf84fd6ca29ce9e72cd4d30ef9410aae8dcba906db8cf5ad05eb6,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER71F,ER71,Oceania,Canberra,Australia,"Canberra, Australia",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER12P,ER12,Africa,Kigali,Rwanda,"Kigali, Rwanda",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:50:47+00:00,2026-09-05T08:51:30+00:00,-1.9534357,30.1140089,"City of Kigali, Rwanda",relation,1708283,2026-09-05T08:50:50.150250+00:00,2026-09-05T08:49:51Z,https://overpass-api.de/api,16227,42645,16227,21773,7,0,True,epsg:4326,9929369,5166061,e2205febcd43337b50323d3ce904ebc41356f5a175c22fe7ec9bd38263c9daa8,42104c9c8754fbe1db5a35c91cdca73b7c8354e0fec3c32bde44e3a3e2bab4a4,e8e37b18154499ff5662c10a361753ec1f58db69e4db745246cbfbec0c16e043,bf60a47f9e24c469b1ac85024bae3094976aa44f00af3b842917ef3ac6549c97,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER12F,ER12,Africa,Douala,Cameroon,"Douala, Cameroon",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER22P,ER22,Asia,Sapporo,Japan,"Sapporo, Japan",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:51:50+00:00,2026-09-05T08:53:07+00:00,43.061936,141.3542924,"Sapporo, Ishikari Subprefecture, Hokkaido Prefecture, Hokkaido Region, Japan",relation,4085749,2026-09-05T08:51:54.671172+00:00,2026-09-05T08:50:51Z,https://overpass-api.de/api,48701,150903,48701,77596,29,0,True,epsg:4326,21341375,11474738,03f764faacb18b6ceae1c2b0ba32b13b053c23ad6d29a38b43a59fb0472db259,06effe40ba8c7594cedfe2056f387a7e408b9055203dfb5d7509de085424ccda,85ebc33c834dc400805760301250c4e641724f1fc5cb2b6bb787816c4b440690,d39276a77a0918dedc725fd6fa4d31345b6916d930d01c370dc7943cd063e8c4,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER22F,ER22,Asia,Busan,South Korea,"Busan, South Korea",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER32P,ER32,Europe,Munich,Germany,"Munich, Germany",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:53:28+00:00,2026-09-05T08:54:40+00:00,48.1371079,11.5753822,"Munich, Bavaria, Germany",relation,62428,2026-09-05T08:53:31.158748+00:00,2026-09-05T08:51:51Z,https://overpass-api.de/api,16338,42011,16338,23849,158,0,True,epsg:4326,11134749,6533343,6b166868fac6d37382893b409628f4e1b91d5ae6fad52cfa2f3c5901e49b8cf9,0b30374857d23a167defa7d94fce5eea9c633429b09d86576565efed1133296a,b5dea33b42d172098fa74ca5d7562dc89522ecf6ffe2c645108a95c0cd96bf33,554ba5dc437b6c0c3b0afa687671081d81b8e8a9a107c15e181103329c06908a,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER32F,ER32,Europe,Budapest,Hungary,"Budapest, Hungary",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER42P,ER42,Latin America,Cordoba,Argentina,"Cordoba, Argentina",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:55:00+00:00,2026-09-05T08:55:39+00:00,-31.4166867,-64.1834193,"Cordoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina",relation,5167559,2026-09-05T08:55:03.804400+00:00,2026-09-05T08:53:59Z,https://overpass-api.de/api,30788,83885,30788,49140,76,0,True,epsg:4326,12908876,7908232,4f2908f85b2fcb011e0117387e77c5a6e8a787cab2422274cd906d40e943686a,6bbc2a50d8f6d3697229cf1b704f86ec955c02eeef867ee5b35e8626c6d12148,36d4e23fcd0bd527af711d2f75669315815603ab6519bdde301a47f0bb75fffd,5355becb2ae3a596bd4459fb86d8ecfbcb8d20bf3aa9728b7d6e15d459041a86,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER42F,ER42,Latin America,Rosario,Argentina,"Rosario, Argentina",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER52P,ER52,Middle East,Amman,Jordan,"Amman, Jordan",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:55:58+00:00,2026-09-05T08:57:13+00:00,31.9515694,35.9239625,"Amman, Amman Sub-District, Amman Qasabah District, Amman, 11110, Jordan",node,1643504896,2026-09-05T08:56:01.916291+00:00,2026-09-05T08:55:00Z,https://overpass-api.de/api,43301,105915,43301,62072,21,0,True,epsg:4326,20606552,12532342,f22d1ab7a933e1dfbb7daa53718a792b64e07105f91e2bf5a73cdbd20e39e5df,71d459644a3128c3777e4593c03fa3b7d924aa45806b63e9a16b1d484f097a98,264fefdf66aa896f08d6c47a910e5d0854976064d0f7ef263e458f89944366b5,882c939bdfdc779ba385719bd742c8a46433d0fb839b71a54896bf2f0a4fbd33,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER52F,ER52,Middle East,Beirut,Lebanon,"Beirut, Lebanon",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER62P,ER62,North America,Minneapolis,United States,"Minneapolis, United States",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:57:33+00:00,2026-09-05T08:58:31+00:00,44.9772995,-93.2654692,"Minneapolis, Hennepin County, Minnesota, United States",relation,136712,2026-09-05T08:57:36.207828+00:00,2026-09-05T08:56:06Z,https://overpass-api.de/api,19301,54953,19301,30730,53,0,True,epsg:4326,13445804,7862634,118ed7f299d57d69cf526e357e4df416506de5fd08e806f54318b4dc4d586724,dc3ca1a5e0bb3047ab419149fe84364d5db6e05e3fa3c34abdbbda531fef9a69,73c3bf2af2b033d12bc51fefab1199b1630f48ad8415f75e7c0870563bb16590,0989bbbe0fc735c76fd977502748d9c233eb0acac595d3904c6056926bb1c4ca,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER62F,ER62,North America,St. Louis,United States,"St. Louis, United States",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER72P,ER72,Oceania,Perth,Australia,"Perth, Australia",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:58:50+00:00,2026-09-05T08:59:45+00:00,-31.9558967,115.8605784,"Perth, Western Australia, 6000, Australia",node,29277817,2026-09-05T08:58:53.012083+00:00,2026-09-05T08:58:06Z,https://overpass-api.de/api,30045,66185,30045,44315,102,0,True,epsg:4326,13881200,9442076,9d5c9ae5d222c8f379a5efc7fa00963aafba8330f1aeb5b9e0b8464da4a8053d,fa064c741ef9d87d55193a15af2637278aba5640ebc47eba1860bd7a6bd1f67a,deff89e22792474c527a92935c827be90818589c303604c14ed55d0b22b23172,10f56d6b82608d676cebb4510342411672964c6478ead4371c2d157a03b5bc55,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER72F,ER72,Oceania,Hobart,Australia,"Hobart, Australia",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER13P,ER13,Africa,Cape Town,South Africa,"Cape Town, South Africa",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T09:00:05+00:00,2026-09-05T09:00:48+00:00,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",node,32675806,2026-09-05T09:00:13.837267+00:00,2026-09-05T08:59:05Z,https://overpass-api.de/api,12145,30682,12145,17615,41,0,True,epsg:4326,6896964,4136641,98f187e06b99035562fba40a6fa1a4218490d28ac0c5a0994a07563e46da0464,5168788bf98088964ea0811846db2e9e419e492f81ce7f0f9800ef8848327121,6ee9116801bf8b5127d79fb485b871cd0d91b864ed96ecd88205c2bb5cc0ec11,a53ad30d4bf4a227e49f444bc448617439844d441f12465778edbadfa36ac597,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER13F,ER13,Africa,Lusaka,Zambia,"Lusaka, Zambia",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER23P,ER23,Asia,Colombo,Sri Lanka,"Colombo, Sri Lanka",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T09:01:06+00:00,2026-09-05T09:01:49+00:00,6.9388614,79.8542005,"Colombo, Colombo District, Western Province, Sri Lanka",relation,16132,2026-09-05T09:01:09.817800+00:00,2026-09-05T09:00:06Z,https://overpass-api.de/api,23540,52152,23540,27623,28,0,True,epsg:4326,10205878,5649203,cace758d829691a70d3903eb561c1f264badfb9b7a174a8754770570460f3c64,6d03770b5f0d352b5f2dadaa7e507b24f58af441f9d6418094854f7c26ef27a1,be3222d1fc3f865932d4ce25b8bb92467897e86d4e5014475cd8cb50d4d5de46,df9068b5d7b12fbb71619fcf48e1da6ef8e23183388cd0ccca9cee5df0bbb429,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER23F,ER23,Asia,Kathmandu,Nepal,"Kathmandu, Nepal",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER33P,ER33,Europe,Valencia,Spain,"Valencia, Spain",primary,true,ACQUIRED,2,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T09:03:30+00:00,2026-09-05T09:04:12+00:00,39.4697065,-0.3763353,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",relation,344953,2026-09-05T09:02:11.961252+00:00,2026-09-05T09:02:11Z,https://overpass-api.de/api,23969,46806,23969,36321,21,0,True,epsg:4326,10203906,7859065,5775d4b464b55df8f03a5d0302cc6a576abca3aedcc89604622fb42f288875cf,0b5f472c17ccbe8435fda546f7b590f654da8d373f4e2a7f5fa3c795f0f5b539,64e2e349c627898fc7a7b401c8ed5d45aadabef08701e8594827d16f1aad5fd9,70441d183ddcb4729d19d4a7b61240ab88cc530923cc45712eacb84311034760,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER33F,ER33,Europe,Porto,Portugal,"Porto, Portugal",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER43P,ER43,Latin America,Recife,Brazil,"Recife, Brazil",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T09:04:31+00:00,2026-09-05T09:05:20+00:00,-8.0584933,-34.8848193,"Recife, Pernambuco, Northeast Region, Brazil",relation,303585,2026-09-05T09:04:33.745146+00:00,2026-09-05T09:03:10Z,https://overpass-api.de/api,27394,70451,27394,38958,34,0,True,epsg:4326,13533707,7785131,5cbeba3318d2f299e5c02040217a18149a7cc6d5d7a0d300608e7e3173e282d0,f67bbe2fbe7b1d4a354c611a19063b434a1e10dbeab08c54378aa7d449a36fde,0ed97fdb245bae2223851b3b33ed7b3816cbea2160fc52f4580a307199dcd210,341c0de3301d120f2e2226ece2e89f3e5dc3c528831222f18099a00914413c0f,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER43F,ER43,Latin America,Salvador,Brazil,"Salvador, Brazil",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
