city,country,macro_region,replicate,swap_fraction,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null,pc_geometry_null_ci_low,pc_geometry_null_ci_high,geometry_null_gap,road_minus_geometry,geometry_fraction_of_road_gap,remaining_fraction_after_geometry,threshold_boundary_hit,runtime_seconds,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,target_swaps,target_swap_fraction,topology_rejects,length_rejects,crossing_rejects,degree_max_abs_drift,length_bin_tvd,length_mean_ratio,length_median_ratio,stale_index_guard_calls,max_attempts,status,full_connectivity_metrics,notes,original_connected_components,null_connected_components,delta_connected_components,original_bridge_edge_share,null_bridge_edge_share,delta_bridge_edge_share,original_articulation_point_share,null_articulation_point_share,delta_articulation_point_share,original_largest_biconnected_node_fraction,null_largest_biconnected_node_fraction,delta_largest_biconnected_node_fraction,original_cyclomatic_density,null_cyclomatic_density,delta_cyclomatic_density,original_dual_endpoint_degree_mean,null_dual_endpoint_degree_mean,delta_dual_endpoint_degree_mean,original_dual_endpoint_degree_cv,null_dual_endpoint_degree_cv,delta_dual_endpoint_degree_cv,original_angular_entropy,null_angular_entropy,delta_angular_entropy,original_straight_angle_share_10deg,null_straight_angle_share_10deg,delta_straight_angle_share_10deg,original_right_angle_share_10deg,null_right_angle_share_10deg,delta_right_angle_share_10deg,null_mobility_index,source_round
Rome,Italy,Europe,0,0.005,25843,37062,0.4705329710788918,0.675,0.2044670289211081,0.675,0.65,0.725,0.2044670289211082,0.0,1.0000000000000009,0.0,False,6.8935158252716064,185,93296,0.0019829360315554,0.0049916356375802,185,0.005,4422,85524,3165,0,0.0,1.0067105217599936,0.999883373226348,562,166500,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,3.0,2.0,0.1150234741784037,0.1149695105498893,-5.396362851436965e-05,0.1444491738575243,0.1444878690554502,3.86951979259309e-05,0.8175908369771311,0.8167395426227605,-0.0008512943543705,0.4341601207290175,0.4342375111248694,7.73903958518618e-05,4.250499163563758,4.250499163563758,0.0,0.2398692961728132,0.2397883431145123,-8.095305830091437e-05,0.8671017823357599,0.8719517198317295,0.0048499374959696,0.2161338648655511,0.213188431556763,-0.002945433308788,0.2980981641825153,0.2942386308813447,-0.0038595333011705,0.0017998367552484,R67_reused_same_algorithm
Hong Kong,China,Asia,0,0.005,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.625,0.625,0.725,0.159822463386366,0.05,0.7617033029112319,0.2382966970887682,False,2.693803548812866,66,38894,0.0016969198333933,0.0049830124575311,66,0.005,1866,35468,1494,0,0.0,1.0015988177148465,1.0004309061264285,194,59400,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,3.0,2.0,0.0914307285768214,0.0919592298980747,0.0005285013212533,0.1147758716104039,0.1166574432761483,0.0018815716657443,0.8293303818483675,0.8177089097952407,-0.0116214720531268,0.466076369673492,0.4662977310459325,0.0002213613724404,4.299433748584372,4.299433748584372,0.0,0.2304315171737292,0.2303428756568015,-8.864151692766775e-05,0.9033905113328412,0.9069674498924748,0.0035769385596335,0.2017349769957503,0.1993818705440241,-0.0023531064517261,0.2531872300073754,0.2502019457029466,-0.0029852843044287,0.0032781249079875,R67_reused_same_algorithm
Kampala,Uganda,Africa,0,0.005,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.825,0.825,0.85,0.2505478606026119,0.0,1.0,0.0,False,9.238775730133057,207,127880,0.0016187050359712,0.005001087192868,207,0.005,4493,119327,3853,0,0.0,1.00687285229114,1.0001950613702926,635,186300,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,19.0,18.0,0.3796719093522746,0.3800584668164576,0.000386557464183,0.360620146407994,0.3602026331171542,-0.0004175132908397,0.553483452556573,0.5490299774542823,-0.0044534751022907,0.1521140089626186,0.1526150249116263,0.0005010159490076,3.4815781208475274,3.4815781208475274,0.0,0.2969993641450743,0.2972274500560905,0.0002280859110161,0.8616687169277812,0.8655341364835385,0.0038654195557572,0.2002970035945762,0.1988536216396264,-0.0014433819549498,0.2709949620418303,0.2683718929121619,-0.0026230691296684,0.0018842023568127,R67_reused_same_algorithm
Buenos Aires,Argentina,Latin America,0,0.005,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.575,0.55,0.575,0.1943842622218158,0.0,1.0000000000000004,0.0,False,10.218411922454834,187,150335,0.0012438886486846,0.0049903928266438,187,0.005,9642,135647,4859,0,0.0,1.0020133474702506,1.0000531186906056,504,168300,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,1.0,0.0,0.0265531596925704,0.0264997865072587,-5.337318531169893e-05,0.0426023472876813,0.0425561408372608,-4.620645042047872e-05,0.9508363367526108,0.9508363367526108,0.0,0.7314943166065982,0.7314943166065982,0.0,5.254643467122118,5.254643467122118,0.0,0.185733361866232,0.1856657007492247,-6.766111700731714e-05,0.6474700976263792,0.6596417774600813,0.0121716798337021,0.298381936191608,0.2941666412733237,-0.0042152949182842,0.5039054961351332,0.497089922905811,-0.0068155732293222,0.0033288753738629,R67_reused_same_algorithm
Montevideo,Uruguay,Latin America,0,0.005,13761,22450,0.4069683126676818,0.6,0.1930316873323181,0.575,0.575,0.625,0.1680316873323181,0.025,0.8704875849892945,0.129512415010706,False,5.36918568611145,112,75043,0.0014924776461495,0.0049888641425389,112,0.005,4357,67790,2784,0,0.0,1.0039928560937157,1.000045334215364,338,100800,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,2.0,1.0,0.0451224944320712,0.0449888641425389,-0.0001336302895322,0.0685269965845505,0.0683089891722985,-0.000218007412252,0.9209359784899354,0.9212266550396048,0.0002906765496692,0.6314948041566747,0.631567473294092,7.266913741732495e-05,4.914387527839644,4.914387527839644,0.0,0.2042596925626517,0.2042416328275517,-1.805973509991232e-05,0.7065610102296025,0.7159530158651332,0.0093920056355306,0.283101297947937,0.2795120005800884,-0.0035892973678485,0.4549706330215358,0.4496229424987311,-0.0053476905228047,0.0027101868253767,R67_reused_same_algorithm
Chennai,India,Asia,0,0.005,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.75,0.725,0.75,0.251551080498449,-0.025,1.110350389611897,-0.1103503896118967,False,11.927742958068848,284,155734,0.0018236223303838,0.0049929676511954,284,0.005,6670,143859,4921,0,0.0,1.003075725618524,1.0002939012308356,825,255600,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,9.0,8.0,0.1786040787623066,0.1783755274261603,-0.0002285513361462,0.2087220808594854,0.2082979926491376,-0.0004240882103477,0.747973800772783,0.748798416737348,0.000824615964565,0.3401423051550278,0.3403307888040712,0.0001884836490434,4.012447257383967,4.012447257383967,0.0,0.2492139159962125,0.2493453344068181,0.0001314184106055,0.7115109015923565,0.7214828397111028,0.0099719381187463,0.26680337206653,0.2633682107366318,-0.0034351613298981,0.4635101740364898,0.4567187198766146,-0.0067914541598751,0.0030965441599398,R67_reused_same_algorithm
Dakar,Senegal,Africa,0,0.005,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.7,0.675,0.7,0.2399622404027691,0.0,1.0000000000000002,0.0,False,9.26554822921753,216,122797,0.0017590006270511,0.0050082311205917,216,0.005,6094,112395,4092,0,0.0,1.0027094081674264,1.000145510486964,607,194400,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,2.0,1.0,0.0542558371397435,0.0542790233949314,2.3186255187927773e-05,0.0760201229737283,0.0762297372833985,0.0002096143096702,0.912625768585802,0.9119969256567916,-0.0006288429290106,0.5067775293460034,0.5068124650642817,3.49357182782839e-05,4.347469220246238,4.347469220246238,0.0,0.1928758932983546,0.1928377275440564,-3.816575429824165e-05,0.7152148836536779,0.7249386711531058,0.0097237874994279,0.2731384198568549,0.2698637881195934,-0.0032746317372615,0.4488485456155134,0.4420752845302983,-0.0067732610852151,0.0029476176879676,R67_reused_same_algorithm
Singapore,Singapore,Asia,0,0.005,13478,19430,0.4668204315025708,0.675,0.2081795684974292,0.675,0.675,0.675,0.2081795684974292,0.0,1.0000000000000002,0.0,False,3.251999616622925,97,37728,0.0025710347752332,0.0049922799794132,97,0.005,1704,34546,1381,0,0.0,1.002100522610582,1.0001737956614292,280,87300,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,2.0,1.0,0.1154915079773546,0.1154915079773546,0.0,0.1443092446950586,0.1448286095859919,0.0005193648909333,0.8165899985161003,0.8165158035316813,-7.419498441896266e-05,0.4416827422466241,0.4417569372310432,7.419498441907368e-05,4.284302624806999,4.284302624806999,0.0,0.2380462675510191,0.2380462675510191,0.0,0.8637402228593242,0.8685544216706748,0.0048141988113505,0.231031665945894,0.2273797510931718,-0.0036519148527221,0.2900869732353082,0.2874921916294267,-0.0025947816058815,0.0016649221636152,R67_reused_same_algorithm
Miami,United States,North America,0,0.005,17983,28736,0.4188310741874362,0.6,0.1811689258125637,0.625,0.6,0.625,0.2061689258125638,-0.025,1.137992759452937,-0.1379927594529366,False,4.50200343132019,144,53179,0.0027078357998458,0.005011135857461,144,0.005,3052,47971,2012,0,0.0,1.0012372161896952,1.0001847887686044,351,129600,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,1.0,0.0,0.0441606347438752,0.0441258351893095,-3.479955456570094e-05,0.0657287438136017,0.0659511761107712,0.0002224322971695,0.923316465550798,0.9229828171050436,-0.0003336484457542,0.5980092309403325,0.5980092309403325,0.0,4.775194877505568,4.775194877505568,0.0,0.2123743709852892,0.2123528117834506,-2.155920183857796e-05,0.7058124458072349,0.7147015664100634,0.0088891206028285,0.2735752805713453,0.2704999271243259,-0.0030753534470193,0.4728902492348054,0.4675265996210465,-0.0053636496137589,0.002559857708728,R67_reused_same_algorithm
Ho Chi Minh City,Vietnam,Asia,0,0.005,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.725,0.725,0.775,0.2190502853136501,0.0,1.0000000000000002,0.0,False,11.283889532089232,260,149694,0.0017368765615188,0.0050040417260094,260,0.005,6303,138224,4907,0,0.0,1.0050497491043118,1.0005233354981922,787,234000,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,16.0,15.0,0.2729319835251549,0.2725855498672004,-0.0003464336579545,0.2755152473681609,0.274872732664459,-0.0006425147037018,0.6051500024712104,0.606706865022488,0.0015568625512776,0.2840162111402164,0.2843868927000444,0.000370681559828,3.952962007775511,3.952962007775511,0.0,0.2956177635843064,0.2957344026759202,0.0001166390916138,0.7631002195151251,0.7709431157714057,0.0078428962562806,0.2581163456482365,0.2546497361092176,-0.0034666095390188,0.4110171967203537,0.4060120357567141,-0.0050051609636395,0.0026943539531247,R67_reused_same_algorithm
