city,country,swap_fraction,n_replicates,n_edges,road_minus_geometry_mean,pc_geometry_null_std,accepted_swaps_per_edge_mean,acceptance_rate_mean,null_mobility_index_mean,length_bin_tvd_mean,degree_max_abs_drift_max,mean_abs_delta_connected_components,mean_abs_delta_bridge_edge_share,mean_abs_delta_articulation_point_share,mean_abs_delta_largest_biconnected_node_fraction,mean_abs_delta_cyclomatic_density,mean_abs_delta_dual_endpoint_degree_mean,mean_abs_delta_dual_endpoint_degree_cv,mean_abs_delta_angular_entropy,mean_abs_delta_straight_angle_share_10deg,mean_abs_delta_right_angle_share_10deg
Chicago,United States,0.01,3,21830,0.0,0.0,0.0099862574438845,0.0013576751367365334,0.0113976253088824,0.0,0.0,2.0,0.0001374255611543,0.0003770739064856,0.0009803921568627,0.0001508295625942,0.0,0.00010960086036514199,0.0283049411330846,0.009317878111754002,0.015322195415434664
Chicago,United States,0.02,3,21830,0.0,0.0,0.0200183234081539,0.0013100600958491334,0.020663897544191134,0.0,0.0,1.0,0.0004580852038479,0.000603318250377,0.0012066365007541,7.541478129713397e-05,0.0,0.00010123715421067175,0.05049743938691243,0.017021302326143798,0.028189453443865965
Dakar,Senegal,0.005,3,43129,0.0083333333333333,0.014433756729740593,0.0050082311205917,0.0016243999656156,0.004199162359157099,0.0,0.0,1.0,2.3186255187927773e-05,0.0002096143096702,0.0006288429290106,3.49357182782839e-05,0.0,4.8758300013755175e-05,0.009611824309075333,0.0033706307132723664,0.006474597604292201
Dakar,Senegal,0.01,3,43129,0.0166666666666666,0.014433756729740593,0.0099932759859955,0.0016640622621201667,0.008028476306981766,0.0,0.0,1.0,4.637251037584861e-05,3.493571827836717e-05,0.0003493571827836,3.49357182782839e-05,0.0,7.208150508628923e-05,0.0183570729212679,0.006783927638105167,0.0123127575528083
Dar es Salaam,Tanzania,0.005,3,29826,0.008333333333333333,0.014433756729740658,0.0049956413867095,0.0020686448880995,0.0022909247263001,0.0,0.0,9.0,0.0001676389727083,0.0004930082466833,0.0002240946575834,0.00040337038365,0.0,0.00022350835365880081,0.004903954024476866,0.0018833994224997667,0.0038008361839604334
Dar es Salaam,Tanzania,0.01,3,29826,0.016666666666666666,0.028867513459481315,0.0099912827734191,0.0020049623357145333,0.0044081450608756,0.0,0.0,10.0,0.00020116676725,0.0,0.0012997490139835,0.0004481893151667,0.0,0.00026819653937116666,0.0093057139053873,0.0041525553532224336,0.006642953987190568
Dar es Salaam,Tanzania,0.02,3,29826,0.025000000000000005,0.0,0.02001609334138,0.0019232516807180333,0.008572521705726366,0.0,0.0,17.0,0.0012070006035002,0.0006274650412334,0.0066780207959842,0.0007619218357833,0.0,0.00037839052163523337,0.017519344634322,0.008248381808176867,0.012264787805555934
Dubai,United Arab Emirates,0.005,3,22720,0.016666666666666666,0.014433756729740658,0.0050176056338028,0.0023868715772831332,0.002239367887577667,0.0,0.0,0.0,0.0002200704225352,0.0008903586873569,0.0134825744085473,0.0,0.0,1.2680239064283285e-05,0.0031564940983496333,0.0024773509628540666,0.0017643924008698998
Dubai,United Arab Emirates,0.01,3,22720,0.016666666666666666,0.014433756729740658,0.0099911971830985,0.0020009464493044664,0.003197840251896967,0.0,0.0,2.0,4.4014084507035256e-05,0.0005087763927753,0.0017807173747138,0.0001271940981938,0.0,5.072787981753405e-05,0.0059655817314038665,0.005005113137161666,0.003305535151017533
Dubai,United Arab Emirates,0.02,3,22720,0.008333333333333333,0.014433756729740658,0.0199823943661971,0.0022254908801051,0.005816248004271334,0.0,0.0,12.0,8.802816901408439e-05,0.0004451793436784,0.0012719409819383,0.000763164589163,0.0,0.00010985289061495496,0.011225068716728834,0.009837387835054466,0.0056604588860562
Ho Chi Minh City,Vietnam,0.005,3,51958,-0.016666666666666666,0.014433756729740658,0.0050040417260094,0.0017632438004469,0.0036051602349998,0.0,0.0,15.0,0.0003464336579545,0.0006425147037018,0.0015568625512776,0.000370681559828,0.0,7.915504853069487e-05,0.007823833754554166,0.0033465116430040666,0.0050960458579209
Ho Chi Minh City,Vietnam,0.01,3,51958,-0.008333333333333333,0.0381881307912987,0.0100080834520189,0.0018952970465250334,0.007278638146324533,0.0,0.0,17.0,0.0016359367181184,0.001112044679484,0.00556022339742,0.0004201057678051,0.0,0.00022767211974116666,0.0153846441762192,0.006796891736615533,0.010052518485338299
Hong Kong,China,0.005,3,13245,0.041666666666666664,0.014433756729740658,0.0049830124575311,0.0015611601287189335,0.0028466849706224664,0.0,0.0,2.0,0.0005285013212533,0.0018815716657443,0.0116214720531268,0.0002213613724404,0.0,0.00010047949853608925,0.003841509542494533,0.0026574883808051335,0.0034886851871363
Hong Kong,China,0.01,3,13245,0.025000000000000005,0.0,0.0099660249150622,0.0016495529248872999,0.004154520269702133,2.516672958349092e-05,0.0,3.0,0.0005285013212533,0.000442722744881,0.0012174875484227,0.0003320420586607,0.0,9.453823213546662e-05,0.007301678808994634,0.005314976761610367,0.006040810592491099
Hong Kong,China,0.02,3,13245,0.016666666666666666,0.014433756729740658,0.020007550018875,0.0015593988601366332,0.008217512721524434,0.0,0.0,9.0,0.0001510003775009,0.001770890979524,0.0089651355838406,0.0009961261759822,0.0,0.00015351183347660303,0.013582293153543,0.010466055561409,0.011636755288636001
Kampala,Uganda,0.005,3,41391,0.0,1.3597399555105182e-16,0.005001087192868,0.0016977880262203666,0.0019475068601100334,0.0,0.0,18.0,0.000386557464183,0.0004175132908397,0.0044534751022907,0.0005010159490076,0.0,0.0002392604625749,0.004081948413378066,0.0014803917486664667,0.0023593743494371667
Kampala,Uganda,0.01,3,41391,0.0083333333333333,0.014433756729740593,0.010002174385736,0.0016867375003739669,0.0035665604916467666,0.0,0.0,30.0,0.0005315165132516,0.0003061764132825,0.0032009352297714,0.0008350265816795,0.0,0.0006636447063393,0.008066123128679234,0.003104196447985,0.0047603847168056325
Kuala Lumpur,Malaysia,0.005,3,50999,0.0,1.3597399555105182e-16,0.005000098041138,0.0016368799367017667,0.0028168739825718005,0.0,0.0,6.0,9.80411380615276e-05,0.0001612339773734,0.0025259989788515,0.0001612339773734,0.0,0.00010007427306535375,0.005315230581999166,0.0031211229547063665,0.003913582893258167
Kuala Lumpur,Malaysia,0.01,3,50999,0.0,1.3597399555105182e-16,0.0100001960822761,0.0018582750550775,0.0051414282147722,0.0,0.0,13.0,0.0004902056903076,0.0012898718189879,0.0062881251175664,0.0003493402843092,0.0,0.0001339785757413584,0.009573168717352433,0.0056511487421322,0.007132139446966866
Miami,United States,0.005,3,28736,-0.016666666666666666,0.014433756729740658,0.005011135857461,0.002834911628600733,0.0039372321792154,0.0,0.0,0.0,3.479955456570094e-05,0.0002224322971695,0.0003336484457542,0.0,0.0,1.4372233847888735e-05,0.009318161651695132,0.0032453966865859333,0.005548267988145533
Miami,United States,0.01,3,28736,-0.025000000000000005,0.0,0.0099874721603563,0.002724812987349666,0.0074700286373581,0.0,0.0,0.0,0.0001739977728285,0.0006116888172162,0.0034477006061279,0.0,0.0,6.228952261914376e-05,0.017266636505382568,0.005844629062818767,0.010668998688237834
Miami,United States,0.02,3,28736,-0.016666666666666666,0.014433756729740658,0.0200097438752783,0.0026732194286879,0.015345495179002668,0.0,0.0,4.0,0.0003827951002227,0.0006672968915086,0.0006672968915086,0.0002224322971695,0.0,4.791136601232463e-05,0.03536645069905153,0.012252830005344134,0.023383374629548634
Montevideo,Uruguay,0.005,3,22450,0.016666666666666666,0.014433756729740658,0.0049888641425389,0.0014793668935144,0.0039450994493417995,0.0,0.0,1.0,0.0001336302895322,0.000218007412252,0.0002906765496692,7.266913741732495e-05,0.0,9.02763447794125e-05,0.009285108688154001,0.0037282768955598333,0.005263094288545634
Montevideo,Uruguay,0.01,3,22450,0.008333333333333333,0.014433756729740658,0.0099777282850779,0.0015725698700501667,0.007395533525110599,0.0,0.0,0.0,0.0003118040089086,7.266913741733882e-05,0.000654022236756,0.0,0.0,3.611760809363318e-05,0.017244549646070566,0.007051700384308533,0.009940057525439267
Montevideo,Uruguay,0.02,3,22450,0.0,0.04330127018922197,0.02,0.0015516978901254,0.0137863006878918,0.0,0.0,3.0,8.90868596881908e-05,0.000654022236756,0.0001453382748346,0.0002180074122519,0.0,0.00011736509229808125,0.0322371090310988,0.0131426292509607,0.019336282116356
Nairobi,Kenya,0.005,3,28157,0.05833333333333324,0.014433756729740658,0.0050076357566502,0.0020863429719329,0.002860646720717767,0.0,0.0,6.0,0.0002486060304719,0.0002613240418118,0.0011759581881533,0.0002613240418118,0.0,0.00019657471144492362,0.005775188018956733,0.0024762823605080997,0.004573082489146133
Nairobi,Kenya,0.01,3,28157,0.04166666666666657,0.028867513459481315,0.0100152715133004,0.0020718354137073,0.005879006131945134,0.0,0.0,12.0,0.0010654544163085,0.0001306620209059,0.0167247386759581,0.0005226480836236,0.0,0.0003805803709276,0.010834207321884268,0.0046245377070268335,0.0078083293133944
Nairobi,Kenya,0.02,3,28157,0.024999999999999935,0.024999999999999967,0.0199950278793905,0.0019656276829653,0.010027843317058431,0.0,0.0,31.0,0.0020953936854067,0.0006968641114982,0.0008275261324042,0.0013501742160278,0.0,0.0006765739521327,0.021043018660963166,0.009435600578871167,0.015706705258080034
Rio de Janeiro,Brazil,0.005,3,20774,-0.016666666666666666,0.014433756729740658,0.0050062578222778,0.0016662194707848666,0.0032194396147563332,0.0,0.0,3.0,0.0002888225666698,0.0001341471594338,0.0043597826816017,0.0002012207391508,0.0,8.025632003568944e-05,0.0059009461738809,0.0031227406279323335,0.004761025735689934
Rio de Janeiro,Brazil,0.01,3,20774,0.0,1.3597399555105182e-16,0.0100125156445556,0.0017624589278400998,0.005895963954992666,0.0,0.0,8.0,0.0003369596611148,0.0001341471594339,0.0014756187537728,0.0005365886377355,0.0,0.00010940737819490639,0.011406426539675335,0.006391619364068434,0.009191317858076767
Rio de Janeiro,Brazil,0.02,3,20774,-0.016666666666666666,0.014433756729740658,0.0199768941946664,0.0016415714655249665,0.0103325698268732,0.0,0.0,10.0,0.0001925483777799,0.0007378093768864,0.0022805017103763,0.0006707357971694,0.0,0.0002443141053991667,0.02010540817102253,0.010914209239004968,0.016698201732121134
Rome,Italy,0.005,3,37062,0.0,1.3597399555105182e-16,0.0049916356375802,0.002108962269343133,0.0022534849747456666,0.0,0.0,2.0,5.396362851436965e-05,3.86951979259309e-05,0.0008512943543705,7.73903958518618e-05,0.0,8.300647949000457e-05,0.004451677033245333,0.0026576610889638996,0.0033897874717516998
Rome,Italy,0.01,3,37062,-0.0249999999999999,1.3597399555105182e-16,0.0100102530894177,0.0020998147109788667,0.004507789893304033,0.0,0.0,10.0,0.0003777453996006,0.0003482567813334,0.0008125991564447,0.0003869519792593,0.0,0.00022816562242926666,0.008727754415851831,0.0050571735689679655,0.006754183277048399
Seattle,United States,0.005,3,26501,-0.008333333333333333,0.014433756729740658,0.0050186785404324,0.0025407854709344666,0.0031644849185489664,0.0,0.0,0.0,0.0001886721255801,5.691519635743492e-05,0.0007968127490038,0.0,0.0,6.653791702094607e-05,0.008384027171041966,0.0015836500633459333,0.004817630192705167
Seattle,United States,0.01,3,26501,0.0,0.0,0.0099996226557488,0.0023686529219411,0.007184058104686066,0.0,0.0,1.0,0.0002264065506961,0.0003984063745019,0.0010813887307911,5.691519635753206e-05,0.0,7.452409235019404e-05,0.01832086917749993,0.003661843479807,0.011496743793203068
Seattle,United States,0.02,3,26501,-0.016666666666666666,0.014433756729740658,0.0199992453114976,0.0024116523176842997,0.0128751417081596,0.0,0.0,3.0,0.0004528131013924,0.0001707455890722,0.0018782014797951,0.0001707455890723,0.0,0.00010645589408153333,0.03213014852249987,0.006429063590495834,0.0206374608254984
Singapore,Singapore,0.005,3,19430,0.0,1.3597399555105182e-16,0.0049922799794132,0.0023132565935458003,0.002622513172863833,0.0,0.0,1.0,0.0,0.0005193648909333,7.419498441896266e-05,7.419498441907368e-05,0.0,3.533161904014278e-05,0.0051498241404493,0.0036839491935353997,0.0031233482293017666
Singapore,Singapore,0.01,3,19430,3.353798720221827e-17,0.024999999999999967,0.0099845599588265,0.0021386993339825664,0.004910716817214033,0.0,0.0,7.0,0.0005661348430262,0.0002225849532571,0.0,0.0005193648909333,0.0,0.00010990088160495991,0.009705117636732267,0.0068072974228372335,0.0062787307994169
Singapore,Singapore,0.02,3,19430,-0.0166666666666666,0.014433756729740593,0.0200205867215645,0.0019408503190127668,0.0096265845916265,0.0,0.0,7.0,0.0001544004117344,0.0003709749220952,0.0027452144235049,0.0005193648909333,0.0,0.00018059857641918186,0.0187264980900671,0.012837762080950768,0.013086028222254166
Sydney,Australia,0.005,3,31013,-0.008333333333333333,0.014433756729740658,0.0049979041047302,0.0019836423184767665,0.0021934587888976,0.0,0.0,4.0,0.0003224454261116,0.0003151024082826,0.0007202340760746,0.0001800585190186,0.0,8.146166102807242e-05,0.0047019375638307674,0.0019378931435245,0.0033625064814668663
Sydney,Australia,0.01,3,31013,0.0,1.3597399555105182e-16,0.0099958082094605,0.0018642626177643,0.0042133166618378,0.0,0.0,6.0,9.673362783349516e-05,4.5014629754647206e-05,0.0008552779653386,0.000270087778528,0.0,4.887919917580715e-05,0.009053752824600867,0.004116713542730467,0.006347909432301999
Taipei,Taiwan,0.005,3,24900,0.008333333333333333,0.014433756729740658,0.0049799196787148,0.0016977399475265667,0.0030959231304562664,0.0,0.0,1.0,0.0006827309236947,0.0002440810349035,0.0032340737124725,6.102025872589678e-05,0.0,6.905932835390517e-05,0.0061144613378085995,0.0032361898487658337,0.0041145842362880665
Taipei,Taiwan,0.01,3,24900,-0.008333333333333333,0.014433756729740658,0.01,0.0018170922222011,0.0058423759037614,0.0,0.0,7.0,0.0013253012048192,0.0012814254332438,0.0015255064681474,0.0004271418110812,0.0,5.371040409146943e-05,0.011744030657920632,0.0061256450708783,0.008281178666574166
Taipei,Taiwan,0.02,3,24900,0.0,0.0,0.02,0.0018480699547442,0.011190153285054768,0.0,0.0,8.0,0.0006827309236947,0.0001830607761776,0.0049426409567976,0.0004881620698071,0.0,0.00011774694748837424,0.02277027703357413,0.012049028276208766,0.016464115855596536
