city,country,macro_region,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_spatial_null,pc_spatial_null_ci_low,pc_spatial_null_ci_high,spatial_null_gap,road_minus_spatial,spatial_fraction_of_road_gap,remaining_fraction_after_spatial,threshold_boundary_hit,runtime_seconds,swap_fraction_target,n_perm,n_bootstrap,length_bins,bin_tolerance,status,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,degree_max_abs_drift,chord_length_mean_ratio,chord_length_median_ratio,chord_length_bin_tvd,length_rejects,topology_rejects,notes
Lagos,Nigeria,Africa,13226,17952,0.4953369019369792,0.75,0.2546630980630208,0.625,0.624375,0.625,0.1296630980630208,0.125,0.5091554255376781,0.49084457446232194,False,0.535207986831665,0.02,6,80,12,1,pass,359.0,14165.0,0.025344158136251325,0.01999777183600713,0.0,3.284417807650803,1.0,0.016766934046345813,13794.0,12.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Addis Ababa,Ethiopia,Africa,51078,72263,0.482274189457948,0.7,0.2177258105420519,0.6,0.6,0.6,0.117725810542052,0.09999999999999998,0.5407067276450178,0.4592932723549826,False,2.039628267288208,0.02,6,80,12,1,pass,1445.0,51457.0,0.0280816992828964,0.019996402031468387,0.0,5.4028795604202235,1.0,0.01740863235680777,50005.0,7.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Dakar,Senegal,Africa,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.575,0.575,0.6,0.11496224040276914,0.125,0.4790847102019411,0.5209152897980591,False,1.1900935173034668,0.02,6,80,12,1,pass,863.0,30695.0,0.028115328229353316,0.020009738227178928,0.0,5.004940296506907,1.0,0.018340327853648364,29826.0,6.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Kampala,Uganda,Africa,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.7,0.7,0.75,0.12554786060261192,0.125,0.5010933252459115,0.49890667475408845,False,1.1601850986480713,0.02,6,80,12,1,pass,828.0,30425.0,0.027214461791290057,0.020004348771472058,0.0,4.762790239741354,1.0,0.017346766205213693,29590.0,7.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Dar es Salaam,Tanzania,Africa,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.625,0.625,0.625,0.11740116407699241,0.15000000000000002,0.4390450747745783,0.5609549252254219,False,0.8664841651916504,0.02,6,80,12,1,pass,597.0,23018.0,0.025936223824832738,0.020016093341380003,0.0,4.539568432691187,1.0,0.017602092134379396,22417.0,4.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Tunis,Tunisia,Africa,46721,67495,0.4801932298410621,0.7,0.2198067701589378,0.6,0.6,0.6,0.11980677015893787,0.09999999999999998,0.5450549592822279,0.4549450407177723,False,1.8881189823150635,0.02,6,80,12,1,pass,1350.0,49823.0,0.027095919555225497,0.02000148159122898,0.0,6.111978735641305,1.0,0.01783835839691829,48466.0,7.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Algiers,Algeria,Africa,21703,28885,0.5065855241235377,0.75,0.2434144758764622,0.65,0.65,0.6506249999999998,0.14341447587646228,0.09999999999999998,0.5891780895941786,0.4108219104058216,False,0.8066451549530029,0.02,6,80,12,1,pass,578.0,20503.0,0.02819099643954543,0.02001038601350182,0.0,4.158597394604721,1.0,0.018729444348277648,19918.0,7.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Buenos Aires,Argentina,Latin America,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.5,0.475,0.5,0.11938426222181592,0.07499999999999996,0.614166295446203,0.3858337045537974,False,1.0668487548828125,0.02,6,80,12,1,pass,749.0,28268.0,0.026496391679637753,0.019988257899231428,0.0,3.744606366154467,1.0,0.018173569598633643,27514.0,5.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Rio de Janeiro,Brazil,Latin America,14909,20774,0.479348377866999,0.7,0.2206516221330009,0.6,0.6,0.6,0.12065162213300096,0.09999999999999998,0.5467968962416079,0.4532031037583923,False,0.5970003604888916,0.02,6,80,12,1,pass,415.0,15060.0,0.02755644090305445,0.01997689419466641,0.0,3.6270617660764795,1.0,0.01747376528352749,14638.0,7.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Quito,Ecuador,Latin America,26144,35253,0.4811776588774842,0.725,0.2438223411225157,0.6,0.6,0.6006249999999997,0.11882234112251577,0.125,0.48733163899369664,0.5126683610063036,False,0.9899735450744629,0.02,6,80,12,1,pass,705.0,24272.0,0.029045814106789716,0.019998298017190025,0.0,4.435475141831853,1.0,0.017190026380733553,23564.0,3.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
