city,country,macro_region,swap_fraction,n_replicates_total,n_replicates_pass,n_replicates_fail,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,threshold_boundary_hits,null_mobility_index_mean,runtime_seconds_mean,pc_spatial_null,spatial_null_gap,road_minus_spatial,remaining_fraction_after_spatial,geometry_vs_spatial_residual_change
Boston,United States,North America,0.02,3,3,0,24819,35843,0.4629981269779758,0.675,0.2120018730220242,0.6750000000000002,0.2120018730220242,0.0,1.0000000000000002,0.0,0.0200039059230533,0.001604818599689033,0.0,0,0,0.0070002743299715,28.160869598388672,0.575,0.1120018730220241,0.1,0.4716939457870328,-0.1
Brisbane,Australia,Oceania,0.01,3,3,0,25339,35174,0.4911197989388439,0.7,0.208880201061156,0.7083333333333334,0.21721353439448934,-0.008333333333333333,1.0398952762923352,-0.03989527629233517,0.0100073918235059,0.001963057059404767,0.0,0,0,0.003072130487080467,12.241374254226685,0.625,0.1338802010611561,0.0749999999999999,0.359057486631016,-0.08333333333333323
Brisbane,Australia,Oceania,0.02,3,3,0,25339,35174,0.4911197989388439,0.7,0.208880201061156,0.7083333333333334,0.21721353439448934,-0.008333333333333333,1.0398952762923352,-0.03989527629233517,0.0199863535566043,0.0019357287785324664,0.0,0,0,0.006043433699353867,23.865172147750854,0.625,0.1338802010611561,0.0749999999999999,0.359057486631016,-0.08333333333333323
Buenos Aires,Argentina,Latin America,0.01,3,3,0,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.575,0.1943842622218158,0.0,1.0000000000000004,0.0,0.009954099060631902,0.0011473920660510332,0.0,0,0,0.0064205930471008,21.373054027557373,0.5,0.1193842622218159,0.0749999999999999,0.3858337045537974,-0.0749999999999999
Buenos Aires,Argentina,Latin America,0.02,3,3,0,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.5583333333333333,0.1777175955551492,0.0166666666666666,0.9142591767658236,0.08574082323417694,0.019694705380017035,0.0010966966747300666,0.0,0,0,0.011584398487796967,41.56330402692159,0.5,0.1193842622218159,0.0749999999999999,0.3858337045537974,-0.0583333333333333
Cairo,Egypt,Africa,0.01,3,3,0,118235,163341,0.4905812814983452,0.7,0.2094187185016547,0.6999999999999998,0.2094187185016548,0.0,1.0000000000000004,0.0,0.009997489913738743,0.0019194340436682357,0.0,0,0,0.008256012848979073,63.00331290562948,0.6,0.1094187185016548,0.0999999999999999,0.4775122334597317,-0.0999999999999999
Cairo,Egypt,Africa,0.02,3,3,0,118235,163341,0.4905812814983452,0.7,0.2094187185016547,0.6999999999999998,0.2094187185016548,0.0,1.0000000000000004,0.0,0.020001101989090306,0.0018566788245618384,0.0,0,0,0.01578613671663614,126.69802180926006,0.6,0.1094187185016548,0.0999999999999999,0.4775122334597317,-0.0999999999999999
Casablanca,Morocco,Africa,0.01,3,3,0,36942,55764,0.4598827284198025,0.675,0.2151172715801975,0.6750000000000002,0.21511727158019753,0.0,1.0000000000000002,0.0,0.0100064557779212,0.0020123617578418,0.0,0,0,0.004515358373088067,19.668180147806805,0.575,0.1151172715801974,0.1,0.4648627200662465,-0.1
Casablanca,Morocco,Africa,0.02,3,3,0,36942,55764,0.4598827284198025,0.675,0.2151172715801975,0.6750000000000002,0.21511727158019753,0.0,1.0000000000000002,0.0,0.0199949788393945,0.0019532626042347667,0.0,0,0,0.008714915329849167,37.73508207003275,0.575,0.1151172715801974,0.1,0.4648627200662465,-0.1
Chennai,India,Asia,0.01,3,3,0,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.725,0.22655108049844888,0.0,1.0000000000000002,0.0,0.0100035161744022,0.0016811987024897333,0.0,0,0,0.0053677573121764,23.203574736913044,0.6,0.1015510804984489,0.125,0.5517519480594832,-0.125
