city,country,macro_region,swap_fraction,n_replicates_total,n_replicates_pass,n_replicates_fail,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,threshold_boundary_hits,null_mobility_index_mean,runtime_seconds_mean,pc_spatial_null,spatial_null_gap,road_minus_spatial,remaining_fraction_after_spatial,geometry_vs_spatial_residual_change,bridge_edge_share,articulation_point_share,largest_biconnected_node_fraction,dual_degree_mean,angular_entropy,straight_angle_share_10deg,cycle_density,dead_end_share,kappa,geometry_absorption,geometry_absorption_fraction_of_road_gap
Boston,United States,North America,0.005,1,1,0,24819,35843,0.4629981269779758,0.675,0.2120018730220242,0.675,0.2120018730220242,0.0,1.0000000000000002,0.0,0.0049940016181681,0.0016896037454456,0.0,0,0,0.0020630715938291,7.925513982772827,0.575,0.1120018730220241,0.1,0.4716939457870328,-0.1,0.1056831180425745,0.1419879930698255,0.8339981465812483,4.319671902463521,0.8142157410053888,0.2453271329845637,0.4442161247431403,0.1391272815181917,3.1598359512317606,0.1,0.4716939457870324
Brisbane,Australia,Oceania,0.005,1,1,0,25339,35174,0.4911197989388439,0.7,0.208880201061156,0.725,0.2338802010611561,-0.025,1.1196858288770055,-0.1196858288770055,0.0050036959117529,0.002204574492071,0.0,0,0,0.0017471550147471,6.215595245361328,0.625,0.1338802010611561,0.0749999999999999,0.359057486631016,-0.0999999999999999,0.1427474839369989,0.1625952089664154,0.7866135206598523,4.072326149997157,0.8606370712391301,0.2188774085450991,0.3881763289790441,0.1551363510793638,3.036163074998578,0.0999999999999999,0.4787433155080211
Buenos Aires,Argentina,Latin America,0.005,1,1,0,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.575,0.1943842622218158,0.0,1.0000000000000004,0.0,0.0049903928266438,0.0012438886486846,0.0,0,0,0.0033288753738629,10.218411922454834,0.5,0.1193842622218159,0.0749999999999999,0.3858337045537974,-0.0749999999999999,0.0265531596925704,0.0426023472876813,0.9508363367526108,5.254643467122118,0.6474475560515124,0.2983920935287605,0.7314943166065982,0.0423251085851584,3.627321733561059,0.0749999999999999,0.3858337045537971
Cairo,Egypt,Africa,0.005,1,1,0,118235,163341,0.4905812814983452,0.7,0.2094187185016547,0.7,0.2094187185016547,0.0,1.0000000000000004,0.0,0.0050018060376757,0.0020359949959878,0.0,0,0,0.0029465480430642,34.82680439949036,0.6,0.1094187185016548,0.0999999999999999,0.4775122334597317,-0.0999999999999999,0.1373323292988288,0.1715820188607434,0.806038820992092,4.076796395271242,0.6930254321055942,0.2863038137400361,0.3815029390620374,0.1735272973315854,3.038398197635621,0.0999999999999999,0.4775122334597313
Casablanca,Morocco,Africa,0.005,1,1,0,36942,55764,0.4598827284198025,0.675,0.2151172715801975,0.675,0.2151172715801975,0.0,1.0000000000000002,0.0,0.0050032278889606,0.0020500084498556,0.0,0,0,0.0025935079617144,10.72241997718811,0.575,0.1151172715801974,0.1,0.4648627200662465,-0.1,0.0497094899935442,0.0705430133723133,0.9200909533863896,4.348934796642996,0.7676061482826985,0.2581871562054149,0.509528450002707,0.0684045260137512,3.174467398321498,0.1,0.4648627200662462
Chennai,India,Asia,0.005,1,1,0,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.75,0.251551080498449,-0.025,1.110350389611897,-0.1103503896118967,0.0049929676511954,0.0018236223303838,0.0,0,0,0.0030965441599398,11.927742958068848,0.6,0.1015510804984489,0.125,0.5517519480594832,-0.15,0.1786040787623066,0.2087220808594854,0.747973800772783,4.012447257383967,0.7114600288268652,0.2668647142331353,0.3401423051550278,0.2115257751390067,3.0062236286919832,0.15,0.6621023376713799
Chicago,United States,North America,0.005,1,1,0,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.6,0.2040052968599778,0.0,1.0000000000000002,0.0,0.0049931287219422,0.0015212627876791,0.0,0,0,0.0038602616316109,4.864916086196899,0.5,0.1040052968599778,0.0999999999999999,0.4901833508207217,-0.0999999999999999,0.0464956481905634,0.0729260935143288,0.9196078431372549,5.05057260650481,0.5929283004416828,0.3200609501696083,0.6463800904977376,0.0728506787330316,3.525286303252405,0.0999999999999999,0.4901833508207213
Dakar,Senegal,Africa,0.005,1,1,0,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.7,0.2399622404027691,0.0,1.0000000000000002,0.0,0.0050082311205917,0.0017590006270511,0.0,0,0,0.0029476176879676,9.26554822921753,0.575,0.1149622404027691,0.125,0.5209152897980591,-0.125,0.0542558371397435,0.0760201229737283,0.912625768585802,4.347469220246238,0.7153797586366106,0.2730957536452944,0.5067775293460034,0.0750069871436556,3.173734610123119,0.125,0.5209152897980591
Dar es Salaam,Tanzania,Africa,0.005,1,1,0,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.75,0.2424011640769924,0.025,0.9065075124624298,0.0934924875375703,0.0049956413867095,0.0021203022497972,0.0,0,0,0.0017194046847282,5.3108439445495605,0.625,0.1174011640769924,0.15,0.5609549252254219,-0.125,0.1770938107691276,0.2029401219074937,0.7357027608461815,3.940119358948568,0.8539857076198117,0.2028965775455674,0.3368142703477949,0.1989960559340265,2.970059679474284,0.125,0.46746243768785145
Delhi,India,Asia,0.005,1,1,0,59302,85866,0.4689645379225219,0.7,0.231035462077478,0.7,0.231035462077478,0.0,1.0000000000000002,0.0,0.0049961568024596,0.0019800974817221,0.0,0,0,0.0028652357068061,17.736650943756104,0.6,0.131035462077478,0.0999999999999999,0.4328339861802898,-0.0999999999999999,0.0981762280763049,0.1282418805436579,0.8437826717480017,4.264714788158293,0.7102606796962674,0.2694582652910752,0.4479612829246905,0.1277191325756298,3.1323573940791465,0.0999999999999999,0.43283398618028945
