city,country,macro_region,replicate,target_swap_fraction,n_nodes,n_edges,pc_cebh,pc_road_fine,pc_road_fine_ci_low,pc_road_fine_ci_high,pc_geometry_fine,pc_geometry_fine_ci_low,pc_geometry_fine_ci_high,road_gap_fine,geometry_gap_fine,road_minus_geometry_fine,threshold_boundary_hit,accepted_swaps,target_swaps,accepted_swaps_per_edge,attempted_swaps,acceptance_rate,degree_max_abs_drift,length_bin_tvd,length_mean_ratio,length_median_ratio,topology_rejects,length_rejects,crossing_rejects,exact_edge_overlap,edge_jaccard,edge_turnover_share,lcc_curve_l2,delta_connected_components,delta_bridge_edge_share,delta_articulation_point_share,delta_largest_biconnected_node_fraction,delta_cycle_density,status,runtime_seconds
Sydney,Australia,Oceania,0,0.04,22215,31013,0.487296324811841,0.735,0.6747500000000001,0.735,0.715,0.695,0.72,0.247703675188159,0.2277036751881589,0.02,False,1178,1241,0.03798407119595,1116900,0.0010547049870176,0.0,0.0,1.0253923004378993,1.001343089316596,28175,1052235,35312,28953,0.8754270855380522,0.0664237577789959,0.0418046335719392,18.0,-0.0005481572243897,-0.0002250731487733,-0.0001800585190186,0.000810263335584,pass,78.45057487487793
Sydney,Australia,Oceania,0,0.08,22215,31013,0.487296324811841,0.735,0.6747500000000001,0.735,0.715,0.695,0.7206249999999997,0.247703675188159,0.2277036751881589,0.02,False,2205,2481,0.0710992164576145,2232900,0.000987505038291,0.0,0.0,1.0365454883171683,1.00509797718998,55943,2104456,70296,27660,0.8048652738171449,0.1081159513752297,0.0949223950728821,30.0,-0.0001612227130558,0.0010353364843574,-0.008597794283142,0.0013504388926401,pass,154.28247022628784
Hong Kong,China,Asia,0,0.04,9035,13245,0.4651775366136339,0.64,0.615,0.6856249999999998,0.675,0.625,0.685125,0.1748224633863661,0.20982246338636612,-0.03500000000000003,False,397,530,0.029973574933937337,477000,0.0008322851153039833,0.0,0.0,1.0267286414257557,1.001158125055127,12813,447556,16234,12563,0.902060745314856,0.0514911287278218,0.018300475379038998,7.0,-0.0013590033975084959,-0.00011068068622024918,0.003320420586607642,0.000774764803541772,high_overlap_partial_acceptance,34.597829818725586
Hong Kong,China,Asia,0,0.08,9035,13245,0.4651775366136339,0.64,0.615,0.6856249999999998,0.69,0.624875,0.72,0.1748224633863661,0.22482246338636602,-0.04999999999999993,False,691,1060,0.05217063042657607,954000,0.0007243186582809224,0.0,0.0,1.0500977587471072,1.0044113603422282,25637,894966,32706,12117,0.8430390315174285,0.08516421291053222,0.025446643211346463,12.0,0.002038505096262744,0.0045379081350304384,-0.010514665190924255,0.0013281682346430457,partial_acceptance,67.81126403808594
Rio de Janeiro,Brazil,Latin America,0,0.04,14909,20774,0.479348377866999,0.7,0.68,0.74,0.695,0.665,0.75,0.22065162213300094,0.21565162213300093,0.0050000000000000044,False,698,831,0.03359969192259555,747900,0.0009332798502473592,0.0,0.0,1.0301839514103823,1.0013471531019242,19510,705247,22445,19578,0.8911242603550296,0.05757196495619521,0.02140244621617979,17.0,-0.0021661692500240803,-0.0019451338117915384,0.002414648869810132,0.0011402508551881518,pass,53.63529133796692
Rio de Janeiro,Brazil,Latin America,0,0.08,14909,20774,0.479348377866999,0.7,0.68,0.74,0.705,0.679625,0.75,0.22065162213300094,0.22565162213300094,-0.0050000000000000044,False,1301,1662,0.06262635987291808,1495800,0.0008697686856531622,0.0,0.0,1.0439577603220285,1.002201733815139,38887,1410850,44762,18761,0.823320314214245,0.09689997111774329,0.02456614118429546,24.0,-0.00019254837777993306,0.0008719565363203285,-0.010463478435844165,0.0016097659132067732,partial_acceptance,105.13220763206482
Chicago,United States,North America,0,0.04,13260,21830,0.3959947031400221,0.605,0.6,0.63,0.605,0.58,0.635,0.20900529685997787,0.20900529685997787,0.0,False,561,873,0.025698579935868073,785700,0.0007140129820542192,0.0,0.0,1.0138668944500764,1.0001671361849869,26877,734054,24208,20828,0.912228451296426,0.045900137425561205,0.04638001358839224,0.0,4.580852038479216e-05,0.0006787330316742057,0.0012820512820512775,0.0,high_overlap_partial_acceptance,55.39175868034363
Chicago,United States,North America,0,0.08,13260,21830,0.3959947031400221,0.605,0.6,0.63,0.6,0.585,0.6101249999999999,0.20900529685997787,0.20400529685997787,0.0050000000000000044,False,1038,1746,0.04754924415941365,1571400,0.000660557464681176,0.0,0.0,1.0210485269983622,1.0002507044288709,53878,1468089,48395,20251,0.8650946217266863,0.07233165368758587,0.019892189774663928,4.0,0.000549702244617499,0.00037707390648566985,-0.0014328808446455454,0.0003016591251885359,partial_acceptance,110.17268180847168
Montevideo,Uruguay,Latin America,0,0.04,13761,22450,0.4069683126676818,0.595,0.565,0.6,0.565,0.55,0.635,0.18803168733231818,0.15803168733231815,0.030000000000000027,False,713,898,0.03175946547884187,808200,0.0008822073744122742,0.0,0.0,1.0325671231967206,1.0001160479018558,26587,751387,29513,21256,0.8990018609372357,0.05318485523385297,0.035526206635071216,3.0,0.00022271714922049435,0.0002906765496693553,-0.005668192718552456,0.00021800741225197484,partial_acceptance,57.369043827056885
Montevideo,Uruguay,Latin America,0,0.08,13761,22450,0.4069683126676818,0.595,0.565,0.6,0.655,0.57,0.655,0.18803168733231818,0.24803168733231823,-0.06000000000000005,False,1321,1796,0.058841870824053455,1616400,0.0008172482058896313,0.0,0.0,1.048521481393445,1.0,53366,1501719,59994,20460,0.837152209492635,0.08864142538975506,0.04278437060996167,9.0,-0.0005345211581291726,-0.001671390160598793,0.001526051885764046,0.0006540222367560355,partial_acceptance,113.46925497055054
Dar es Salaam,Tanzania,Africa,0,0.04,22312,29826,0.5075988359230076,0.795,0.73,0.7953749999999999,0.775,0.715,0.7758749999999998,0.28740116407699245,0.26740116407699244,0.020000000000000018,False,1193,1193,0.03999865888821833,1058604,0.001126955877740874,0.0,0.0,1.0395547610726514,1.0014004786334967,25117,999267,33027,27788,0.8720813457193071,0.06832964527593377,0.040686714867558114,27.0,-0.0002011667672500439,0.0002240946575833569,0.005512728576550718,0.001210111150950155,pass,74.50197768211365
Dar es Salaam,Tanzania,Africa,0,0.08,22312,29826,0.5075988359230076,0.795,0.73,0.7953749999999999,0.745,0.73,0.7518749999999994,0.28740116407699245,0.2374011640769924,0.050000000000000044,False,2169,2386,0.07272178636089319,2147400,0.0010100586756077116,0.0,0.0,1.0668117648010729,1.0041975315640372,50893,2027069,67269,26571,0.8032103019860343,0.10913297123315224,0.11228489627066482,52.0,-0.0017099175216254425,-0.00242022230190031,-0.14404804589458586,0.002330584438866967,pass,149.23157620429993
Barcelona,Spain,Europe,0,0.04,18674,28820,0.438814196750765,0.61,0.609875,0.655,0.62,0.62,0.685,0.171185803249235,0.181185803249235,-0.010000000000000009,False,1143,1153,0.03965995836224844,1037700,0.0011014744145706851,0.0,0.0,1.0300373337881557,1.0028345686004982,30822,970725,35010,26892,0.8745934694939508,0.06689798750867448,0.02209848169843798,6.0,-0.0006592643997224146,-0.0013387597729463407,0.0030523722823176946,0.0003213023455072017,pass,73.26144790649414
Barcelona,Spain,Europe,0,0.08,18674,28820,0.438814196750765,0.61,0.609875,0.655,0.595,0.595,0.675,0.171185803249235,0.15618580324923498,0.015000000000000013,False,2132,2306,0.0739764052741152,2075400,0.0010272718512094054,0.0,0.0,1.0423851226289182,1.0050555112096893,60565,1942806,69897,25628,0.8005747844558291,0.11075641915336576,0.017914507540420874,27.0,-0.0009368494101318486,-0.00230266680946771,-0.0013387597729463963,0.0014458605547821302,pass,144.94352269172668
