city,country,macro_region,null_type,swap_fraction,replicate,n_edges_original,n_edges_null,exact_edge_overlap,edge_jaccard,edge_turnover_share,linegraph_jaccard,path_length_ks,path_length_mean_abs_delta,lcc_curve_l2,delta_connected_components,delta_bridge_edge_share,delta_articulation_point_share,delta_largest_biconnected_node_fraction,delta_cycle_density,road_minus_null_fine,status
Montevideo,Uruguay,Latin America,spatial,0.01,0,22450,22450,22020,0.9624125874125874,0.019153674832962153,0.9292496546417892,0.79296875,37.28515625,0.22238774954118998,0.0,-0.00017817371937638854,-0.0007266913741733882,0.001526051885764046,0.0,0.039999999999999925,pass
Montevideo,Uruguay,Latin America,geometry,0.01,0,22450,22450,22016,0.9620695682572977,0.019331848552338493,0.930431131019037,0.03125,54.8515625,0.019469137663619098,2.0,-0.0002227171492204874,-0.0010900370612600824,0.0009446987864253353,0.0001453382748346499,0.0050000000000000044,pass
Dubai,United Arab Emirates,Middle East,spatial,0.005,0,22720,22720,22496,0.9804741980474198,0.009859154929577452,0.9632677298948082,0.359375,8.62890625,0.13554300848099018,0.0,-0.0006602112676056399,-0.0011447468837445934,0.01545408293055206,0.0,0.02499999999999991,pass
Dubai,United Arab Emirates,Middle East,geometry,0.005,0,22720,22720,22497,0.9805605195484461,0.009815140845070403,0.961811515883612,0.015625,0.6796875,0.010921103957660789,0.0,0.0,0.0,-0.0017171203256168832,0.0,0.0,pass
Dubai,United Arab Emirates,Middle East,spatial,0.01,0,22720,22720,22283,0.9622576326812626,0.019234154929577474,0.9295481073870269,0.5546875,12.38671875,0.19199710535832415,1.0,-0.0015404929577464838,-0.0026074790129737985,0.023848893411345773,6.359704909691954e-05,0.014999999999999902,pass
Dubai,United Arab Emirates,Middle East,geometry,0.01,0,22720,22720,22276,0.9616646520462787,0.019542253521126707,0.9251741707393158,0.0546875,1.984375,0.03633386890409592,0.0,0.0006161971830985907,0.0017171203256168832,-0.005596540320529031,0.0,0.019999999999999907,pass
Taipei,Taiwan,Asia,spatial,0.005,0,24900,24900,24662,0.9810645238284669,0.009558232931726862,0.9632409251033849,0.484375,73.96875,0.08352590679971768,1.0,-0.0009236947791164685,-0.0006712228459848646,0.002196729314132284,6.102025872589678e-05,0.040000000000000036,pass
Taipei,Taiwan,Asia,geometry,0.005,0,24900,24900,24653,0.9803555096035312,0.009919678714859437,0.9618053193660295,0.015625,0.5546875,0.032873873133182414,3.0,-0.0007630522088353381,-0.00012204051745179356,-0.00048816206980717425,0.00018306077617769034,0.030000000000000027,pass
Taipei,Taiwan,Asia,spatial,0.01,0,24900,24900,24430,0.9629483642096965,0.01887550200803212,0.9286789046042733,0.63671875,13.79296875,0.12235687487708427,3.0,-0.0021285140562248978,-0.0013424456919697292,0.00530876250915302,0.00018306077617769034,0.07499999999999996,pass
Taipei,Taiwan,Asia,geometry,0.01,0,24900,24900,24415,0.9617884577506401,0.0194779116465863,0.9278086930365469,0.015625,64.46875,0.045953520706968246,5.0,-0.0007228915662650659,-0.00012204051745179356,6.102025872589678e-05,0.0003051012936294839,0.025000000000000022,pass
Seattle,United States,North America,spatial,0.005,0,26501,26501,26238,0.9803467344193693,0.009924153805516811,0.9599438037050348,0.6953125,23.37109375,0.28505533708920483,0.0,-0.0005282819516244652,-0.0004553215708594238,0.023449060899260132,0.0,0.12,pass
Seattle,United States,North America,geometry,0.005,0,26501,26501,26238,0.9803467344193693,0.009924153805516811,0.9619309262166404,0.01953125,0.7578125,0.03823906388152947,2.0,-0.0001509377004641349,0.000170745589072277,0.0002845759817872162,0.0001138303927149531,0.05999999999999994,pass
Seattle,United States,North America,spatial,0.01,0,26501,26501,25999,0.9628189460430323,0.01894268140824873,0.9257784911717496,0.76171875,26.76953125,0.3272701360622101,1.0,-0.0007924229274366978,-0.0011383039271485457,0.026010244735344412,5.691519635753206e-05,0.10999999999999999,pass
Seattle,United States,North America,geometry,0.01,0,26501,26501,25972,0.9608583055863855,0.01996151088638165,0.9231546044722289,0.046875,1.13671875,0.05668650008168685,1.0,0.0,-0.0002276607854297119,0.0003984063745020583,5.691519635753206e-05,0.05499999999999994,pass
Nairobi,Kenya,Africa,spatial,0.005,0,28157,28157,27889,0.9811433597185576,0.009518059452356398,0.961804898360904,0.53125,19.328125,0.11389012310896965,3.0,-0.0021309088326170733,-0.0011759581881533032,0.009364111498257888,0.0001306620209059195,0.0,pass
