city,country,macro_region,n_nodes,n_edges,mean_degree,kappa,kappa_minus_1,pc_cebh,pc_nb,pc_road_rank,road_gap_cebh,road_minus_nb,nb_minus_cebh,abs_error_cebh,abs_error_nb,nb_improvement_over_cebh,rho_nb,nb_iterations,nb_converged,runtime_seconds,status,ipr_directed,top1_directed_weight_share,top5pct_directed_weight_share,node_nb_entropy,node_nb_ipr,top1_node_weight_share,top5pct_node_weight_share
Seattle,United States,North America,17570,26501,3.0166192373363687,3.2636126938606087,2.2636126938606087,0.4417716876708675,0.35176352018266177,0.65,0.20822831232913253,0.29823647981733825,-0.09000816748820573,0.20822831232913253,0.29823647981733825,-0.09000816748820573,2.842818946890018,154,True,2.425633668899536,pass,0.0010042398783285935,0.0018911367830116053,0.9942971824534944,0.6096473470755264,0.0036251890817412926,0.0070470209225244945,0.9960062817553166
Prague,Czechia,Europe,19787,27325,2.7619143882346995,3.0973101555352245,2.0973101555352245,0.4768012005095185,0.37702438157058105,0.7,0.22319879949048144,0.3229756184294189,-0.09977681893893747,0.22319879949048144,0.3229756184294189,-0.09977681893893747,2.652348359632,640,False,2.6838278770446777,pass,0.001675730556493071,0.004639734514843071,0.9982515066900317,0.5621701288976496,0.005477497278675187,0.013931871026521638,0.9985695863106161
Nairobi,Kenya,Africa,22960,28157,2.4527003484320558,2.84057250417303,1.8405725041730299,0.5433092136999518,0.38482590427969376,0.825,0.2816907863000482,0.4401740957203062,-0.158483309420258,0.2816907863000482,0.4401740957203062,-0.158483309420258,2.598577665585615,457,True,2.5505430698394775,pass,0.003110360261819661,0.006002642690485227,0.9999257539215989,0.49148598830420936,0.010098652198262956,0.019419798792017075,0.9999577141760154
Miami,United States,North America,17983,28736,3.1959072457320805,3.387597438752784,2.387597438752784,0.4188310741874362,0.3498989962593141,0.6,0.18116892581256377,0.2501010037406859,-0.06893207792812212,0.18116892581256377,0.2501010037406859,-0.06893207792812212,2.857967615485495,640,False,2.579495906829834,pass,0.001185264117384104,0.00262865228175541,0.9861144108686563,0.6002591014348219,0.004282272856083126,0.008729567686782416,0.988533341644205
Barcelona,Spain,Europe,18674,28820,3.0866445325050873,3.2788688410825815,2.2788688410825815,0.438814196750765,0.35570235461999056,0.625,0.186185803249235,0.26929764538000944,-0.08311184213077444,0.186185803249235,0.26929764538000944,-0.08311184213077444,2.811339275693959,189,True,2.0128090381622314,pass,0.0008602115312498879,0.0031574660325780772,0.9699019164183647,0.6403102149950369,0.002987163819382226,0.009637716088080782,0.9759569122869685
Algiers,Algeria,Africa,21703,28885,2.6618439847025757,2.97400034620045,1.9740003462004498,0.5065855241235377,0.401298830944115,0.75,0.24341447587646226,0.348701169055885,-0.10528669317942274,0.24341447587646226,0.348701169055885,-0.10528669317942274,2.491908580065762,640,False,2.9349703788757324,pass,0.009552830991791071,0.014122831286506123,0.9999627134751482,0.37769103550683125,0.02992348387886898,0.0448488665051974,0.9999658421090779
Dar es Salaam,Tanzania,Africa,22312,29826,2.6735389028325565,2.970059679474284,1.970059679474284,0.5075988359230076,0.37618095836141197,0.775,0.26740116407699244,0.39881904163858806,-0.13141787756159562,0.26740116407699244,0.39881904163858806,-0.13141787756159562,2.6582951044514602,355,True,2.8160974979400635,pass,0.0010172142328027383,0.0024290484226833736,0.9982175151111613,0.592197450430006,0.0034541404949955693,0.00825397651782646,0.9987552610582705
Tel Aviv,Israel,Middle East,21205,30263,2.85432680971469,3.1255989161682582,2.1255989161682582,0.4704556407107436,0.39865643926327393,0.675,0.20454435928925646,0.2763435607367261,-0.07179920144746965,0.20454435928925646,0.2763435607367261,-0.07179920144746965,2.5084255552174763,343,True,2.1606476306915283,pass,0.0009194011841171079,0.003309029973772296,0.9786607079766813,0.6367114490400992,0.0028313086149634086,0.009362733807963586,0.9808275812697087
Sydney,Australia,Oceania,22215,31013,2.792077425163178,3.052139425402251,2.052139425402251,0.487296324811841,0.3736943603134207,0.7,0.21270367518815897,0.3263056396865793,-0.1136019644984203,0.21270367518815897,0.3263056396865793,-0.1136019644984203,2.675983654560083,146,True,2.5660736560821533,pass,0.008314243493184006,0.01585056526903113,0.999574125129435,0.4209098480330469,0.025956508999972927,0.04737000851253352,0.9995328163791671
Montreal,Canada,North America,20313,32065,3.1570915177472556,3.363137377202557,2.363137377202557,0.4231662575553621,0.3553238936772701,0.625,0.20183374244463792,0.2696761063227299,-0.067842363878092,0.20183374244463792,0.2696761063227299,-0.067842363878092,2.8143336763844813,458,True,3.038233995437622,pass,0.000658848841073271,0.0015516049354138079,0.9705680689185421,0.650068844062714,0.0023708991497437414,0.005715003165928107,0.9761574813057067
Johannesburg,South Africa,Africa,22312,32632,2.9250627465041235,3.2014280460897275,2.2014280460897275,0.454250595097234,0.3595874492525342,0.65,0.19574940490276604,0.2904125507474658,-0.09466314584469976,0.19574940490276604,0.2904125507474658,-0.09466314584469976,2.780964691839707,327,True,2.519392728805542,pass,0.0010452334797249746,0.0022031951008158654,0.9942311218452637,0.596342005258215,0.003715848582833906,0.00800545871971446,0.9958228983211276
Amsterdam,Netherlands,Europe,23201,32887,2.8349640101719755,3.1427919846747954,2.1427919846747954,0.466680857102313,0.35183853988020025,0.7,0.23331914289768696,0.3481614601197997,-0.11484231722211274,0.23331914289768696,0.3481614601197997,-0.11484231722211274,2.8422127955069856,508,True,2.904649496078491,pass,0.005182758188016294,0.014040506482938203,0.9987528287332614,0.4727113977389722,0.016139967349868705,0.0426224415130521,0.998599146408314
New York City,United States,North America,20109,34130,3.3944999751355116,3.5796952827424553,2.5796952827424553,0.3876426827190641,0.3408420467320077,0.575,0.18735731728093585,0.23415795326799227,-0.046800635987056416,0.18735731728093585,0.23415795326799227,-0.046800635987056416,2.933910324703177,295,True,2.8527135848999023,pass,0.0006057428063580833,0.001030838504887529,0.9787348982129633,0.643154963399328,0.002326107181382051,0.003977467804912902,0.9805318007586304
Los Angeles,United States,North America,22280,34611,3.106912028725314,3.353326976972639,2.353326976972639,0.4249303262083952,0.3524439404217414,0.6,0.17506967379160476,0.2475560595782586,-0.07248638578665384,0.17506967379160476,0.2475560595782586,-0.07248638578665384,2.837330665419812,640,False,3.5936412811279297,pass,0.0009642933347407161,0.001929030030461571,0.9908481321803162,0.602245887410953,0.0034914386493218484,0.006850209752403654,0.993253848326742
Brisbane,Australia,Oceania,25339,35174,2.776273728244998,3.0361630749985786,2.0361630749985786,0.4911197989388439,0.3778586524527634,0.7,0.20888020106115607,0.32214134754723656,-0.11326114648608049,0.20888020106115607,0.32214134754723656,-0.11326114648608049,2.6464922624075977,142,True,2.929360866546631,pass,0.00954148676720751,0.018769535376267105,0.9996597520304447,0.3860300841038353,0.02913858238675642,0.05254059540057325,0.9996170874823531
Quito,Ecuador,Latin America,26144,35253,2.6968329253365972,3.0782344764984537,2.0782344764984537,0.4811776588774842,0.36685315633519494,0.725,0.24382234112251577,0.35814684366480504,-0.11432450254228926,0.24382234112251577,0.35814684366480504,-0.11432450254228926,2.7258863191742493,200,True,2.481205463409424,pass,0.0011716177265934285,0.00219424165574112,0.9972459663865096,0.5743026574066659,0.004063593082868022,0.0076328440607702575,0.9985059492534272
Boston,United States,North America,24819,35843,2.8883516660622908,3.1598359512317606,2.1598359512317606,0.4629981269779758,0.3752038203768264,0.675,0.21200187302202422,0.2997961796231736,-0.0877943066011494,0.21200187302202422,0.2997961796231736,-0.0877943066011494,2.6652180646659605,309,True,3.314364194869995,pass,0.002315633801279365,0.00466428576781658,0.9935542877683712,0.5327877716372594,0.007609033239736026,0.016265333811986558,0.9938911883139139
Lisbon,Portugal,Europe,26686,36745,2.7538784381323542,3.0180977003673966,2.0180977003673966,0.4955161486076462,0.3711949924576928,0.75,0.2544838513923538,0.3788050075423072,-0.12432115614995343,0.2544838513923538,0.3788050075423072,-0.12432115614995343,2.694001859720604,434,True,3.2782137393951416,pass,0.0018959242422991536,0.00410712238247776,0.9988752749178115,0.5381827982494929,0.006380858911526677,0.01417512493806859,0.9992275802163143
Manila,Philippines,Asia,25142,36895,2.934929599872723,3.2256945385553597,2.2256945385553597,0.4492979529208324,0.3597422940832757,0.65,0.2007020470791676,0.29025770591672434,-0.08955565883755673,0.2007020470791676,0.29025770591672434,-0.08955565883755673,2.779767673824065,208,True,2.904754400253296,pass,0.0010038004561056214,0.0023840865347376093,0.9767967199840791,0.613418943273131,0.0035428898918726673,0.008613615267643692,0.982344505793185
Rome,Italy,Europe,25843,37062,2.8682428510621834,3.1252495817818793,2.1252495817818793,0.4705329710788918,0.36641032369428417,0.675,0.20446702892110824,0.3085896763057159,-0.10412264738460764,0.20446702892110824,0.3085896763057159,-0.10412264738460764,2.729180744466015,299,True,2.9414970874786377,pass,0.0020374305207390662,0.0050847628748492074,0.9996023375367674,0.5294653265597439,0.006975922143373907,0.017395247592608784,0.9996894915029946
