city,country,macro_region,swap_fraction,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_spatial_null,pc_spatial_null_ci_low,pc_spatial_null_ci_high,spatial_null_gap,road_minus_spatial,spatial_fraction_of_road_gap,remaining_fraction_after_spatial,threshold_boundary_hit,runtime_seconds,n_perm,n_bootstrap,length_bins,bin_tolerance,status,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,degree_max_abs_drift,chord_length_mean_ratio,chord_length_median_ratio,chord_length_bin_tvd,length_rejects,topology_rejects,notes
Barcelona,Spain,Europe,0.02,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.575,0.575,0.575,0.13618580324923496,0.050000000000000044,0.73145106056734,0.2685489394326606,False,0.8595190048217773,6,80,12,1,pass,576.0,22235.0,0.025905104564875197,0.019986120749479527,0.0,4.011626395071347,1.0,0.016759195003469812,21647.0,12.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Rome,Italy,Europe,0.005,25843,37062,0.4705329710788918,0.675,0.2044670289211081,0.65,0.625,0.65,0.17946702892110822,0.025000000000000022,0.8777308980723444,0.12226910192765633,False,0.6316890716552734,6,80,12,1,pass,185.0,6424.0,0.028798256537982566,0.004991635637580271,0.0,1.9139390061409205,1.0,0.004910690194808706,6237.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Rome,Italy,Europe,0.01,25843,37062,0.4705329710788918,0.675,0.2044670289211081,0.625,0.624375,0.625,0.1544670289211082,0.050000000000000044,0.755461796144688,0.24453820385531266,False,0.8143656253814697,6,80,12,1,pass,371.0,13704.0,0.027072387624051373,0.010010253089417732,0.0,2.8201148118369903,1.0,0.009524580432788289,13331.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Rome,Italy,Europe,0.02,25843,37062,0.4705329710788918,0.675,0.2044670289211081,0.625,0.6,0.625,0.1544670289211082,0.050000000000000044,0.755461796144688,0.24453820385531266,False,1.0756795406341553,6,80,12,1,pass,741.0,26499.0,0.027963319370542285,0.019993524364578276,0.0,4.336451280400479,1.0,0.018266688252118073,25753.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Buenos Aires,Argentina,Latin America,0.005,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.525,0.525,0.525,0.14438426222181594,0.04999999999999993,0.7427775302974691,0.25722246970253143,False,0.6403610706329346,6,80,12,1,pass,187.0,6978.0,0.026798509601605045,0.004990392826643894,0.0,1.7442744420511875,1.0,0.004349914602903501,6791.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Buenos Aires,Argentina,Latin America,0.01,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.5,0.5,0.5,0.11938426222181592,0.07499999999999996,0.614166295446203,0.3858337045537974,False,0.7939977645874023,6,80,12,1,pass,375.0,14087.0,0.02662028820898701,0.010007472245943639,0.0,2.5043662685193584,1.0,0.00931362083689155,13706.0,6.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Buenos Aires,Argentina,Latin America,0.02,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.5,0.475,0.5,0.11938426222181592,0.07499999999999996,0.614166295446203,0.3858337045537974,False,1.0857892036437988,6,80,12,1,pass,749.0,26754.0,0.027995813710099425,0.019988257899231428,0.0,3.632296753721244,1.0,0.018440435525192145,26000.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Montevideo,Uruguay,Latin America,0.005,13761,22450,0.4069683126676818,0.6,0.1930316873323181,0.55,0.55,0.575,0.14303168733231825,0.04999999999999993,0.740975169978589,0.2590248300214114,False,0.41654086112976074,6,80,12,1,pass,112.0,4067.0,0.027538726333907058,0.004988864142538975,0.0,1.6542416333268868,1.0,0.00534521158129176,3954.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Montevideo,Uruguay,Latin America,0.01,13761,22450,0.4069683126676818,0.6,0.1930316873323181,0.55,0.525,0.55,0.14303168733231825,0.04999999999999993,0.740975169978589,0.2590248300214114,False,0.4831085205078125,6,80,12,1,pass,224.0,7586.0,0.02952807803849196,0.00997772828507795,0.0,2.254801064262356,1.0,0.009443207126948773,7359.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Montevideo,Uruguay,Latin America,0.02,13761,22450,0.4069683126676818,0.6,0.1930316873323181,0.525,0.525,0.525,0.11803168733231822,0.07499999999999996,0.611462754967883,0.38853724503211745,False,0.649212121963501,6,80,12,1,pass,449.0,15063.0,0.02980813914890792,0.02,0.0,3.387759237127973,1.0,0.018708240534521157,14605.0,9.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Rio de Janeiro,Brazil,Latin America,0.005,14909,20774,0.479348377866999,0.7,0.2206516221330009,0.65,0.65,0.65,0.170651622133001,0.04999999999999993,0.7733984481208043,0.2266015518791959,False,0.37451672554016113,6,80,12,1,pass,104.0,4042.0,0.025729836714497772,0.0050062578222778474,0.0,1.7460858682375944,1.0,0.0047655723500529545,3936.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Rio de Janeiro,Brazil,Latin America,0.01,14909,20774,0.479348377866999,0.7,0.2206516221330009,0.625,0.6,0.625,0.14565162213300098,0.07499999999999996,0.6600976721812061,0.3399023278187941,False,0.4645650386810303,6,80,12,1,pass,208.0,7254.0,0.02867383512544803,0.010012515644555695,0.0,2.388932125374213,1.0,0.00933859632232599,7041.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Rio de Janeiro,Brazil,Latin America,0.02,14909,20774,0.479348377866999,0.7,0.2206516221330009,0.6,0.6,0.625,0.12065162213300096,0.09999999999999998,0.5467968962416079,0.4532031037583923,False,0.6950502395629883,6,80,12,1,pass,415.0,15906.0,0.02609078335219414,0.01997689419466641,0.0,3.7633969907255254,1.0,0.01805141041686724,15486.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Dubai,United Arab Emirates,Middle East,0.005,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.65,0.65,0.675,0.15913883247634292,0.07499999999999996,0.6796772273664694,0.320322772633531,False,0.3961451053619385,6,80,12,1,pass,114.0,4122.0,0.027656477438136828,0.005017605633802817,0.0,1.6756741390831895,1.0,0.004445422535211269,4006.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Dubai,United Arab Emirates,Middle East,0.01,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.65,0.625,0.65,0.15913883247634292,0.07499999999999996,0.6796772273664694,0.320322772633531,False,0.5250852108001709,6,80,12,1,pass,227.0,8859.0,0.025623659555254544,0.009991197183098592,0.0,2.355816648343027,1.0,0.008758802816901404,8629.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Dubai,United Arab Emirates,Middle East,0.02,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.65,0.625,0.65,0.15913883247634292,0.07499999999999996,0.6796772273664694,0.320322772633531,False,0.7014684677124023,6,80,12,1,pass,454.0,17803.0,0.02550132000224681,0.019982394366197184,0.0,3.702201768468596,1.0,0.017121478873239428,17342.0,7.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Chicago,United States,North America,0.005,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.55,0.55,0.55,0.15400529685997794,0.04999999999999993,0.7549083245896397,0.24509167541036056,False,0.381929874420166,6,80,12,1,pass,109.0,4379.0,0.024891527746060745,0.0049931287219422815,0.0,1.5954687524313875,1.0,0.004489234997709569,4267.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Chicago,United States,North America,0.01,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.525,0.525,0.525,0.1290052968599779,0.07499999999999996,0.6323624868844592,0.36763751311554116,False,0.4732930660247803,6,80,12,1,pass,218.0,8646.0,0.025213971778857276,0.009986257443884563,0.0,2.146530707403327,1.0,0.009344938158497476,8425.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Chicago,United States,North America,0.02,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.5,0.5,0.5,0.10400529685997789,0.09999999999999998,0.5098166491792786,0.4901833508207217,False,0.6176140308380127,6,80,12,1,pass,437.0,15574.0,0.028059586490304354,0.020018323408153918,0.0,3.1642110752771777,1.0,0.017773705909299123,15132.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Miami,United States,North America,0.005,17983,28736,0.4188310741874362,0.6,0.1811689258125637,0.55,0.55,0.5506249999999998,0.13116892581256384,0.04999999999999993,0.7240144810941278,0.27598551890587264,False,0.49806737899780273,6,80,12,1,pass,144.0,4731.0,0.030437539632213063,0.005011135857461025,0.0,1.647213498496965,1.0,0.0051155345211581285,4585.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Miami,United States,North America,0.01,17983,28736,0.4188310741874362,0.6,0.1811689258125637,0.525,0.525,0.55,0.10616892581256382,0.07499999999999996,0.5860217216411912,0.41397827835880924,False,0.6010046005249023,6,80,12,1,pass,287.0,11028.0,0.026024664490388105,0.009987472160356347,0.0,2.4150924326854986,1.0,0.009430679287305122,10739.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Miami,United States,North America,0.02,17983,28736,0.4188310741874362,0.6,0.1811689258125637,0.525,0.525,0.55,0.10616892581256382,0.07499999999999996,0.5860217216411912,0.41397827835880924,False,0.8401579856872559,6,80,12,1,pass,575.0,20617.0,0.027889605665227725,0.020009743875278395,0.0,3.723814237913542,1.0,0.01813056792873051,20032.0,10.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Seattle,United States,North America,0.005,17570,26501,0.4417716876708675,0.65,0.2082283123291324,0.6,0.6,0.6,0.15822831232913248,0.050000000000000044,0.7598789547841683,0.24012104521583227,False,0.4513239860534668,6,80,12,1,pass,133.0,4737.0,0.028076841883048344,0.005018678540432436,0.0,1.948515563145426,1.0,0.005056412965548471,4601.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Seattle,United States,North America,0.01,17570,26501,0.4417716876708675,0.65,0.2082283123291324,0.575,0.575,0.6,0.13322831232913246,0.07500000000000007,0.6398184321762522,0.36018156782374844,False,0.5225162506103516,6,80,12,1,pass,265.0,8311.0,0.031885453014077726,0.00999962265574884,0.0,2.7867636145203747,1.0,0.009660012829704537,8043.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Seattle,United States,North America,0.02,17570,26501,0.4417716876708675,0.65,0.2082283123291324,0.55,0.55,0.575,0.10822831232913255,0.09999999999999998,0.5197579095683367,0.48024209043166405,False,0.7299563884735107,6,80,12,1,pass,530.0,18127.0,0.02923815303138964,0.01999924531149768,0.0,4.256017484477723,1.0002418280939749,0.01848986830685634,17592.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Sydney,Australia,Oceania,0.005,22215,31013,0.487296324811841,0.7,0.2127036751881589,0.65,0.65,0.65,0.16270367518815904,0.04999999999999993,0.764931189102541,0.2350688108974593,False,0.532996416091919,6,80,12,1,pass,155.0,5695.0,0.027216856892010536,0.004997904104730274,0.0,1.8461329981643775,1.0,0.005255860445619584,5539.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Sydney,Australia,Oceania,0.01,22215,31013,0.487296324811841,0.7,0.2127036751881589,0.625,0.625,0.625,0.137703675188159,0.07499999999999996,0.647396783653811,0.3526032163461892,False,0.6330814361572266,6,80,12,1,pass,310.0,10707.0,0.02895302138787709,0.009995808209460548,0.0,2.5782876561525887,1.0,0.009189694644181477,10396.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Sydney,Australia,Oceania,0.02,22215,31013,0.487296324811841,0.7,0.2127036751881589,0.6,0.6,0.625,0.11270367518815899,0.09999999999999998,0.5298623782050811,0.47013762179491914,False,0.9021587371826172,6,80,12,1,pass,620.0,23194.0,0.026731051133913945,0.019991616418921096,0.0,4.1215732072560325,1.0,0.01770225389352853,22566.0,8.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
