city,country,macro_region,n_nodes,n_edges,street_form_bottleneck_index,street_form_bottleneck_quartile,dead_end_share,bridge_edge_share,articulation_point_share,cycle_density,largest_biconnected_node_fraction,dual_degree_mean,road_gap,road_minus_spatial,road_minus_geometry_mean,geometry_absorption_fraction_of_road_gap
Sao Paulo,Brazil,Latin America,51289,77333,-1.4137341516112925,Q1 low bottleneck / high redundancy,0.0883425295872409,0.0639313100487502,0.0895903605061514,0.5078086919222445,0.8995301136695978,4.419432842382942,0.2224532431356944,0.1,0.025,0.337149501363982
Karachi,Pakistan,Asia,52156,78992,-1.2937288718110609,Q1 low bottleneck / high redundancy,0.0978794386072551,0.0725136722706096,0.0984354628422425,0.5145524963570826,0.8753930516143876,4.478073728985214,0.2283793945699003,0.1,0.0,0.43786787415006
Mexico City,Mexico,Latin America,59012,90635,-1.2636019537527172,Q2,0.119162204297431,0.0866000992993876,0.1194333355927608,0.5358910052192775,0.8618586050294855,4.688233022563027,0.1984000442438305,0.0999999999999999,-0.025,0.6300401820796817
Paris,France,Europe,36946,55181,-1.2601740061069637,Q2,0.0921344665187029,0.0694441927475036,0.0961944459481405,0.4935852325014886,0.8905158880528339,4.405538138127254,0.196025947956002,0.075,-0.025,0.5101365459150591
Milan,Italy,Europe,25735,38172,-1.205776315237593,Q2,0.083582669516223,0.066174159069475,0.0892947347969691,0.4833106664076161,0.8875850009714397,4.302211044744839,0.1851227591582229,0.05,0.0,0.2700910478395874
Vancouver,Canada,North America,14876,22751,-1.109125257510279,Q2,0.1220758268351707,0.0924354973407762,0.124630276956171,0.5294433987631083,0.842027426727615,4.676102149356073,0.1972933468689489,0.0749999999999999,0.025,0.2534297318865605
Seoul,South Korea,Asia,50914,76060,-1.0771526457736338,Q2,0.1056487410142593,0.0798580068367078,0.1061397650940802,0.4939113014102211,0.8730015319951291,4.428056797265317,0.2233346100630051,0.125,0.0,0.5596982929100696
Osaka,Japan,Asia,92460,138690,-1.0613723459531714,Q2,0.1116699113130002,0.0837190857307664,0.1128704304564135,0.5000108154877785,0.8710253082414017,4.476919749080683,0.1782642727378145,0.0999999999999999,0.0,0.5609649003930067
Melbourne,Australia,Oceania,35052,51621,-1.0599106423791331,Q2,0.0936893757845486,0.0710176091125704,0.0954011183384685,0.4727262353075431,0.8913328768686523,4.267952964878635,0.2313912743513861,0.0999999999999999,0.0,0.4321684137844451
Taipei,Taiwan,Asia,16388,24900,-1.0541886642401075,Q2,0.1211862338296314,0.0960240963855421,0.1224676592628752,0.5194654625335612,0.8470222113741762,4.633012048192772,0.1683153898164039,0.0499999999999999,0.0,0.297061368271429
Seattle,United States,North America,17570,26501,-1.0457766308473766,Q2,0.1118952760387023,0.0847137843854948,0.1124075128059191,0.5083665338645418,0.8442231075697211,4.527225387721218,0.2082283123291324,0.0999999999999999,0.0,0.4802420904316636
Dubai,United Arab Emirates,Middle East,15724,22720,-0.8418818337620503,Q2,0.0742177562961078,0.065625,0.0896718392266598,0.4449885525311625,0.8635207326380056,4.074471830985916,0.2341388324763428,0.0749999999999999,0.0,0.3203227726335307
Toronto,Canada,North America,12443,18430,-0.7925680731176925,Q2,0.1197460419512979,0.0917525773195876,0.1258538937555252,0.4812344289962227,0.8551796190629269,4.441237113402062,0.1996750232126277,0.075,0.0,0.3756103231806555
Bogota,Colombia,Latin America,40772,60476,-0.7361691016235712,Q2,0.1272932404591386,0.0957239235399166,0.1256990091239085,0.4832973609339743,0.8484744432453645,4.450426615516899,0.2006048806586807,0.0999999999999999,0.0,0.4984923580705145
Vienna,Austria,Europe,17629,26142,-0.7289230860158753,Q2,0.1263826649271087,0.0978884553591921,0.1295025242498156,0.4829542231550287,0.8423052924159056,4.487338382679214,0.2293014969141065,0.075,0.0,0.327080289528568
Hong Kong,China,Asia,9035,13245,-0.6658417631423126,Q2,0.1014941892639734,0.0914307285768214,0.1147758716104039,0.466076369673492,0.8293303818483675,4.299433748584372,0.2098224633863661,0.075,0.05,0.1191483485443839
Tunis,Tunisia,Africa,46721,67495,-0.5934616256055242,Q2,0.1074891376468825,0.085087784280317,0.1102716123370647,0.4446608591425697,0.8608548618394298,4.1649899992592045,0.2198067701589378,0.0999999999999999,0.0,0.454945040717772
Delhi,India,Asia,59302,85866,-0.41615049974622587,Q2,0.1277191325756298,0.0981762280763049,0.1282418805436579,0.4479612829246905,0.8437826717480017,4.264714788158293,0.231035462077478,0.0999999999999999,0.0,0.4328339861802894
Manila,Philippines,Asia,25142,36895,-0.3061145729381494,Q2,0.1446185665420412,0.1144599539232958,0.1476413968658022,0.4675045740195688,0.8080502744411742,4.451389077110719,0.2007020470791676,0.075,0.0,0.373688266220902
Santiago,Chile,Latin America,60718,88302,-0.2815011759790716,Q2,0.1531671003656247,0.1107675930330003,0.148160347837544,0.4543133831812642,0.8356829935109852,4.4019841000203845,0.1956594220795258,0.0999999999999999,0.0,0.5110921770961527
Boston,United States,North America,24819,35843,-0.28091951589142494,Q3,0.1391272815181917,0.1056831180425745,0.1419879930698255,0.4442161247431403,0.8339981465812483,4.319671902463521,0.2120018730220242,0.1,0.0,0.4716939457870324
Johannesburg,South Africa,Africa,22312,32632,-0.27335569797286574,Q3,0.1390731444962352,0.1165420446187791,0.1462889924704195,0.4625761921835783,0.8096091789171747,4.402856092179456,0.195749404902766,0.075,-0.025,0.5108572363204512
Singapore,Singapore,Asia,13478,19430,-0.1512752050922451,Q3,0.1353316515803531,0.1154915079773546,0.1443092446950586,0.4416827422466241,0.8165899985161003,4.284302624806999,0.2081795684974292,0.075,0.0,0.3602659018909734
Rome,Italy,Europe,25843,37062,-0.10383936639258588,Q3,0.1347753743760399,0.1150234741784037,0.1444491738575243,0.4341601207290175,0.8175908369771311,4.250499163563758,0.2044670289211081,0.075,0.0,0.3668073057829686
Addis Ababa,Ethiopia,Africa,51078,72263,0.052699799140462494,Q3,0.1451309761541172,0.1136127755559553,0.1457183131680958,0.4147773992717021,0.8323740162105016,4.147018529537938,0.2177258105420519,0.0999999999999999,0.0,0.4592932723549822
Tel Aviv,Israel,Middle East,21205,30263,0.058098464248114365,Q3,0.1442584296156566,0.1196510590490037,0.1493987267153973,0.4272105635463334,0.799575571799104,4.2511978323365165,0.2045443592892564,0.075,-0.0249999999999999,0.488891506700436
Sydney,Australia,Oceania,22215,31013,0.35211224735543173,Q3,0.151114112086428,0.1272692096862606,0.1563358091379698,0.3960837272113436,0.8096331307674994,4.104278850804501,0.2127036751881589,0.0749999999999999,-0.025,0.4701376217949187
Amsterdam,Netherlands,Europe,23201,32887,0.4371185624957893,Q3,0.1549933192534804,0.1399641195609207,0.1728804792896857,0.4175251066764364,0.7542347312615836,4.285583969349591,0.2333191428976869,0.0999999999999999,0.0249999999999999,0.3214481206665856
Brisbane,Australia,Oceania,25339,35174,0.588847546685084,Q3,0.1551363510793638,0.1427474839369989,0.1625952089664154,0.3881763289790441,0.7866135206598523,4.072326149997157,0.208880201061156,0.0749999999999999,-0.025,0.4787433155080211
Cairo,Egypt,Africa,118235,163341,0.6461536530984979,Q3,0.1735272973315854,0.1373323292988288,0.1715820188607434,0.3815029390620374,0.806038820992092,4.076796395271242,0.2094187185016547,0.0999999999999999,0.0,0.4775122334597313
Lisbon,Portugal,Europe,26686,36745,0.6903917590923377,Q3,0.1549126883009818,0.1377058103143285,0.1661920107921756,0.3769766918983737,0.7744135501761223,4.036195400734794,0.2544838513923538,0.125,0.0,0.4911903027091476
Rio de Janeiro,Brazil,Latin America,14909,20774,0.7111571520820197,Q3,0.1734522771480313,0.1467218638682969,0.1786840163659534,0.3934536186196257,0.7679254141793548,4.172330798113026,0.2206516221330009,0.0999999999999999,-0.025,0.56650387969799
Warsaw,Poland,Europe,17582,24341,0.801463404733443,Q3,0.1780229780457285,0.1545129616696109,0.1818336935502218,0.3844841314981231,0.7706745535206461,4.16597510373444,0.2199203187250994,0.0999999999999999,0.0249999999999999,0.3410326086956525
Kuala Lumpur,Malaysia,Asia,37213,50999,0.9794480307699969,Q3,0.1679789320936232,0.1520814133610463,0.1787816085776476,0.3704888076747373,0.7482331443312821,4.024941665522854,0.2030983884482723,0.0749999999999999,0.0,0.3692791487565243
Prague,Czechia,Europe,19787,27325,1.1357044987981897,Q3,0.1856269267701016,0.1724428179322964,0.1975539495628443,0.3810077323495224,0.716682670440188,4.194620311070448,0.2231987994904814,0.0749999999999999,0.0,0.3360233127203642
Lagos,Nigeria,Africa,13226,17952,1.2655638505285953,Q3,0.1945410554967488,0.1714572192513369,0.1963556630878572,0.3574020867987297,0.7547255406018448,4.037655971479501,0.2546630980630208,0.125,0.025,0.3926756595698575
Mumbai,India,Asia,18270,24999,1.2966029361443505,Q3,0.2019157088122605,0.1784871394855794,0.2067870826491516,0.3683634373289545,0.7371647509578544,4.145045801832073,0.2424962845727741,0.0999999999999999,0.0,0.4123774521996418
Hanoi,Vietnam,Asia,29320,39886,1.3262571897564372,Q4 high bottleneck / low redundancy,0.198738062755798,0.1730933159504588,0.2022169167803547,0.3604024556616644,0.733663028649386,4.090257233114376,0.2610331976658657,0.15,0.05,0.383093035269807
Accra,Ghana,Africa,19183,25655,1.4931437516570925,Q4 high bottleneck / low redundancy,0.2051816712714382,0.1756772558955369,0.2062242610644842,0.3374341865193139,0.7552520460824689,3.975521340869226,0.2219213271629146,0.0999999999999999,0.0,0.4506101386397573
Chennai,India,Asia,42444,56880,1.5253413975102355,Q4 high bottleneck / low redundancy,0.2115257751390067,0.1786040787623066,0.2087220808594854,0.3401423051550278,0.747973800772783,4.012447257383967,0.2265510804984489,0.125,-0.025,0.6621023376713799
Dar es Salaam,Tanzania,Africa,22312,29826,1.5534625467242436,Q4 high bottleneck / low redundancy,0.1989960559340265,0.1770938107691276,0.2029401219074937,0.3368142703477949,0.7357027608461815,3.940119358948568,0.2674011640769924,0.15,0.025,0.4674624376878514
Auckland,New Zealand,Oceania,12533,16775,1.5724706345712192,Q4 high bottleneck / low redundancy,0.1942870821032474,0.1795529061102831,0.2025053857815367,0.3385462379318599,0.7164286284209687,3.964709388971684,0.2205494075900642,0.0749999999999999,0.0,0.3400598569704735
Bengaluru,India,Asia,101357,136603,1.5937692105155987,Q4 high bottleneck / low redundancy,0.2230137040362284,0.1890661259269562,0.216225815681206,0.3477510186765591,0.7332793985615201,4.10152046441147,0.2123759548797029,0.125,0.0249999999999999,0.4708630977393065
Dhaka,Bangladesh,Asia,35890,47996,1.5993462697181395,Q4 high bottleneck / low redundancy,0.2112008916132627,0.184557046420535,0.2101142379492895,0.3373363053775425,0.7428531624407914,3.990999249937495,0.2238723688606749,0.0999999999999999,0.0,0.4466830833519882
Hyderabad,India,Asia,98461,132094,1.7009066142961253,Q4 high bottleneck / low redundancy,0.2298473507276993,0.1935591321331778,0.2195387006022689,0.3415971806095814,0.7269375691898315,4.097052099262647,0.2618441377985055,0.125,0.025,0.3819065832092528
Algiers,Algeria,Africa,21703,28885,1.7976550282266348,Q4 high bottleneck / low redundancy,0.2046260885591853,0.1912065085684611,0.2125512601944431,0.3309680689305626,0.7018845320923375,3.9480006924009,0.2434144758764622,0.0999999999999999,0.0,0.4108219104058213
Quito,Ecuador,Latin America,26144,35253,1.8708884455127723,Q4 high bottleneck / low redundancy,0.2329023867809057,0.2096275494284174,0.2337056303549571,0.3484547123623011,0.6946144430844553,4.156468952996908,0.2438223411225157,0.125,0.0,0.5126683610063036
Panama City,Panama,Latin America,9245,12302,2.2469080025204464,Q4 high bottleneck / low redundancy,0.2299621416982152,0.2188262071207933,0.2311519740400216,0.3307733910221741,0.6281233098972417,4.051536335555194,0.2313600979093936,0.0999999999999999,0.025,0.3241699872956129
Jakarta,Indonesia,Asia,50166,65445,2.247506432718969,Q4 high bottleneck / low redundancy,0.2342024478730614,0.2114600045840018,0.2372124546505601,0.3045887652992066,0.7020491966670653,3.9037665215066086,0.1876742784227459,0.0749999999999999,-0.025,0.5328380683832699
London,United Kingdom,Europe,48353,62602,2.36100862055985,Q4 high bottleneck / low redundancy,0.2249084855127913,0.2245934634676208,0.2349388869356606,0.2947076706719335,0.6927181353793973,3.846266892431552,0.2550152834075354,0.125,0.0,0.4901667003237595
Ho Chi Minh City,Vietnam,Asia,40466,51958,3.1606631625882335,Q4 high bottleneck / low redundancy,0.2707458112983739,0.2729319835251549,0.2755152473681609,0.2840162111402164,0.6051500024712104,3.952962007775511,0.2190502853136501,0.125,0.0,0.5706452279713632
Tehran,Iran,Middle East,85612,108037,3.3003166056845634,Q4 high bottleneck / low redundancy,0.2975634256879876,0.275692586798967,0.2825888894080269,0.2619492594496099,0.6422814558706723,3.924914612586429,0.1904347744059465,0.0999999999999999,0.0,0.5251141778698024
Nairobi,Kenya,Africa,22960,28157,4.085297248452213,Q4 high bottleneck / low redundancy,0.293074912891986,0.3139183861917107,0.305095818815331,0.2263937282229965,0.5764372822299652,3.68114500834606,0.2816907863000482,0.1499999999999999,0.0499999999999999,0.3549991865672282
Kampala,Uganda,Africa,35927,41391,5.402641211760283,Q4 high bottleneck / low redundancy,0.361761349402956,0.3796719093522746,0.360620146407994,0.1521140089626186,0.553483452556573,3.4815781208475274,0.2505478606026119,0.125,0.0,0.4989066747540884
Bangkok,Thailand,Asia,63366,71694,6.733207715756491,Q4 high bottleneck / low redundancy,0.3948647539690054,0.4954528970346193,0.3939336552725436,0.1314427295395006,0.3866584603730707,3.515524311657879,0.2810948175304116,0.125,-0.05,0.6225657290215489
