city,domain,pc_obs,pc_cebh,mean_degree,fc_obs,fc_cebh,fc_derived,overrating
Prague,road,0.7,0.4768012005095185,2.7619143882346995,0.30000000000000004,0.5231987994904814,0.2758645928636779,0.22319879949048138
Rome,road,0.675,0.4705329710788918,2.868242851062184,0.32499999999999996,0.5294670289211082,0.30270897415142206,0.20446702892110824
Vienna,road,0.675,0.4456985030858935,2.9657949968801405,0.32499999999999996,0.5543014969141065,0.32564455665213066,0.2293014969141065
Warsaw,road,0.7,0.4800796812749004,2.76885451029462,0.30000000000000004,0.5199203187250996,0.2776796351834355,0.21992031872509954
Bogota,road,0.65,0.4493951193413192,2.966545668596096,0.35,0.5506048806586807,0.325815199417951,0.20060488065868076
Buenos Aires,road,0.575,0.3806157377781841,3.462896220312356,0.42500000000000004,0.619384262221816,0.4224487617421009,0.19438426222181593
Lima,road,0.65,0.4428345242198864,3.068042906294272,0.35,0.5571654757801137,0.348118634228719,0.20716547578011368
Mexico City,road,0.625,0.4265999557561695,3.0717481190266387,0.375,0.5734000442438305,0.3489049484194847,0.1984000442438305
Montevideo,road,0.6,0.4069683126676818,3.2628442700385145,0.4,0.5930316873323183,0.3870378619153675,0.19303168733231824
Panama City,road,0.725,0.4936399020906064,2.661330448891293,0.275,0.5063600979093936,0.24849617948301106,0.2313600979093936
Quito,road,0.725,0.4811776588774842,2.696832925336597,0.275,0.5188223411225158,0.25838935693416154,0.24382234112251577
Rio de Janeiro,road,0.7,0.479348377866999,2.786773090079817,0.30000000000000004,0.520651622133001,0.2823240589198035,0.22065162213300094
Santiago,road,0.65,0.4543405779204741,2.90859382720116,0.35,0.5456594220795259,0.31238250549251445,0.1956594220795259
Sao Paulo,road,0.675,0.4525467568643056,3.0155783891282733,0.32499999999999996,0.5474532431356944,0.3367773136953177,0.22245324313569448
Dubai,road,0.725,0.4908611675236571,2.889849910964131,0.275,0.5091388324763428,0.30792253521126756,0.23413883247634282
Istanbul,road,0.675,0.4613033850047454,2.995316544102543,0.32499999999999996,0.5386966149952546,0.33229093801862597,0.2136966149952546
Riyadh,road,0.675,0.4665628855078422,3.048165489714461,0.32499999999999996,0.5334371144921578,0.34386764539239256,0.20843711449215785
Tehran,road,0.7,0.5095652255940534,2.5238751576881744,0.30000000000000004,0.4904347744059466,0.20756777770578594,0.19043477440594658
Tel Aviv,road,0.675,0.4704556407107436,2.85432680971469,0.32499999999999996,0.5295443592892564,0.29930938770115323,0.2045443592892564
Boston,road,0.675,0.4629981269779758,2.8883516660622908,0.32499999999999996,0.5370018730220242,0.30756354099824224,0.21200187302202422
Chicago,road,0.6,0.3959947031400221,3.2926093514328807,0.4,0.6040052968599778,0.39257901969766373,0.2040052968599778
Los Angeles,road,0.6,0.4249303262083952,3.106912028725314,0.4,0.5750696737916048,0.35627401693103344,0.17506967379160476
Miami,road,0.6,0.4188310741874362,3.1959072457320805,0.4,0.5811689258125639,0.37419961024498893,0.18116892581256383
Montreal,road,0.625,0.4231662575553621,3.157091517747256,0.375,0.5768337424446379,0.36650553563075017,0.20183374244463792
New York City,road,0.575,0.3876426827190641,3.394499975135512,0.42500000000000004,0.6123573172809359,0.4108116026955758,0.18735731728093585
San Francisco,road,0.6,0.4019767215033488,3.224830464267084,0.4,0.5980232784966513,0.37981235846004535,0.19802327849665124
Seattle,road,0.65,0.4417716876708675,3.0166192373363687,0.35,0.5582283123291325,0.3370061507112939,0.20822831232913253
Toronto,road,0.65,0.4503249767873723,2.962308125050229,0.35,0.5496750232126277,0.3248507867607162,0.19967502321262776
Vancouver,road,0.625,0.4277066531310511,3.058752352783006,0.375,0.5722933468689488,0.34613863126895517,0.19729334686894884
Auckland,road,0.725,0.5044505924099357,2.67693289715152,0.275,0.4955494075900643,0.252876304023845,0.22054940759006425
Brisbane,road,0.7,0.4911197989388439,2.776273728244998,0.30000000000000004,0.5088802010611562,0.2796099391596065,0.20888020106115612
Melbourne,road,0.7,0.4686087256486138,2.9453954125299555,0.30000000000000004,0.5313912743513862,0.3209740222002674,0.23139127435138618
Sydney,road,0.7,0.487296324811841,2.792077425163178,0.30000000000000004,0.5127036751881591,0.2836874858930126,0.21270367518815902
case1354pegase,power,0.61,0.3339191564147627,2.5258493353028064,0.39,0.6660808435852372,0.20818713450292392,0.2760808435852372
case2869pegase,power,0.67,0.3161249203314212,2.7661205995120253,0.32999999999999996,0.6838750796685789,0.2769657258064516,0.3538750796685789
case9241pegase,power,0.69,0.2113602213725694,3.0747754572016017,0.31000000000000005,0.7886397786274306,0.3495459984514676,0.47863977862743057
case1888rte,power,0.65,0.3413696198787161,2.444915254237288,0.35,0.6586303801212838,0.18197573656845756,0.30863038012128385
case2848rte,power,0.63,0.3494061516597299,2.417134831460674,0.37,0.6505938483402701,0.1725740848343985,0.2805938483402701
case6470rte,power,0.61,0.3523655585164476,2.493353941267388,0.39,0.6476344414835524,0.19786759236300522,0.2576344414835524
case3120sp,power,0.67,0.5042430878729811,2.3615384615384616,0.32999999999999996,0.4957569121270189,0.15309446254071668,0.16575691212701893
GBnetwork,power,0.65,0.3573340129985982,2.521582733812949,0.35,0.6426659870014018,0.20684736091298128,0.2926659870014018
case_illinois200,power,0.67,0.3804347826086957,2.45,0.32999999999999996,0.6195652173913043,0.1836734693877552,0.28956521739130436
case300,power,0.71,0.3851224105461393,2.7266666666666666,0.29000000000000004,0.6148775894538607,0.26650366748166254,0.3248775894538607
