city,country,articulation_point_count,articulation_point_share,bridge_edge_count,bridge_edge_share,biconnected_component_count,largest_biconnected_node_fraction,median_biconnected_component_size,dual_degree_mean,dual_degree_median,dual_degree_gini,angular_pair_count,angular_entropy,orthogonal_angle_share_10deg,straight_angle_share_10deg,acute_angle_share_lt45deg,median_intersection_angle_deg,mean_min_node_angle_deg
Kuala Lumpur,Malaysia,6653,0.1787816085776476,7756,0.1520814133610463,7971,0.7482331443312821,2.0,4.024941665522854,4.0,0.11574453718941702,102634,0.8430059739231269,0.3380458717384103,0.22817974550343942,0.06544614844983145,98.90648892353599,69.58911282195562
Jakarta,Indonesia,11900,0.23721245465056015,13839,0.21146000458400183,14032,0.7020491966670653,2.0,3.9037665215066086,4.0,0.1296828990717882,127741,0.7574345530580631,0.42413164136808074,0.2528710437525931,0.03553283597278869,95.61598318523507,76.68331751078746
Manila,Philippines,3712,0.14764139686580224,4223,0.11445995392329585,4306,0.8080502744411742,2.0,4.451389077110719,4.0,0.1302208695801106,82117,0.7635561451693045,0.4115347613770596,0.25744973635179075,0.03473093269359572,95.19226831036234,75.06882706831809
Mumbai,India,3778,0.2067870826491516,4462,0.17848713948557943,4531,0.7371647509578544,2.0,4.145045801832073,4.0,0.1353238912710666,51811,0.8139374555056681,0.3574337495898554,0.23394645924610605,0.039566887340526144,99.05502683169394,73.62544242023658
Bengaluru,India,21916,0.21622581568120602,25827,0.1890661259269562,26012,0.7332793985615201,2.0,4.10152046441147,4.0,0.1342745124251894,280140,0.6949117348256765,0.46761619190404796,0.27639394588420074,0.02179624473477547,94.66777697015665,78.46027141308052
Los Angeles,United States,2216,0.09946140035906642,2446,0.0706711739042501,2461,0.8886445242369838,2.0,4.706653953945278,5.0,0.1218449808963733,81451,0.7227487201862087,0.4507986396729322,0.2758713827945636,0.03737216240439037,91.78215907233637,75.21400986892489
New York City,United States,1152,0.05728778159033269,1208,0.03539408145326692,1230,0.9343577502610771,2.0,5.159390565484911,5.0,0.10134942515428214,88045,0.6645468952720962,0.4884206939633142,0.3018797205974218,0.029053325004259185,90.80523959828201,76.50770799989093
Montreal,Canada,1439,0.07084133313641511,1500,0.04677997816934352,1552,0.9140944222911436,2.0,4.7262747544051145,5.0,0.12152735894062272,75774,0.7252551602421904,0.44441365112043707,0.2780109272309763,0.03777021141816454,93.0612711644579,76.8629965141072
Vancouver,Canada,1854,0.12463027695617102,2103,0.09243549734077623,2149,0.842027426727615,2.0,4.676102149356073,5.0,0.12752945583037012,53193,0.7285892789464345,0.4519579643938112,0.26441449062846617,0.03577538397909499,91.81538593254362,76.54057288502125
London,United Kingdom,11360,0.23493888693566067,14060,0.22459346346762085,14251,0.6927181353793973,2.0,3.8462668924315517,4.0,0.1349637520478797,120392,0.8289648594074925,0.32983088577314107,0.23630307661638647,0.043582630075088044,101.7552945101149,76.26353809775996
Paris,France,3554,0.09619444594814053,3832,0.06944419274750367,3890,0.8905158880528339,2.0,4.405538138127254,4.0,0.11634167224455094,121551,0.8587655726503791,0.28233416426026936,0.23776850869182484,0.05543352173161883,105.17879759817424,70.51007599558959
Amsterdam,Netherlands,4011,0.17288047928968578,4603,0.13996411956092072,4770,0.7542347312615836,2.0,4.285583969349591,4.0,0.1440674794717962,70470,0.830019876068434,0.35593869731800765,0.229757343550447,0.06026678019015184,98.2950438793504,72.31621797740424
Barcelona,Spain,1483,0.07941522973117704,1606,0.055725190839694655,1645,0.9031808932205205,2.0,4.557737682165163,4.0,0.1136988336828999,65677,0.8391565106642427,0.33019169572300805,0.2324862585075445,0.05120514030787034,101.54140777860965,70.88798339778853
Warsaw,Poland,3197,0.18183369355022183,3761,0.15451296166961095,3823,0.7706745535206461,2.0,4.16597510373444,4.0,0.13535443819819393,50702,0.8345772485213186,0.32332057906985917,0.24458601238609917,0.05443572245670782,102.09916867988001,71.58792978821418
Prague,Czechia,3909,0.1975539495628443,4712,0.17244281793229643,4842,0.716682670440188,2.0,4.194620311070448,4.0,0.1433621638954823,57309,0.8715060341039366,0.29691671465214886,0.2057093999197334,0.056204086618157706,102.9720296056136,71.20574661696696
Rome,Italy,3733,0.1444491738575243,4263,0.11502347417840375,4364,0.8175908369771311,2.0,4.250499163563758,4.0,0.12188102459883576,78766,0.8671985950778035,0.2977934641850545,0.2161211690323236,0.05906101617449153,103.46601831808512,70.02478219405194
Milan,Italy,2298,0.0892947347969691,2526,0.066174159069475,2602,0.8875850009714397,2.0,4.302211044744839,4.0,0.10496515108389892,82112,0.8777112308703147,0.2796911535463757,0.2130870031176929,0.058578526890101325,108.35406066467675,69.7221348045255
Lagos,Nigeria,2597,0.19635566308785726,3078,0.1714572192513369,3109,0.7547255406018448,2.0,4.037655971479501,4.0,0.12128406990746798,36242,0.8008417069141635,0.38102201865239227,0.2299541967882567,0.03606313117377628,98.09325955357431,74.8536102826978
Addis Ababa,Ethiopia,7443,0.14571831316809586,8210,0.11361277555595534,8270,0.8323740162105016,2.0,4.147018529537938,4.0,0.10701966123819662,149838,0.7961537326055843,0.3747513981766975,0.23541424738717814,0.028897876373149667,98.53182488809895,75.84837767358654
Dakar,Senegal,2176,0.07602012297372834,2340,0.05425583713974356,2364,0.9126257685858021,2.0,4.347469220246238,4.0,0.09405186750124983,93751,0.7153797586366106,0.4486352145577114,0.2730957536452944,0.020405115678766093,94.33811804294812,78.89610507612547
Kampala,Uganda,12956,0.360620146407994,15715,0.37967190935227463,15788,0.553483452556573,2.0,3.4815781208475274,4.0,0.14995486826059046,72053,0.8615827932515798,0.27139744354849904,0.2004357903210137,0.030283263708658904,105.51940435479034,74.65072578647143
Dar es Salaam,Tanzania,4528,0.20294012190749372,5282,0.1770938107691276,5349,0.7357027608461815,2.0,3.9401193589485684,4.0,0.11623444729637544,58759,0.8539857076198117,0.31031841930597864,0.20289657754556747,0.036453990027059686,103.80002006509606,74.0854709252278
Tunis,Tunisia,5152,0.1102716123370647,5743,0.08508778428031706,5818,0.8608548618394298,2.0,4.1649899992592045,4.0,0.09508121788966228,140558,0.7769932720402548,0.39814880689821996,0.25215925098535835,0.03454801576573372,96.80926402451844,75.8169457609967
Algiers,Algeria,4613,0.21255126019444318,5523,0.19120650856846114,5643,0.7018845320923375,2.0,3.9480006924009,4.0,0.12341293947117826,57019,0.9029215361880423,0.2616671635770533,0.18528911415493082,0.07255476244760518,106.30639096421837,67.4913666245503
Buenos Aires,Argentina,922,0.042602347287681364,995,0.026553159692570452,1007,0.9508363367526107,2.0,5.254643467122118,6.0,0.09588627433305685,98451,0.6474475560515124,0.5038953387979808,0.2983920935287605,0.021431981391758337,92.46029011492853,78.15025187399922
Rio de Janeiro,Brazil,2664,0.17868401636595346,3048,0.14672186386829691,3101,0.7679254141793548,2.0,4.172330798113026,4.0,0.12936748053388913,43338,0.8484765705535979,0.31773501315242975,0.22700632239604965,0.053901887489039645,101.11996144261026,69.9438553650396
Quito,Ecuador,6110,0.23370563035495717,7390,0.20962754942841744,7479,0.6946144430844553,2.0,4.156468952996908,4.0,0.14837041302112386,73264,0.7991058062713092,0.38097837955885566,0.24010428041057,0.04096145446604062,96.93546389571686,73.0789966478595
Montevideo,Uruguay,943,0.06852699658455054,1013,0.04512249443207127,1031,0.9209359784899354,2.0,4.914387527839644,5.0,0.10903661469287207,55164,0.7067984939990559,0.45457182220288594,0.2831375534769052,0.02380175476760206,92.90782436613493,76.7114648739364
Panama City,Panama,2137,0.23115197404002163,2692,0.21882620712079337,2749,0.6281233098972417,2.0,4.051536335555194,4.0,0.14130238613031976,24921,0.8358318252924797,0.34677581156454396,0.2212190522049677,0.05055976886962803,99.70767105594767,71.92465548426992
Delhi,India,7605,0.1282418805436579,8430,0.09817622807630494,8544,0.8437826717480017,2.0,4.264714788158293,4.0,0.1095563766163068,183097,0.7102606796962674,0.466419438876661,0.26945826529107525,0.02763562483273893,93.83933007541076,78.32526048335046
Chennai,India,8859,0.20872208085948543,10159,0.1786040787623066,10232,0.747973800772783,2.0,4.0124472573839665,4.0,0.1255080196286058,114114,0.7114600288268652,0.46353646353646355,0.2668647142331353,0.026736421473263577,94.654918953505,78.64449929571869
Hyderabad,India,21616,0.21953870060226893,25568,0.19355913213317788,25732,0.7269375691898315,2.0,4.097052099262647,4.0,0.13480667156275628,270598,0.7197973338100786,0.4550440136290734,0.26199750182928183,0.022598097546914612,94.62574434296593,78.39994043253385
Karachi,Pakistan,5134,0.0984354628422425,5728,0.07251367227060969,5810,0.8753930516143876,2.0,4.478073728985214,4.0,0.11114805705714681,176866,0.6655118280726464,0.4975518188911379,0.28414732057037534,0.018805197154908235,92.75768723144078,79.77057490907696
Dhaka,Bangladesh,7541,0.2101142379492895,8858,0.18455704642053505,8930,0.7428531624407914,2.0,3.9909992499374947,4.0,0.12445347882593061,95776,0.779958945609753,0.4004761109254928,0.23725150350818577,0.029548112261944537,97.47686280308629,76.8768777620016
Hanoi,Vietnam,5929,0.2022169167803547,6904,0.17309331595045882,7022,0.733663028649386,2.0,4.090257233114376,4.0,0.13168994636725162,81572,0.7935828776568334,0.38488697101946745,0.2456234982592066,0.04378953562496935,97.34658684217031,74.26307829311023
Ho Chi Minh City,Vietnam,11149,0.2755152473681609,14181,0.2729319835251549,14395,0.6051500024712104,2.0,3.952962007775511,4.0,0.1561375575447539,102694,0.7630877871360242,0.4109685083841315,0.25810660798099205,0.03588330379574269,95.76516832014657,76.03426213851968
Singapore,Singapore,1945,0.14430924469505862,2244,0.11549150797735461,2302,0.8165899985161003,2.0,4.284302624806999,4.0,0.12225693818194094,41622,0.8639728586403964,0.28934217481139785,0.23107971745711403,0.06580654461582817,103.54907551918176,66.43010794953793
Hong Kong,China,1037,0.11477587161040398,1211,0.09143072857682144,1256,0.8293303818483675,2.0,4.299433748584372,4.0,0.1172617659532067,28473,0.903286833886758,0.2531872300073754,0.20180521897938397,0.09180627260913848,108.84754207927294,63.465930039782094
Osaka,Japan,10436,0.11287043045641358,11611,0.08371908573076646,11688,0.8710253082414017,2.0,4.476919749080683,4.0,0.11990020931031564,310452,0.720616944746448,0.44178488139873473,0.27462860603249456,0.024567404945047867,94.72385656495933,77.93360305372106
Sydney,Australia,3473,0.15633580913796985,3947,0.1272692096862606,4004,0.8096331307674994,2.0,4.104278850804501,4.0,0.11553879728111416,63643,0.8449455024818142,0.32536178369969987,0.22313530160426126,0.04888204515814779,103.88246222182283,73.26936384406204
Melbourne,Australia,3344,0.09540111833846857,3666,0.07101760911257046,3707,0.8913328768686523,2.0,4.267952964878635,4.0,0.10179289192768226,110158,0.7915972499899026,0.38247789538662647,0.25205613754788575,0.050890539043918735,97.28160872303451,73.28361867086483
Auckland,New Zealand,2538,0.20250538578153673,3012,0.17955290611028316,3053,0.7164286284209687,2.0,3.9647093889716842,4.0,0.12619115282748505,33254,0.8836159516175464,0.2692608408011066,0.2099897756660853,0.06919468334636435,109.04369668823442,69.8478884640434
Brisbane,Australia,4120,0.1625952089664154,5021,0.14274748393699893,5100,0.7866135206598523,2.0,4.072326149997157,4.0,0.11534283576885507,71620,0.8606370712391301,0.3083077352694778,0.21887740854509913,0.056841664339569956,104.82136390730683,71.2997696915016
Chicago,United States,967,0.07292609351432881,1015,0.04649564819056345,1028,0.9196078431372549,2.0,5.05057260650481,5.0,0.11214621638963829,55127,0.5929283004416828,0.540914615342754,0.32006095016960834,0.02603080160356994,90.42513548569903,82.24207037488628
Toronto,Canada,1566,0.1258538937555252,1691,0.09175257731958762,1718,0.8551796190629269,2.0,4.441237113402062,4.0,0.12438098841976464,40926,0.7129335065656669,0.4561159165322778,0.28128817866393,0.03318184039485901,92.50069942598262,78.29607721313573
Seattle,United States,1975,0.11240751280591918,2245,0.08471378438549489,2272,0.8442231075697211,2.0,4.527225387721218,4.0,0.12154519755944193,59988,0.7450006889273258,0.4283856771354271,0.22792891911715676,0.03404014136160565,95.07096520921165,78.40796770677343
San Francisco,United States,1145,0.09954790471222397,1242,0.06696861857004206,1267,0.8803686315423405,2.0,4.975412487868004,5.0,0.12196480499666507,46137,0.7240477879580849,0.45917593254871364,0.2704987320371936,0.04089992847389297,90.85322941823026,74.74074479784507
Boston,United States,3524,0.14198799306982554,3788,0.10568311804257456,3829,0.8339981465812483,2.0,4.319671902463521,4.0,0.1252985864211802,77415,0.8142157410053888,0.3461215526706711,0.2453271329845637,0.04239488471226507,99.26373441693279,73.17390231237589
Miami,United States,1182,0.06572874381360173,1269,0.04416063474387528,1295,0.9233164655507979,2.0,4.775194877505568,5.0,0.11373201023813939,68610,0.7058106382743038,0.4728610989651654,0.2736044308409853,0.036029733275032796,91.19902888673737,76.7426277045892
Riyadh,Saudi Arabia,1956,0.037534540988639856,2152,0.027095425758281607,2225,0.9487833896223519,2.0,4.286667589992823,4.0,0.0744626676415423,170230,0.6421277525359975,0.5097397638489103,0.3000587440521647,0.0224402279269224,91.81541105127842,80.68277348166549
Tel Aviv,Israel,3168,0.1493987267153973,3621,0.11965105904900374,3702,0.799575571799104,2.0,4.2511978323365165,4.0,0.12497844736142971,64327,0.8649459801610118,0.2994543504282805,0.2132075178385437,0.05440950145351097,104.79331440144712,71.08618240362722
Tehran,Iran,24193,0.2825888894080269,29785,0.275692586798967,29900,0.6422814558706723,2.0,3.924914612586429,4.0,0.15712195652717909,212018,0.7093703368002497,0.45423030120084146,0.2835891292248771,0.02922865039760775,93.36656748163705,77.69311237498913
