city,country,macro_region,swap_fraction,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_spatial_null,pc_spatial_null_ci_low,pc_spatial_null_ci_high,spatial_null_gap,road_minus_spatial,spatial_fraction_of_road_gap,remaining_fraction_after_spatial,threshold_boundary_hit,runtime_seconds,n_perm,n_bootstrap,length_bins,bin_tolerance,status,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,degree_max_abs_drift,chord_length_mean_ratio,chord_length_median_ratio,chord_length_bin_tvd,length_rejects,topology_rejects,notes,road_minus_geometry_mean,remaining_fraction_after_geometry_mean,geometry_fraction_of_road_gap_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,null_mobility_index_mean,n_replicates_pass,spatial_minus_geometry_residual,pc_rank_fine,delta_fine_minus_coarse,pc_geometry_null_mean,fine_road_minus_spatial,fine_road_minus_geometry_mean,fine_spatial_minus_geometry_residual
Chennai,India,Asia,0.005,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.65,0.65,0.65,0.151551080498449,0.0749999999999999,0.6689488311643105,0.3310511688356898,False,0.9855694770812988,6,80,12,1,pass,284.0,10753.0,0.0264112340742118,0.0049929676511954,0.0,2.08708284365338,1.0,0.0046237693389592,10468.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,-0.0083333333333333,-0.0367834632039655,1.036783463203966,0.0049929676511954,0.0017364677954846,0.0,0,0.0041150425316661,3,0.0833333333333332,0.74,0.015000000000000013,0.7333333333333333,0.08999999999999997,0.00666666666666671,0.08333333333333326
Chennai,India,Asia,0.01,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.625,0.625,0.625,0.126551080498449,0.0999999999999999,0.5585984415524137,0.4414015584475865,False,1.179023504257202,6,80,12,1,pass,569.0,20699.0,0.027489250688439,0.0100035161744022,0.0,3.107639465491951,1.0,0.0096167369901547,20129.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0,0.0,1.0000000000000002,0.0100035161744022,0.0017218656251466,0.0,0,0.007818015584922,3,0.0999999999999999,0.74,0.015000000000000013,0.725,0.11499999999999999,0.015000000000000013,0.09999999999999998
Ho Chi Minh City,Vietnam,Asia,0.005,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.625,0.625,0.65,0.1190502853136501,0.0999999999999999,0.5434838176229096,0.4565161823770904,False,0.8968799114227295,6,80,12,1,pass,260.0,9536.0,0.0272651006711409,0.0050040417260094,0.0,2.1228985021662266,1.0,0.0049078101543554,9276.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,-0.0166666666666666,-0.0760860303961818,1.076086030396182,0.0050040417260094,0.0017632438004469,0.0,0,0.0036051602349998,3,0.1166666666666665,0.71,-0.015000000000000013,0.7416666666666666,0.08499999999999996,-0.03166666666666662,0.11666666666666659
Ho Chi Minh City,Vietnam,Asia,0.01,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.625,0.6,0.625,0.1190502853136501,0.0999999999999999,0.5434838176229096,0.4565161823770904,False,1.0602259635925293,6,80,12,1,pass,520.0,17642.0,0.0294751161999773,0.0100080834520189,0.0,3.075691648898257,1.0,0.0099888371376881,17120.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,-0.0083333333333333,-0.0380430151980909,1.038043015198091,0.0100080834520189,0.001895297046525,0.0,0,0.0072786381463245,3,0.1083333333333332,0.71,-0.015000000000000013,0.7333333333333333,0.08499999999999996,-0.023333333333333317,0.10833333333333328
Hong Kong,China,Asia,0.005,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.625,0.625,0.65,0.159822463386366,0.05,0.7617033029112319,0.2382966970887682,False,0.2426972389221191,6,80,12,1,pass,66.0,2628.0,0.0251141552511415,0.0049830124575311,0.0,1.5522783756954144,1.0,0.0046055115137787,2561.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0416666666666666,0.1985805809073068,0.8014194190926932,0.0049830124575311,0.0015611601287189,0.0,0,0.0028466849706224,3,0.0083333333333334,0.69,0.014999999999999902,0.6333333333333334,0.06499999999999995,0.05666666666666653,0.008333333333333415
Hong Kong,China,Asia,0.01,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.625,0.6,0.625,0.159822463386366,0.05,0.7617033029112319,0.2382966970887682,False,0.2785439491271972,6,80,12,1,pass,132.0,4330.0,0.0304849884526558,0.0099660249150622,0.0,2.102057996152119,1.0,0.0097395243488108,4197.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.025,0.1191483485443841,0.8808516514556161,0.0099660249150622,0.0016495529248873,2.516672958349092e-05,0,0.0041545202697021,3,0.025,0.69,0.014999999999999902,0.65,0.06499999999999995,0.039999999999999925,0.025000000000000022
Hong Kong,China,Asia,0.02,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.625,0.575,0.65,0.159822463386366,0.05,0.7617033029112319,0.2382966970887682,False,0.4059972763061523,6,80,12,1,pass,265.0,10883.0,0.0243499035192502,0.020007550018875,0.0,3.0028288819887687,1.0000936764448924,0.0178180445451113,10607.0,11.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0166666666666666,0.0794322323629227,0.9205677676370776,0.020007550018875,0.0015593988601366,0.0,0,0.0082175127215244,3,0.0333333333333334,0.69,0.014999999999999902,0.6583333333333334,0.06499999999999995,0.03166666666666651,0.03333333333333344
Kuala Lumpur,Malaysia,Asia,0.005,37213,50999,0.4969016115517276,0.7,0.2030983884482723,0.65,0.65,0.65,0.1530983884482724,0.0499999999999999,0.7538139008289843,0.2461860991710162,False,0.8785324096679688,6,80,12,1,pass,255.0,8152.0,0.0312806673209028,0.005000098041138,0.0,1.9327497200077577,1.0,0.0045687170336673,7897.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0,0.0,1.0000000000000004,0.005000098041138,0.0016368799367017,0.0,0,0.0028168739825718,3,0.0499999999999999,0.71,0.010000000000000009,0.7,0.05999999999999994,0.010000000000000009,0.04999999999999993
Kuala Lumpur,Malaysia,Asia,0.01,37213,50999,0.4969016115517276,0.7,0.2030983884482723,0.625,0.625,0.65,0.1280983884482724,0.0749999999999999,0.6307208512434759,0.3692791487565245,False,1.0599873065948486,6,80,12,1,pass,510.0,17772.0,0.0286968264686022,0.0100001960822761,0.0,2.832362591426596,1.0,0.00935312457107,17260.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0,0.0,1.0000000000000004,0.0100001960822761,0.0018582750550775,0.0,0,0.0051414282147722,3,0.0749999999999999,0.71,0.010000000000000009,0.7,0.08499999999999996,0.010000000000000009,0.07499999999999996
Singapore,Singapore,Asia,0.005,13478,19430,0.4668204315025708,0.675,0.2081795684974292,0.625,0.625,0.65,0.1581795684974292,0.05,0.7598227320726845,0.2401772679273158,False,0.3385601043701172,6,80,12,1,pass,97.0,3587.0,0.0270420964594368,0.0049922799794132,0.0,1.6575770180098086,1.0,0.0052496139989706,3490.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0,0.0,1.0000000000000002,0.0049922799794132,0.0023132565935458,0.0,0,0.0026225131728638,3,0.05,0.68,0.0050000000000000044,0.675,0.05500000000000005,0.0050000000000000044,0.050000000000000044
Singapore,Singapore,Asia,0.01,13478,19430,0.4668204315025708,0.675,0.2081795684974292,0.6,0.6,0.6,0.1331795684974291,0.075,0.6397340981090266,0.3602659018909737,False,0.4086940288543701,6,80,12,1,pass,194.0,7381.0,0.0262837013954748,0.0099845599588265,0.0,2.321169688243218,1.0,0.0088008234688625,7184.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,3.353798720221827e-17,1.9891495857867391e-16,1.0,0.0099845599588265,0.0021386993339825,0.0,0,0.004910716817214,3,0.0749999999999999,0.68,0.0050000000000000044,0.675,0.08000000000000007,0.0050000000000000044,0.07500000000000007
Singapore,Singapore,Asia,0.02,13478,19430,0.4668204315025708,0.675,0.2081795684974292,0.6,0.6,0.625,0.1331795684974291,0.075,0.6397340981090266,0.3602659018909737,False,0.6124980449676514,6,80,12,1,pass,389.0,14706.0,0.0264517883856929,0.0200205867215645,0.0,3.4054086768859526,0.9999723879244876,0.0177045805455481,14310.0,7.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,-0.0166666666666666,-0.0800590893091048,1.080059089309105,0.0200205867215645,0.0019408503190127,0.0,0,0.0096265845916265,3,0.0916666666666665,0.68,0.0050000000000000044,0.6916666666666667,0.08000000000000007,-0.011666666666666603,0.09166666666666667
Taipei,Taiwan,Asia,0.005,16388,24900,0.431684610183596,0.6,0.1683153898164039,0.575,0.55,0.575,0.1433153898164039,0.025,0.8514693158642855,0.1485306841357149,False,0.422135591506958,6,80,12,1,pass,124.0,4643.0,0.0267068705578289,0.0049799196787148,0.0,1.64184342827794,1.0,0.0047389558232931,4518.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0083333333333333,0.0495102280452383,0.950489771954762,0.0049799196787148,0.0016977399475265,0.0,0,0.0030959231304562,3,0.0166666666666667,0.605,0.0050000000000000044,0.5916666666666667,0.030000000000000027,0.013333333333333308,0.01666666666666672
Taipei,Taiwan,Asia,0.01,16388,24900,0.431684610183596,0.6,0.1683153898164039,0.575,0.55,0.575,0.1433153898164039,0.025,0.8514693158642855,0.1485306841357149,False,0.548487663269043,6,80,12,1,pass,249.0,8648.0,0.0287927844588344,0.01,0.0,2.164127232601483,1.0,0.0103212851405622,8397.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,-0.0083333333333333,-0.0495102280452383,1.0495102280452389,0.01,0.0018170922222011,0.0,0,0.0058423759037614,3,0.0333333333333333,0.605,0.0050000000000000044,0.6083333333333333,0.030000000000000027,-0.0033333333333332993,0.033333333333333326
Taipei,Taiwan,Asia,0.02,16388,24900,0.431684610183596,0.6,0.1683153898164039,0.525,0.525,0.55,0.093315389816404,0.0749999999999999,0.5544079475928563,0.4455920524071442,False,0.701462984085083,6,80,12,1,pass,498.0,18096.0,0.0275198938992042,0.02,0.0,3.263557529924748,1.0,0.0191566265060241,17594.0,4.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0,0.0,1.0000000000000004,0.02,0.0018480699547442,0.0,0,0.0111901532850547,3,0.0749999999999999,0.605,0.0050000000000000044,0.6,0.07999999999999996,0.0050000000000000044,0.07499999999999996
Amsterdam,Netherlands,Europe,0.005,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.6,0.6,0.65,0.1333191428976869,0.0999999999999999,0.5714025057778861,0.4285974942221141,False,0.6031794548034668,6,80,12,1,pass,164.0,6809.0,0.0240857688353649,0.0049867728889834,0.0,1.8098328340631809,1.0,0.0047131085231246,6645.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0249999999999999,0.1071493735555281,0.8928506264444721,0.0049867728889834,0.0018841710074671,0.0,0,0.0026066875574787,3,0.075,0.685,-0.014999999999999902,0.675,0.08500000000000008,0.010000000000000009,0.07500000000000007
Amsterdam,Netherlands,Europe,0.01,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.6,0.6,0.6,0.1333191428976869,0.0999999999999999,0.5714025057778861,0.4285974942221141,False,0.6754629611968994,6,80,12,1,pass,329.0,11749.0,0.0280023831815473,0.010003952929729,0.0,2.567180714041874,1.0,0.0092437741356767,11420.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0249999999999999,0.1071493735555281,0.8928506264444721,0.010003952929729,0.0019830478395282,0.0,0,0.0050601284704485,3,0.075,0.685,-0.014999999999999902,0.675,0.08500000000000008,0.010000000000000009,0.07500000000000007
Barcelona,Spain,Europe,0.005,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.6,0.575,0.6,0.1611858032492349,0.025,0.8657255302836703,0.1342744697163303,False,0.5155210494995117,6,80,12,1,pass,144.0,6474.0,0.0222428174235403,0.0049965301873698,0.0,1.7917188613239552,1.0,0.0050659264399722,6329.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0,0.0,1.0000000000000009,0.0049965301873698,0.0019886467150705,0.0,0,0.0028355438892697,3,0.025,0.63,0.0050000000000000044,0.625,0.030000000000000027,0.0050000000000000044,0.025000000000000022
Barcelona,Spain,Europe,0.01,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.575,0.55,0.575,0.1361858032492349,0.05,0.73145106056734,0.2685489394326606,False,0.6183075904846191,6,80,12,1,pass,288.0,11365.0,0.0253409590849098,0.0099930603747397,0.0,2.5825081607513587,1.0,0.0096460791117279,11074.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,-0.0166666666666666,-0.0895163131442202,1.089516313144221,0.0099930603747397,0.0020645448764775,0.0,0,0.0055324110372718,3,0.0666666666666666,0.63,0.0050000000000000044,0.6416666666666666,0.05500000000000005,-0.011666666666666603,0.06666666666666665
Barcelona,Spain,Europe,0.02,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.575,0.575,0.575,0.1361858032492349,0.05,0.73145106056734,0.2685489394326606,False,0.8595190048217773,6,80,12,1,pass,576.0,22235.0,0.0259051045648751,0.0199861207494795,0.0,4.011626395071347,1.0,0.0167591950034698,21647.0,12.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,-0.0083333333333333,-0.0447581565721101,1.044758156572111,0.0199861207494795,0.001945590064318,0.0,0,0.0106295481443093,3,0.0583333333333333,0.63,0.0050000000000000044,0.6333333333333333,0.05500000000000005,-0.0033333333333332993,0.05833333333333335
Rome,Italy,Europe,0.005,25843,37062,0.4705329710788918,0.675,0.2044670289211081,0.65,0.625,0.65,0.1794670289211082,0.025,0.8777308980723444,0.1222691019276563,False,0.6316890716552734,6,80,12,1,pass,185.0,6424.0,0.0287982565379825,0.0049916356375802,0.0,1.9139390061409205,1.0,0.0049106901948087,6237.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0,0.0,1.0000000000000009,0.0049916356375802,0.0021089622693431,0.0,0,0.0022534849747456,3,0.025,0.685,0.010000000000000009,0.675,0.03500000000000003,0.010000000000000009,0.025000000000000022
Rome,Italy,Europe,0.01,25843,37062,0.4705329710788918,0.675,0.2044670289211081,0.625,0.624375,0.625,0.1544670289211082,0.05,0.755461796144688,0.2445382038553126,False,0.8143656253814697,6,80,12,1,pass,371.0,13704.0,0.0270723876240513,0.0100102530894177,0.0,2.8201148118369903,1.0,0.0095245804327882,13331.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,-0.0249999999999999,-0.1222691019276556,1.1222691019276565,0.0100102530894177,0.0020998147109788,0.0,0,0.004507789893304,3,0.0749999999999999,0.685,0.010000000000000009,0.7,0.06000000000000005,-0.014999999999999902,0.07499999999999996
Buenos Aires,Argentina,Latin America,0.005,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.525,0.525,0.525,0.1443842622218159,0.0499999999999999,0.7427775302974691,0.2572224697025314,False,0.6403610706329346,6,80,12,1,pass,187.0,6978.0,0.026798509601605,0.0049903928266438,0.0,1.7442744420511875,1.0,0.0043499146029035,6791.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0083333333333333,0.0428704116170884,0.957129588382912,0.0049903928266438,0.001213549247792,0.0,0,0.0050397761833574,3,0.0416666666666666,0.56,-0.014999999999999902,0.5666666666666667,0.03500000000000003,-0.006666666666666599,0.04166666666666663
Buenos Aires,Argentina,Latin America,0.01,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.5,0.5,0.5,0.1193842622218159,0.0749999999999999,0.614166295446203,0.3858337045537974,False,0.7939977645874023,6,80,12,1,pass,375.0,14087.0,0.026620288208987,0.0100074722459436,0.0,2.5043662685193584,1.0,0.0093136208368915,13706.0,6.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,-0.0083333333333333,-0.0428704116170886,1.0428704116170893,0.0100074722459436,0.0011734788790677,0.0,0,0.0094632696406063,3,0.0833333333333332,0.56,-0.014999999999999902,0.5833333333333333,0.06000000000000005,-0.023333333333333206,0.08333333333333326
Montevideo,Uruguay,Latin America,0.005,13761,22450,0.4069683126676818,0.6,0.1930316873323181,0.55,0.55,0.575,0.1430316873323182,0.0499999999999999,0.740975169978589,0.2590248300214114,False,0.4165408611297607,6,80,12,1,pass,112.0,4067.0,0.027538726333907,0.0049888641425389,0.0,1.6542416333268868,1.0,0.0053452115812917,3954.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0166666666666666,0.0863416100071373,0.9136583899928632,0.0049888641425389,0.0014793668935144,0.0,0,0.0039450994493417,3,0.0333333333333333,0.575,-0.025000000000000022,0.5833333333333334,0.02499999999999991,-0.008333333333333415,0.033333333333333326
Montevideo,Uruguay,Latin America,0.01,13761,22450,0.4069683126676818,0.6,0.1930316873323181,0.55,0.525,0.55,0.1430316873323182,0.0499999999999999,0.740975169978589,0.2590248300214114,False,0.4831085205078125,6,80,12,1,pass,224.0,7586.0,0.0295280780384919,0.0099777282850779,0.0,2.254801064262356,1.0,0.0094432071269487,7359.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0083333333333333,0.0431708050035686,0.9568291949964318,0.0099777282850779,0.0015725698700501,0.0,0,0.0073955335251105,3,0.0416666666666666,0.575,-0.025000000000000022,0.5916666666666667,0.02499999999999991,-0.01666666666666672,0.04166666666666663
Montevideo,Uruguay,Latin America,0.02,13761,22450,0.4069683126676818,0.6,0.1930316873323181,0.525,0.525,0.525,0.1180316873323182,0.0749999999999999,0.611462754967883,0.3885372450321174,False,0.649212121963501,6,80,12,1,pass,449.0,15063.0,0.0298081391489079,0.02,0.0,3.387759237127973,1.0,0.0187082405345211,14605.0,9.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0,0.0,1.0000000000000004,0.02,0.0015516978901254,0.0,0,0.0137863006878918,3,0.0749999999999999,0.575,-0.025000000000000022,0.6,0.04999999999999993,-0.025000000000000022,0.07499999999999996
Rio de Janeiro,Brazil,Latin America,0.005,14909,20774,0.479348377866999,0.7,0.2206516221330009,0.65,0.65,0.65,0.170651622133001,0.0499999999999999,0.7733984481208043,0.2266015518791959,False,0.3745167255401611,6,80,12,1,pass,104.0,4042.0,0.0257298367144977,0.0050062578222778,0.0,1.7460858682375944,1.0,0.0047655723500529,3936.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,-0.0166666666666666,-0.0755338506263988,1.075533850626399,0.0050062578222778,0.0016662194707848,0.0,0,0.0032194396147563,3,0.0666666666666665,0.71,0.010000000000000009,0.7166666666666666,0.05999999999999994,-0.006666666666666599,0.06666666666666654
Rio de Janeiro,Brazil,Latin America,0.01,14909,20774,0.479348377866999,0.7,0.2206516221330009,0.625,0.6,0.625,0.1456516221330009,0.0749999999999999,0.6600976721812061,0.3399023278187941,False,0.4645650386810303,6,80,12,1,pass,208.0,7254.0,0.028673835125448,0.0100125156445556,0.0,2.388932125374213,1.0,0.0093385963223259,7041.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0,0.0,1.0000000000000002,0.0100125156445556,0.00176245892784,0.0,0,0.0058959639549926,3,0.0749999999999999,0.71,0.010000000000000009,0.7,0.08499999999999996,0.010000000000000009,0.07499999999999996
Rio de Janeiro,Brazil,Latin America,0.02,14909,20774,0.479348377866999,0.7,0.2206516221330009,0.6,0.6,0.625,0.1206516221330009,0.0999999999999999,0.5467968962416079,0.4532031037583923,False,0.6950502395629883,6,80,12,1,pass,415.0,15906.0,0.0260907833521941,0.0199768941946664,0.0,3.763396990725525,1.0,0.0180514104168672,15486.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,-0.0166666666666666,-0.0755338506263988,1.075533850626399,0.0199768941946664,0.0016415714655249,0.0,0,0.0103325698268732,3,0.1166666666666665,0.71,0.010000000000000009,0.7166666666666666,0.10999999999999999,-0.006666666666666599,0.11666666666666659
