graph_cache_file,status,n_nodes,n_edges_simple,n_cross_pairs_poly,n_cross_pairs_chord,chi_poly,chi_chord,bridge_tunnel_tagged_edge_share,cross_pairs_with_tagged_edge_share,seconds,city,country,macro_region,mean_degree,pc_cebh,pc_rank,road_gap,anchor_pc,anchor_deviation,spatial_resid_f0.01,spatial_resid_f0.02,geom_resid_f0.01,geom_resid_f0.02,noncross_marginal_f0.01,noncross_marginal_f0.02
delhi_india__drive_10000m.pkl,ok,59302,85866,1001,2341,0.0116576992057391,0.0272634104302052,0.0085831411734563,0.999000999000999,6.6,Delhi,India,Asia,2.8958888401740244,0.4689645379225219,0.7,0.231035462077478,0.6906342440546899,0.0135610940609085,0.0999999999999999,0.0999999999999999,0.0,0.0,-0.0999999999999999,-0.0999999999999999
lisbon_portugal__drive_10000m.pkl,ok,26686,36745,1062,1977,0.0289018914137977,0.0538032385358552,0.0238944074023676,1.0,2.8,Lisbon,Portugal,Europe,2.7538784381323542,0.4955161486076462,0.75,0.2544838513923538,0.7262484691794802,0.0327044142996328,0.125,0.125,0.025,-0.025,-0.0999999999999999,-0.15
kuala_lumpur_malaysia__drive_10000m.pkl,ok,37213,50999,3273,5165,0.0641777289750779,0.1012764956175611,0.0325888742916527,1.0,4.4,Kuala Lumpur,Malaysia,Asia,2.74092387069035,0.4969016115517276,0.7,0.2030983884482723,0.7296809741367478,-0.0406766452583775,0.0749999999999999,0.0749999999999999,0.0,0.0,-0.0749999999999999,-0.0749999999999999
los_angeles_united_states__drive_10000m.pkl,ok,22280,34611,1578,2257,0.0455924417092831,0.0652104822166363,0.0247898067088497,1.0,2.8,Los Angeles,United States,North America,3.106912028725314,0.4249303262083952,0.6,0.1750696737916047,0.6437259830689666,-0.0679263913824058,0.0749999999999999,0.0749999999999999,-0.0083333333333333,-0.025,-0.0833333333333332,-0.0999999999999999
jakarta_indonesia__drive_10000m.pkl,ok,50166,65445,1389,2521,0.0212239284895713,0.0385208954083581,0.0291084116433646,1.0,5.3,Jakarta,Indonesia,Asia,2.609137662958976,0.512325721577254,0.7,0.1876742784227459,0.7665367866147147,-0.0868018179643583,0.0749999999999999,0.0749999999999999,-0.0166666666666666,-0.0166666666666666,-0.0916666666666665,-0.0916666666666665
miami_united_states__drive_10000m.pkl,ok,17983,28736,644,911,0.0224109131403118,0.0317023942093541,0.0144766146993318,1.0,2.2,Miami,United States,North America,3.1959072457320805,0.4188310741874362,0.6,0.1811689258125637,0.6258003897550111,-0.0412278262803759,0.0749999999999999,0.0749999999999999,-0.025,-0.0166666666666666,-0.0999999999999999,-0.0916666666666665
istanbul_turkey__drive_10000m.pkl,ok,48682,72909,1619,3209,0.0222057633488321,0.0440137705907364,0.0101633543183969,1.0,5.7,Istanbul,Turkey,Middle East,2.995316544102543,0.4613033850047454,0.675,0.2136966149952546,0.667709061981374,0.0109193336346082,0.1,0.1,0.0,-0.0083333333333333,-0.1,-0.1083333333333333
manila_philippines__drive_10000m.pkl,ok,25142,36895,1223,1971,0.033148123051904,0.0534218728825044,0.0240954058815557,1.0,3.2,Manila,Philippines,Asia,2.934929599872723,0.4492979529208324,0.65,0.2007020470791676,0.6814473505895108,-0.046147880041365,0.075,0.075,-0.0083333333333333,-0.0083333333333333,-0.0833333333333333,-0.0833333333333333
bengaluru_india__drive_10000m.pkl,ok,101357,136603,617,1996,0.0045167382853963,0.0146116849556744,0.0078402377693022,0.9983792544570502,11.1,Bengaluru,India,Asia,2.695482305119528,0.487624045120297,0.7,0.2123759548797029,0.7419822405071631,-0.0565811932081652,0.125,0.125,0.0,0.0,-0.125,-0.125
montevideo_uruguay__drive_10000m.pkl,ok,13761,22450,57,200,0.0025389755011135,0.0089086859688195,0.0031625835189309,1.0,1.6,Montevideo,Uruguay,Latin America,3.2628442700385145,0.4069683126676818,0.6,0.1930316873323181,0.6129621380846325,-0.0211467189884456,0.0749999999999999,0.0749999999999999,-0.0083333333333333,-0.0166666666666666,-0.0833333333333332,-0.0916666666666665
melbourne_australia__drive_10000m.pkl,ok,35052,51621,639,1038,0.0123786830940896,0.0201080955425117,0.0102671393425156,1.0,3.8,Melbourne,Australia,Oceania,2.9453954125299555,0.4686087256486138,0.7,0.2313912743513861,0.6790259777997326,0.0308883943854842,0.0999999999999999,0.0999999999999999,0.0,-0.0083333333333333,-0.0999999999999999,-0.1083333333333332
panama_city_panama__drive_10000m.pkl,ok,9245,12302,282,559,0.0229231019346447,0.0454397658917249,0.0210534872378475,1.0,0.9,Panama City,Panama,Latin America,2.661330448891293,0.4936399020906064,0.725,0.2313600979093936,0.7515038205169889,-0.0352677122769062,0.0999999999999999,0.0999999999999999,0.0,-0.0083333333333333,-0.0999999999999999,-0.1083333333333332
karachi_pakistan__drive_10000m.pkl,ok,52156,78992,432,1631,0.0054689082438727,0.0206476605225845,0.004595402066032,1.0,6.5,Karachi,Pakistan,Asia,3.0290666462152007,0.4466206054300997,0.675,0.2283793945699003,0.66026939436905,0.0223099930976302,0.1,0.1,0.0,-0.0166666666666666,-0.1,-0.1166666666666666
milan_italy__drive_10000m.pkl,ok,25735,38172,1071,1663,0.0280572147123546,0.0435659645813685,0.0212197422194278,1.0,3.1,Milan,Italy,Europe,2.9665436176413444,0.4648772408417771,0.65,0.1851227591582229,0.6741852666876245,-0.0358733242665629,0.05,0.05,-0.025,-0.0249999999999999,-0.075,-0.0749999999999999
