predictor,phi_left,phi_right,unsafe,conservative
junction,0.39749999999999996,0.39788269495982354,0.09859154929577464,0.0
junction,0.39788269495982354,0.4,0.09859154929577464,0.014084507042253521
junction,0.4,0.40348102709630607,0.11267605633802817,0.014084507042253521
junction,0.40348102709630607,0.4035541236387463,0.09859154929577464,0.014084507042253521
junction,0.4035541236387463,0.40377886570021115,0.08450704225352113,0.014084507042253521
junction,0.40377886570021115,0.4052309003493205,0.07042253521126761,0.014084507042253521
junction,0.4052309003493205,0.40638251762961963,0.056338028169014086,0.014084507042253521
junction,0.40638251762961963,0.4066841143833929,0.04225352112676056,0.014084507042253521
junction,0.4066841143833929,0.41000000000000003,0.028169014084507043,0.014084507042253521
junction,0.41000000000000003,0.41383942369444426,0.028169014084507043,0.0
junction,0.41383942369444426,0.41500000000000004,0.028169014084507043,0.014084507042253521
junction,0.41500000000000004,0.42000000000000004,0.04225352112676056,0.014084507042253521
junction,0.42000000000000004,0.4215866633057437,0.04225352112676056,0.0
junction,0.4215866633057437,0.42865913302086966,0.028169014084507043,0.0
junction,0.42865913302086966,0.4313459735509687,0.014084507042253521,0.0
junction,0.4313459735509687,0.43644469811097053,0.0,0.0
junction,0.43644469811097053,0.44499999999999995,0.0,0.014084507042253521
junction,0.44499999999999995,0.55,0.0,0.0
2D,0.15,0.1775,0.0,0.014084507042253521
2D,0.1775,0.18457222005185214,0.0,0.0
2D,0.18457222005185214,0.20756777770578594,0.0,0.014084507042253521
2D,0.20756777770578594,0.21999999999999997,0.0,0.028169014084507043
2D,0.21999999999999997,0.22117864428961853,0.0,0.014084507042253521
2D,0.22117864428961853,0.22499999999999998,0.0,0.028169014084507043
2D,0.22499999999999998,0.227612536340692,0.014084507042253521,0.028169014084507043
2D,0.227612536340692,0.2334632133852853,0.0,0.028169014084507043
2D,0.2334632133852853,0.23749999999999993,0.0,0.04225352112676056
2D,0.23749999999999993,0.24849617948301084,0.014084507042253521,0.04225352112676056
2D,0.24849617948301084,0.24864116323351215,0.014084507042253521,0.056338028169014086
2D,0.24864116323351215,0.25,0.014084507042253521,0.07042253521126761
2D,0.25,0.25192784818614633,0.028169014084507043,0.07042253521126761
2D,0.25192784818614633,0.25222935244603717,0.014084507042253521,0.07042253521126761
2D,0.25222935244603717,0.25227051257064903,0.014084507042253521,0.08450704225352113
2D,0.25227051257064903,0.252876304023845,0.014084507042253521,0.09859154929577464
2D,0.252876304023845,0.2537974683544304,0.0,0.09859154929577464
2D,0.2537974683544304,0.2546141384165821,0.0,0.11267605633802817
2D,0.2546141384165821,0.25749999999999995,0.0,0.1267605633802817
2D,0.25749999999999995,0.2580177594928369,0.0,0.11267605633802817
2D,0.2580177594928369,0.25838935693416165,0.0,0.1267605633802817
2D,0.25838935693416165,0.2632575757575758,0.0,0.14084507042253522
2D,0.2632575757575758,0.26490497919069356,0.0,0.15492957746478872
2D,0.26490497919069356,0.26749999999999996,0.0,0.16901408450704225
2D,0.26749999999999996,0.2691707668306732,0.0,0.15492957746478872
2D,0.2691707668306732,0.2703190258632522,0.0,0.16901408450704225
2D,0.2703190258632522,0.27375153082051984,0.0,0.18309859154929578
2D,0.27375153082051984,0.275,0.0,0.19718309859154928
2D,0.275,0.2758645928636779,0.0,0.18309859154929578
2D,0.2758645928636779,0.27614622170796066,0.0,0.19718309859154928
2D,0.27614622170796066,0.27749999999999997,0.0,0.2112676056338028
2D,0.27749999999999997,0.2776796351834354,0.0,0.18309859154929578
2D,0.2776796351834354,0.2796099391596065,0.0,0.19718309859154928
2D,0.2796099391596065,0.2823240589198036,0.0,0.2112676056338028
2D,0.2823240589198036,0.2825,0.0,0.22535211267605634
2D,0.2825,0.2836874858930126,0.0,0.18309859154929578
2D,0.2836874858930126,0.28500000000000003,0.0,0.19718309859154928
2D,0.28500000000000003,0.29000000000000004,0.0,0.16901408450704225
2D,0.29000000000000004,0.2925,0.0,0.14084507042253522
2D,0.2925,0.29316524362398466,0.0,0.11267605633802817
2D,0.29316524362398466,0.29452367196764684,0.0,0.1267605633802817
2D,0.29452367196764684,0.29500000000000004,0.0,0.14084507042253522
2D,0.29500000000000004,0.2975,0.014084507042253521,0.11267605633802817
2D,0.2975,0.29930938770115323,0.014084507042253521,0.08450704225352113
2D,0.29930938770115323,0.29999999999999993,0.014084507042253521,0.09859154929577464
2D,0.29999999999999993,0.3025,0.04225352112676056,0.09859154929577464
2D,0.3025,0.30270897415142195,0.056338028169014086,0.07042253521126761
2D,0.30270897415142195,0.30499999999999994,0.056338028169014086,0.08450704225352113
2D,0.30499999999999994,0.30633041688111173,0.056338028169014086,0.07042253521126761
2D,0.30633041688111173,0.30756354099824224,0.056338028169014086,0.08450704225352113
2D,0.30756354099824224,0.30778576190828955,0.056338028169014086,0.09859154929577464
2D,0.30778576190828955,0.30792253521126756,0.04225352112676056,0.09859154929577464
2D,0.30792253521126756,0.30936575594531013,0.028169014084507043,0.09859154929577464
2D,0.30936575594531013,0.31238250549251434,0.014084507042253521,0.09859154929577464
2D,0.31238250549251434,0.3125,0.014084507042253521,0.11267605633802817
2D,0.3125,0.31499999999999995,0.014084507042253521,0.09859154929577464
2D,0.31499999999999995,0.3162539838195636,0.014084507042253521,0.08450704225352113
2D,0.3162539838195636,0.3175,0.014084507042253521,0.09859154929577464
2D,0.3175,0.31785579463948654,0.028169014084507043,0.08450704225352113
2D,0.31785579463948654,0.3185526494104892,0.028169014084507043,0.09859154929577464
2D,0.3185526494104892,0.3209740222002674,0.028169014084507043,0.11267605633802817
2D,0.3209740222002674,0.3248507867607162,0.014084507042253521,0.11267605633802817
2D,0.3248507867607162,0.32499999999999996,0.014084507042253521,0.1267605633802817
2D,0.32499999999999996,0.32564455665213066,0.04225352112676056,0.08450704225352113
2D,0.32564455665213066,0.32581473331237554,0.04225352112676056,0.09859154929577464
2D,0.32581473331237554,0.3258151994179509,0.04225352112676056,0.11267605633802817
2D,0.3258151994179509,0.3275,0.04225352112676056,0.1267605633802817
2D,0.3275,0.32999999999999996,0.056338028169014086,0.11267605633802817
2D,0.32999999999999996,0.33045794748192314,0.056338028169014086,0.09859154929577464
2D,0.33045794748192314,0.33060741519852743,0.056338028169014086,0.11267605633802817
2D,0.33060741519852743,0.33229093801862597,0.04225352112676056,0.11267605633802817
2D,0.33229093801862597,0.33333333333333337,0.028169014084507043,0.11267605633802817
2D,0.33333333333333337,0.33499999999999996,0.028169014084507043,0.1267605633802817
2D,0.33499999999999996,0.33631663150084634,0.04225352112676056,0.1267605633802817
2D,0.33631663150084634,0.3367773136953177,0.028169014084507043,0.1267605633802817
2D,0.3367773136953177,0.3370061507112939,0.028169014084507043,0.14084507042253522
2D,0.3370061507112939,0.3375,0.028169014084507043,0.15492957746478872
2D,0.3375,0.33752958898213903,0.04225352112676056,0.15492957746478872
2D,0.33752958898213903,0.33973060563095003,0.028169014084507043,0.15492957746478872
2D,0.33973060563095003,0.33999999999999997,0.014084507042253521,0.15492957746478872
2D,0.33999999999999997,0.3418473895582329,0.014084507042253521,0.14084507042253522
2D,0.3418473895582329,0.3425,0.014084507042253521,0.15492957746478872
2D,0.3425,0.34386764539239256,0.014084507042253521,0.1267605633802817
2D,0.34386764539239256,0.345,0.0,0.1267605633802817
2D,0.345,0.34613863126895517,0.0,0.11267605633802817
2D,0.34613863126895517,0.34750000000000003,0.0,0.1267605633802817
2D,0.34750000000000003,0.34811863422871914,0.0,0.09859154929577464
2D,0.34811863422871914,0.3489049484194847,0.0,0.11267605633802817
2D,0.3489049484194847,0.35,0.0,0.1267605633802817
2D,0.35,0.3520471894517696,0.0,0.11267605633802817
2D,0.3520471894517696,0.35250000000000004,0.0,0.1267605633802817
2D,0.35250000000000004,0.355,0.0,0.09859154929577464
2D,0.355,0.35627401693103344,0.0,0.08450704225352113
2D,0.35627401693103344,0.35750000000000004,0.0,0.09859154929577464
2D,0.35750000000000004,0.365,0.0,0.08450704225352113
2D,0.365,0.36650553563075006,0.014084507042253521,0.08450704225352113
2D,0.36650553563075006,0.3667495870970373,0.014084507042253521,0.09859154929577464
2D,0.3667495870970373,0.37249999999999994,0.0,0.09859154929577464
2D,0.37249999999999994,0.37419961024498893,0.0,0.08450704225352113
2D,0.37419961024498893,0.375,0.0,0.09859154929577464
2D,0.375,0.37749999999999995,0.0,0.08450704225352113
2D,0.37749999999999995,0.37981235846004535,0.014084507042253521,0.08450704225352113
2D,0.37981235846004535,0.38,0.014084507042253521,0.09859154929577464
2D,0.38,0.381136207149549,0.014084507042253521,0.08450704225352113
2D,0.381136207149549,0.38249999999999995,0.0,0.08450704225352113
2D,0.38249999999999995,0.385,0.0,0.07042253521126761
2D,0.385,0.3870378619153675,0.0,0.056338028169014086
2D,0.3870378619153675,0.39,0.0,0.07042253521126761
2D,0.39,0.39257901969766373,0.0,0.056338028169014086
2D,0.39257901969766373,0.395,0.0,0.07042253521126761
2D,0.395,0.39749999999999996,0.0,0.056338028169014086
2D,0.39749999999999996,0.4,0.0,0.04225352112676056
2D,0.4,0.41000000000000003,0.0,0.028169014084507043
2D,0.41000000000000003,0.4108116026955758,0.0,0.014084507042253521
2D,0.4108116026955758,0.41500000000000004,0.0,0.028169014084507043
2D,0.41500000000000004,0.42000000000000004,0.0,0.014084507042253521
2D,0.42000000000000004,0.4224487617421008,0.0,0.0
2D,0.4224487617421008,0.44499999999999995,0.0,0.014084507042253521
2D,0.44499999999999995,0.55,0.0,0.0
