ladder,instance,macro_region,replicate,swap_multiplier,n_nodes,n_edges,n_swaps,swaps_per_edge,orders,seed,graph_sha256,source_sha256,pc_control,pc_observed,pc_cebh,null_gap,organization_residual,degree_sequence_exact
mixing,Bangkok,Asia,1,0.02,63366,71694,2867,0.03998939939185985,1024,20268824,a07ce1267bca80e287b5d7b6265864b5fb9113e2b61eeebb9cd12c96d8afd22e,e1462165a4d58eee692be25a1afef11ac4ae74b354702427f4271d2497f2a49b,0.6675,0.92,0.5689051824695883,0.09859481753041166,0.25250000000000006,True
mixing,Bangkok,Asia,1,0.1,63366,71694,14338,0.19998884146511564,1024,20268824,254e939289a6cea102a3991993e5489b9024e6aef40aedc8037b502be359f0bd,e1462165a4d58eee692be25a1afef11ac4ae74b354702427f4271d2497f2a49b,0.6175,0.92,0.5689051824695883,0.04859481753041173,0.3025,True
mixing,Bangkok,Asia,1,1.0,63366,71694,143388,2.0,1024,20268824,ba2527a9d754584cef1aeab3fbb916edc188612707537a0a04e7ce386bbddf17,e1462165a4d58eee692be25a1afef11ac4ae74b354702427f4271d2497f2a49b,0.5925,0.92,0.5689051824695883,0.023594817530411705,0.3275,True
mixing,Bangkok,Asia,1,5.0,63366,71694,716940,10.0,1024,20268824,bfbf9d68b3e12be8a2122e723f3a37a292871722806be0eb2317d61c6ae5ca26,e1462165a4d58eee692be25a1afef11ac4ae74b354702427f4271d2497f2a49b,0.5925,0.92,0.5689051824695883,0.023594817530411705,0.3275,True
mixing,Bengaluru,Asia,1,0.02,101357,136603,5464,0.039999121541986635,1024,20268824,e2e8f7d675d51e510a8a31e1f1b85f20d1bdeaffe4f4b4027eb400b6a277a93d,a0f6df009d3b8b9764dcea9e7501de04c3077f4bab9b4cde67b36bfb10b73666,0.555,0.685,0.487624045120297,0.06737595487970305,0.13,True
mixing,Bengaluru,Asia,1,0.1,101357,136603,27320,0.19999560770993316,1024,20268824,8f2f6a23ce08ddaefbeaaf2883c94404a673dd0382407c6e0f73d40adfb504bf,a0f6df009d3b8b9764dcea9e7501de04c3077f4bab9b4cde67b36bfb10b73666,0.51,0.685,0.487624045120297,0.02237595487970301,0.17500000000000004,True
mixing,Bengaluru,Asia,1,1.0,101357,136603,273206,2.0,1024,20268824,887bfd878756f35ea66ac5bb582e0b1f3d74d972c73f96b1634f0c896477a2c8,a0f6df009d3b8b9764dcea9e7501de04c3077f4bab9b4cde67b36bfb10b73666,0.505,0.685,0.487624045120297,0.017375954879703004,0.18000000000000005,True
mixing,Bengaluru,Asia,1,5.0,101357,136603,1366030,10.0,1024,20268824,6e32f0e715abc3fcb18cdc7ea77b1bce6ee505d5dac39d2f1f6ffda7eef254cb,a0f6df009d3b8b9764dcea9e7501de04c3077f4bab9b4cde67b36bfb10b73666,0.505,0.685,0.487624045120297,0.017375954879703004,0.18000000000000005,True
mixing,Bogota,Latin America,1,0.02,40772,60476,2419,0.03999933858059396,1024,20268824,27df3a0af3c12978a8e3e7c842b3df6eff48b943ecb7f5c360e366b8768507ef,af1ed8028a379c90eddbf433fa52997c3e0d380b3383fe1bf1cd840ac4aa43ae,0.515,0.6525,0.4493951193413192,0.06560488065868081,0.13749999999999996,True
mixing,Bogota,Latin America,1,0.1,40772,60476,12095,0.19999669290296979,1024,20268824,c00d4649bd395d393cfcc71240b8eeca76944a2127b1ffd22f59d53218e84677,af1ed8028a379c90eddbf433fa52997c3e0d380b3383fe1bf1cd840ac4aa43ae,0.47250000000000003,0.6525,0.4493951193413192,0.023104880658680826,0.17999999999999994,True
mixing,Bogota,Latin America,1,1.0,40772,60476,120952,2.0,1024,20268824,b7fc69d5d809cfac9eb7cafe8bdd2968951a16034f12847f68c42b872eedebf9,af1ed8028a379c90eddbf433fa52997c3e0d380b3383fe1bf1cd840ac4aa43ae,0.4675,0.6525,0.4493951193413192,0.018104880658680822,0.18499999999999994,True
mixing,Bogota,Latin America,1,5.0,40772,60476,604760,10.0,1024,20268824,1746c16a167bfa3b4bf79b71ee2a9aa525d9049f0db873d18fa2cfe0a2153034,af1ed8028a379c90eddbf433fa52997c3e0d380b3383fe1bf1cd840ac4aa43ae,0.4675,0.6525,0.4493951193413192,0.018104880658680822,0.18499999999999994,True
mixing,Boston,North America,1,0.02,24819,35843,1433,0.039979912395725806,1024,20268824,512ac9b69c7df9d2ecdb59539ef38d0685e80234b2e1a4b34753df9d30b31a75,3f49fe2b28a080147e98804743f9221d89d877076448d4ea1df9b1b016de297f,0.5425,0.675,0.4629981269779758,0.07950187302202416,0.13250000000000006,True
mixing,Boston,North America,1,0.1,24819,35843,7168,0.1999832603297715,1024,20268824,f7d6a33ad5af11c0d487be0c8bca8d5a6710eec777458600924cb53cd6eddcfc,3f49fe2b28a080147e98804743f9221d89d877076448d4ea1df9b1b016de297f,0.4925,0.675,0.4629981269779758,0.029501873022024172,0.18250000000000005,True
mixing,Boston,North America,1,1.0,24819,35843,71686,2.0,1024,20268824,6bf1b604553dd00cf7f2cd63d4fb2859c451ef9d9e17bbf9423160c686e9b678,3f49fe2b28a080147e98804743f9221d89d877076448d4ea1df9b1b016de297f,0.4875,0.675,0.4629981269779758,0.024501873022024168,0.18750000000000006,True
mixing,Boston,North America,1,5.0,24819,35843,358430,10.0,1024,20268824,298384a4ded933ea1e78cb844bfff9de90d48feb229a4cca350f6357aaf14b78,3f49fe2b28a080147e98804743f9221d89d877076448d4ea1df9b1b016de297f,0.4875,0.675,0.4629981269779758,0.024501873022024168,0.18750000000000006,True
mixing,Dubai,Middle East,1,0.02,15724,22720,1000,0.04401408450704225,1024,20268824,6b8b8f59c053de710effc6156b25e7398db6dda85c38a2e243e290694721cfbb,dadf9d9d1fc57543c4154f08e806fdea0a532565f5865fe1a9e2e141422400a9,0.5825,0.7000000000000001,0.4908611675236571,0.09163883247634291,0.11750000000000005,True
mixing,Dubai,Middle East,1,0.1,15724,22720,4544,0.2,1024,20268824,15b379cdb732596f0dd8463b3a111c5177266e327f42dbbbdf12567747a4a477,dadf9d9d1fc57543c4154f08e806fdea0a532565f5865fe1a9e2e141422400a9,0.5275,0.7000000000000001,0.4908611675236571,0.036638832476342864,0.1725000000000001,True
mixing,Dubai,Middle East,1,1.0,15724,22720,45440,2.0,1024,20268824,bde738bb3c88f12b92ea931d8ca0b87852f7db202e56a6157b97d2d23aae9375,dadf9d9d1fc57543c4154f08e806fdea0a532565f5865fe1a9e2e141422400a9,0.515,0.7000000000000001,0.4908611675236571,0.02413883247634291,0.18500000000000005,True
mixing,Dubai,Middle East,1,5.0,15724,22720,227200,10.0,1024,20268824,6675385f0da5f058d23b4caaa48bdbeeb0c851328d1d581f15913a40e63fd315,dadf9d9d1fc57543c4154f08e806fdea0a532565f5865fe1a9e2e141422400a9,0.5175,0.7000000000000001,0.4908611675236571,0.026638832476342855,0.1825000000000001,True
order,Accra,Africa,1,1.0,19183,25655,51310,2.0,256,20261006,fa2e905e4e0daea48803cfb657b67a53dc0c0a0190e836745553228b07819d3f,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.5325,0.725,0.5030786728370853,0.02942132716291468,0.1925,True
order,Accra,Africa,1,1.0,19183,25655,51310,2.0,512,20261006,fa2e905e4e0daea48803cfb657b67a53dc0c0a0190e836745553228b07819d3f,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.5325,0.725,0.5030786728370853,0.02942132716291468,0.1925,True
order,Accra,Africa,1,1.0,19183,25655,51310,2.0,1024,20261006,fa2e905e4e0daea48803cfb657b67a53dc0c0a0190e836745553228b07819d3f,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.5325,0.725,0.5030786728370853,0.02942132716291468,0.1925,True
order,Accra,Africa,1,1.0,19183,25655,51310,2.0,2048,20261006,fa2e905e4e0daea48803cfb657b67a53dc0c0a0190e836745553228b07819d3f,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.53,0.725,0.5030786728370853,0.026921327162914732,0.19499999999999995,True
order,Accra,Africa,1,1.0,19183,25655,51310,2.0,4096,20261006,fa2e905e4e0daea48803cfb657b67a53dc0c0a0190e836745553228b07819d3f,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.53,0.725,0.5030786728370853,0.026921327162914732,0.19499999999999995,True
order,Accra,Africa,2,1.0,19183,25655,51310,2.0,256,20261107,a99d0add98e6099a9778a34d4e9d0ab0f73beac290fcd13715a7a1e8470bc464,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.53,0.725,0.5030786728370853,0.026921327162914732,0.19499999999999995,True
order,Accra,Africa,2,1.0,19183,25655,51310,2.0,512,20261107,a99d0add98e6099a9778a34d4e9d0ab0f73beac290fcd13715a7a1e8470bc464,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.53,0.725,0.5030786728370853,0.026921327162914732,0.19499999999999995,True
order,Accra,Africa,2,1.0,19183,25655,51310,2.0,1024,20261107,a99d0add98e6099a9778a34d4e9d0ab0f73beac290fcd13715a7a1e8470bc464,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.53,0.725,0.5030786728370853,0.026921327162914732,0.19499999999999995,True
order,Accra,Africa,2,1.0,19183,25655,51310,2.0,2048,20261107,a99d0add98e6099a9778a34d4e9d0ab0f73beac290fcd13715a7a1e8470bc464,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.53,0.725,0.5030786728370853,0.026921327162914732,0.19499999999999995,True
order,Accra,Africa,2,1.0,19183,25655,51310,2.0,4096,20261107,a99d0add98e6099a9778a34d4e9d0ab0f73beac290fcd13715a7a1e8470bc464,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.53,0.725,0.5030786728370853,0.026921327162914732,0.19499999999999995,True
order,Addis Ababa,Africa,1,1.0,51078,72263,144526,2.0,256,20261006,652e02bffaeacf25072363e8640b329722e392afd2aa84e1a173744dfafd63be,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,0.5025000000000001,0.7025,0.482274189457948,0.02022581054205208,0.19999999999999996,True
order,Addis Ababa,Africa,1,1.0,51078,72263,144526,2.0,512,20261006,652e02bffaeacf25072363e8640b329722e392afd2aa84e1a173744dfafd63be,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,0.5,0.7025,0.482274189457948,0.017725810542052023,0.2025,True
order,Addis Ababa,Africa,1,1.0,51078,72263,144526,2.0,1024,20261006,652e02bffaeacf25072363e8640b329722e392afd2aa84e1a173744dfafd63be,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,0.5,0.7025,0.482274189457948,0.017725810542052023,0.2025,True
order,Addis Ababa,Africa,1,1.0,51078,72263,144526,2.0,2048,20261006,652e02bffaeacf25072363e8640b329722e392afd2aa84e1a173744dfafd63be,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,0.5,0.7025,0.482274189457948,0.017725810542052023,0.2025,True
order,Addis Ababa,Africa,1,1.0,51078,72263,144526,2.0,4096,20261006,652e02bffaeacf25072363e8640b329722e392afd2aa84e1a173744dfafd63be,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,0.5025000000000001,0.7025,0.482274189457948,0.02022581054205208,0.19999999999999996,True
order,Addis Ababa,Africa,2,1.0,51078,72263,144526,2.0,256,20261107,b643eec36e4efe64f77a3604a6e902fbdc2f7c7377164ca44ddd9c518aae0fe2,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,0.4975,0.7025,0.482274189457948,0.01522581054205202,0.20500000000000002,True
order,Addis Ababa,Africa,2,1.0,51078,72263,144526,2.0,512,20261107,b643eec36e4efe64f77a3604a6e902fbdc2f7c7377164ca44ddd9c518aae0fe2,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,0.5025000000000001,0.7025,0.482274189457948,0.02022581054205208,0.19999999999999996,True
order,Addis Ababa,Africa,2,1.0,51078,72263,144526,2.0,1024,20261107,b643eec36e4efe64f77a3604a6e902fbdc2f7c7377164ca44ddd9c518aae0fe2,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,0.5025000000000001,0.7025,0.482274189457948,0.02022581054205208,0.19999999999999996,True
order,Addis Ababa,Africa,2,1.0,51078,72263,144526,2.0,2048,20261107,b643eec36e4efe64f77a3604a6e902fbdc2f7c7377164ca44ddd9c518aae0fe2,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,0.5025000000000001,0.7025,0.482274189457948,0.02022581054205208,0.19999999999999996,True
order,Addis Ababa,Africa,2,1.0,51078,72263,144526,2.0,4096,20261107,b643eec36e4efe64f77a3604a6e902fbdc2f7c7377164ca44ddd9c518aae0fe2,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,0.5025000000000001,0.7025,0.482274189457948,0.02022581054205208,0.19999999999999996,True
order,Algiers,Africa,1,1.0,21703,28885,57770,2.0,256,20261006,508bcefaffd5f50b5b59f9c632f92b129a44ef04cbb776f9514fbd7e371b3472,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,0.5325,0.7425,0.5065855241235377,0.02591447587646223,0.21000000000000008,True
order,Algiers,Africa,1,1.0,21703,28885,57770,2.0,512,20261006,508bcefaffd5f50b5b59f9c632f92b129a44ef04cbb776f9514fbd7e371b3472,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,0.5325,0.7425,0.5065855241235377,0.02591447587646223,0.21000000000000008,True
order,Algiers,Africa,1,1.0,21703,28885,57770,2.0,1024,20261006,508bcefaffd5f50b5b59f9c632f92b129a44ef04cbb776f9514fbd7e371b3472,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,0.5325,0.7425,0.5065855241235377,0.02591447587646223,0.21000000000000008,True
order,Algiers,Africa,1,1.0,21703,28885,57770,2.0,2048,20261006,508bcefaffd5f50b5b59f9c632f92b129a44ef04cbb776f9514fbd7e371b3472,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,0.5325,0.7425,0.5065855241235377,0.02591447587646223,0.21000000000000008,True
order,Algiers,Africa,1,1.0,21703,28885,57770,2.0,4096,20261006,508bcefaffd5f50b5b59f9c632f92b129a44ef04cbb776f9514fbd7e371b3472,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,0.5325,0.7425,0.5065855241235377,0.02591447587646223,0.21000000000000008,True
order,Algiers,Africa,2,1.0,21703,28885,57770,2.0,256,20261107,0f798bd97668e9246282665f7d4d9ab973b452465b4e2116fa70b91c1ca06222,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,0.5325,0.7425,0.5065855241235377,0.02591447587646223,0.21000000000000008,True
order,Algiers,Africa,2,1.0,21703,28885,57770,2.0,512,20261107,0f798bd97668e9246282665f7d4d9ab973b452465b4e2116fa70b91c1ca06222,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,0.535,0.7425,0.5065855241235377,0.028414475876462286,0.20750000000000002,True
order,Algiers,Africa,2,1.0,21703,28885,57770,2.0,1024,20261107,0f798bd97668e9246282665f7d4d9ab973b452465b4e2116fa70b91c1ca06222,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,0.5325,0.7425,0.5065855241235377,0.02591447587646223,0.21000000000000008,True
order,Algiers,Africa,2,1.0,21703,28885,57770,2.0,2048,20261107,0f798bd97668e9246282665f7d4d9ab973b452465b4e2116fa70b91c1ca06222,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,0.5325,0.7425,0.5065855241235377,0.02591447587646223,0.21000000000000008,True
order,Algiers,Africa,2,1.0,21703,28885,57770,2.0,4096,20261107,0f798bd97668e9246282665f7d4d9ab973b452465b4e2116fa70b91c1ca06222,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,0.5325,0.7425,0.5065855241235377,0.02591447587646223,0.21000000000000008,True
order,Amsterdam,Europe,1,1.0,23201,32887,65774,2.0,256,20261006,2e7556aa1a79bb57ea96696c39716e48fc2ad02daa121a6b3a8920bed8c0b857,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.4925,0.675,0.466680857102313,0.025819142897686997,0.18250000000000005,True
order,Amsterdam,Europe,1,1.0,23201,32887,65774,2.0,512,20261006,2e7556aa1a79bb57ea96696c39716e48fc2ad02daa121a6b3a8920bed8c0b857,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.49,0.675,0.466680857102313,0.023319142897686995,0.18500000000000005,True
order,Amsterdam,Europe,1,1.0,23201,32887,65774,2.0,1024,20261006,2e7556aa1a79bb57ea96696c39716e48fc2ad02daa121a6b3a8920bed8c0b857,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.4925,0.675,0.466680857102313,0.025819142897686997,0.18250000000000005,True
order,Amsterdam,Europe,1,1.0,23201,32887,65774,2.0,2048,20261006,2e7556aa1a79bb57ea96696c39716e48fc2ad02daa121a6b3a8920bed8c0b857,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.49,0.675,0.466680857102313,0.023319142897686995,0.18500000000000005,True
order,Amsterdam,Europe,1,1.0,23201,32887,65774,2.0,4096,20261006,2e7556aa1a79bb57ea96696c39716e48fc2ad02daa121a6b3a8920bed8c0b857,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.49,0.675,0.466680857102313,0.023319142897686995,0.18500000000000005,True
order,Amsterdam,Europe,2,1.0,23201,32887,65774,2.0,256,20261107,0d11094a32b3f8aca023889b6e2428c12cfe906673a27a6bd44909e02c021d1b,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.4925,0.675,0.466680857102313,0.025819142897686997,0.18250000000000005,True
order,Amsterdam,Europe,2,1.0,23201,32887,65774,2.0,512,20261107,0d11094a32b3f8aca023889b6e2428c12cfe906673a27a6bd44909e02c021d1b,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.495,0.675,0.466680857102313,0.028319142897687,0.18000000000000005,True
order,Amsterdam,Europe,2,1.0,23201,32887,65774,2.0,1024,20261107,0d11094a32b3f8aca023889b6e2428c12cfe906673a27a6bd44909e02c021d1b,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.495,0.675,0.466680857102313,0.028319142897687,0.18000000000000005,True
order,Amsterdam,Europe,2,1.0,23201,32887,65774,2.0,2048,20261107,0d11094a32b3f8aca023889b6e2428c12cfe906673a27a6bd44909e02c021d1b,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.4925,0.675,0.466680857102313,0.025819142897686997,0.18250000000000005,True
order,Amsterdam,Europe,2,1.0,23201,32887,65774,2.0,4096,20261107,0d11094a32b3f8aca023889b6e2428c12cfe906673a27a6bd44909e02c021d1b,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.4925,0.675,0.466680857102313,0.025819142897686997,0.18250000000000005,True
order,Athens,Europe,1,1.0,54827,88593,177186,2.0,256,20261006,0626ae916f386d687fcc26e093098262b554371dbd6697edc22fc30054bbbf9a,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,0.43,0.6225,0.4135569642707098,0.01644303572929018,0.19250000000000006,True
order,Athens,Europe,1,1.0,54827,88593,177186,2.0,512,20261006,0626ae916f386d687fcc26e093098262b554371dbd6697edc22fc30054bbbf9a,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,0.43,0.6225,0.4135569642707098,0.01644303572929018,0.19250000000000006,True
order,Athens,Europe,1,1.0,54827,88593,177186,2.0,1024,20261006,0626ae916f386d687fcc26e093098262b554371dbd6697edc22fc30054bbbf9a,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,0.43,0.6225,0.4135569642707098,0.01644303572929018,0.19250000000000006,True
order,Athens,Europe,1,1.0,54827,88593,177186,2.0,2048,20261006,0626ae916f386d687fcc26e093098262b554371dbd6697edc22fc30054bbbf9a,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,0.43,0.6225,0.4135569642707098,0.01644303572929018,0.19250000000000006,True
order,Athens,Europe,1,1.0,54827,88593,177186,2.0,4096,20261006,0626ae916f386d687fcc26e093098262b554371dbd6697edc22fc30054bbbf9a,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,0.43,0.6225,0.4135569642707098,0.01644303572929018,0.19250000000000006,True
order,Athens,Europe,2,1.0,54827,88593,177186,2.0,256,20261107,33e52ae041c98f03adffb774a36ed28e9417799846e3286c488b3799c2884314,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,0.4325,0.6225,0.4135569642707098,0.01894303572929018,0.19000000000000006,True
order,Athens,Europe,2,1.0,54827,88593,177186,2.0,512,20261107,33e52ae041c98f03adffb774a36ed28e9417799846e3286c488b3799c2884314,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,0.4325,0.6225,0.4135569642707098,0.01894303572929018,0.19000000000000006,True
order,Athens,Europe,2,1.0,54827,88593,177186,2.0,1024,20261107,33e52ae041c98f03adffb774a36ed28e9417799846e3286c488b3799c2884314,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,0.43,0.6225,0.4135569642707098,0.01644303572929018,0.19250000000000006,True
order,Athens,Europe,2,1.0,54827,88593,177186,2.0,2048,20261107,33e52ae041c98f03adffb774a36ed28e9417799846e3286c488b3799c2884314,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,0.43,0.6225,0.4135569642707098,0.01644303572929018,0.19250000000000006,True
order,Athens,Europe,2,1.0,54827,88593,177186,2.0,4096,20261107,33e52ae041c98f03adffb774a36ed28e9417799846e3286c488b3799c2884314,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,0.43,0.6225,0.4135569642707098,0.01644303572929018,0.19250000000000006,True
order,Auckland,Oceania,1,1.0,12533,16775,33550,2.0,256,20261006,35e86e1b815f18c3bf236b41cfdc058304eb9efeb60b28a861f7a291eb5cb09e,04a8fa5a988a0061d23e6f3a2ed3b53261459c235a42cda748fa1e3c4aab14de,0.5375,0.75,0.5044505924099357,0.03304940759006425,0.21250000000000002,True
order,Auckland,Oceania,1,1.0,12533,16775,33550,2.0,512,20261006,35e86e1b815f18c3bf236b41cfdc058304eb9efeb60b28a861f7a291eb5cb09e,04a8fa5a988a0061d23e6f3a2ed3b53261459c235a42cda748fa1e3c4aab14de,0.535,0.75,0.5044505924099357,0.030549407590064304,0.21499999999999997,True
order,Auckland,Oceania,1,1.0,12533,16775,33550,2.0,1024,20261006,35e86e1b815f18c3bf236b41cfdc058304eb9efeb60b28a861f7a291eb5cb09e,04a8fa5a988a0061d23e6f3a2ed3b53261459c235a42cda748fa1e3c4aab14de,0.535,0.75,0.5044505924099357,0.030549407590064304,0.21499999999999997,True
