domain,instance,n_nodes,n_edges,input_hash,pc_nonbacktracking_checked,rho_lr,relative_eigen_residual,pc_nonbacktracking,absolute_check_difference
road,Mexico City,59012,90635,5ddbbd7846d723b1f438609e14bcf42b2e49075c3d4d3015c000115028bbeb71,0.3323389560040783,3.0089761730723144,1.935948243600661e-09,0.3323389560006679,3.410438598194787e-12
road,Miami,17983,28736,fd21fa456eaea9f49daad4426115d8267bc44b46bbe9b58a5a39830d12f1f831,0.349894995740503,2.8580002920123,7.31307440110355e-10,0.3498949957415056,1.0026424135389789e-12
road,Milan,25735,38172,8a510eeeeababe0918e84b94fdeca1af18464ce1e32ea599801b1d50b4e41370,0.368724882471655,2.7120491389047308,6.251632379476327e-10,0.3687248824684473,3.2077118738982335e-12
road,Montevideo,13761,22450,9ee40968652a95a09602706106415494c580fdffdece75f26c0056f87a424058,0.3445383969948761,2.902434122646922,1.684248000072425e-09,0.3445383969938771,9.989786775577159e-13
road,Montreal,20313,32065,fa016fc802965ee9056d5b0f9428501b44c2fee6cc23f869d0f1455a654ec912,0.3553237036552367,2.8143351814498687,2.2266096278787092e-09,0.3553237036561043,8.675837825933286e-13
road,Mumbai,18270,24999,9ca15f4021afcac446dbb4da5ffb94e7ec8bd8300ccdfc7eaecd6101b5b8879c,0.3735649044237406,2.676910995005259,1.8607017390083414e-09,0.3735649044290428,5.302203121004823e-12
road,Nairobi,22960,28157,2cbde71d4249347843419c9eefe485c3d86aa4ed6a5930244faa1b08f879ae2e,0.3848257329666873,2.598578822395345,2.185480010964361e-09,0.38482573295509,1.1597334204083154e-11
road,New York City,20109,34130,75627dcff916b66ff0d79a50d0661574e261bee71a3917348d72190e1cc209cd,0.3408411939748519,2.933917665109994,1.5785288255746802e-09,0.3408411939753452,4.932720898409571e-13
road,Osaka,92460,138690,8716f7da01a6ea100c83066836fea709c34b406534acc56a2f284e9c2ad9c7db,0.3416670076995025,2.9268263468959343,8.530855842369259e-10,0.3416670077092082,9.705736214726812e-12
road,Panama City,9245,12302,93bf1c32dfc9bec7d8b42660f7eaf8b0006c7b55199906746005ba302a9e1526,0.3713437322261863,2.692922791520008,1.115860403207188e-09,0.3713437322275375,1.351252443271278e-12
road,Paris,36946,55181,0fe84770577f910adb2fe64426447e4fa469ba5466935ff09e61d0ff2168942a,0.3579905934197764,2.793369486184821,1.9651307038100154e-09,0.3579905934292532,9.476808227049105e-12
road,Prague,19787,27325,8feb933105574b153905c5850a1837bc2842d9b0f9161c744cc11c708e4a5e38,0.3770069106057982,2.6524712727231914,1.264191410405451e-09,0.3770069106008816,4.916622664552506e-12
road,Quito,26144,35253,b2a5f5615b2bac039babb0f6a8ec841b36de81f1eab4f6b184ab6e7f0ea38b26,0.3668531906082681,2.725886064509703,2.3177022539289903e-09,0.3668531906108477,2.5796031977165512e-12
road,Rio de Janeiro,14909,20774,5cd554861366e52613b78a2de92457492fb272db3e31ad70caafa4d41839b67d,0.3720007877448006,2.6881663505670272,2.130930433630294e-09,0.3720007877521894,7.388811784636573e-12
road,Riyadh,52112,79423,598172e9ba56032da1b853bbd215b8b8dcc7673f9afa44e34a62853b54d5f3cc,0.3154630842755144,3.16994301344824,4.518639210724425e-10,0.315463084275893,3.785860513971784e-13
road,Rome,25843,37062,775d3fdc7167aa3c7e62f09d12d3a1af88893fcdf5757ff1db1f19ca80b81f8a,0.3664102243417946,2.729181484486035,1.2688308440766044e-09,0.3664102243403352,1.4593881658697683e-12
road,San Francisco,11502,18546,9a77f5498f5072c63be911941b5ca244b84d74c1eb942d53b55cdf2a533cdffe,0.3341022498126862,2.9930956782261955,1.6487585092690842e-09,0.3341022498145567,1.8705037518884637e-12
road,Santiago,60718,88302,75e7cd4f29692e9a18568e505a10786bc5bfd504bb2e77dcb249a6606cf64b92,0.350061947028559,2.856637256600808,3.83853722656164e-10,0.3500619470289323,3.733124920302089e-13
road,Sao Paulo,51289,77333,104118adf016eada9c8e57555d6f0b674736c2e3603ac7573fa3cfc42b04dc31,0.3617715208599832,2.764175570323655,1.864965075327707e-09,0.3617715208623981,2.4149016120134092e-12
