graph,city,seed,stage_index,estimator_seed,grid_index,p,count
bengaluru_india,Bengaluru,111,3,3155,276,0.6900000000000001,19
bengaluru_india,Bengaluru,111,3,3155,278,0.6950000000000001,3
bengaluru_india,Bengaluru,111,3,3155,279,0.6975,1
bengaluru_india,Bengaluru,111,3,3155,283,0.7075,1
bengaluru_india,Bengaluru,122,0,129,267,0.6675,1
bengaluru_india,Bengaluru,122,0,129,269,0.6725,9
bengaluru_india,Bengaluru,122,0,129,270,0.675,4
bengaluru_india,Bengaluru,122,0,129,271,0.6775,11
bengaluru_india,Bengaluru,122,0,129,272,0.68,151
bengaluru_india,Bengaluru,122,0,129,273,0.6825,87
bengaluru_india,Bengaluru,122,0,129,274,0.685,260
bengaluru_india,Bengaluru,122,0,129,275,0.6875,105
bengaluru_india,Bengaluru,122,0,129,276,0.6900000000000001,8
bengaluru_india,Bengaluru,122,0,129,278,0.6950000000000001,1
bengaluru_india,Bengaluru,122,0,129,279,0.6975,25
bengaluru_india,Bengaluru,122,0,129,280,0.7000000000000001,334
bengaluru_india,Bengaluru,122,0,129,282,0.705,4
bengaluru_india,Bengaluru,122,1,1148,268,0.67,50
bengaluru_india,Bengaluru,122,1,1148,269,0.6725,264
bengaluru_india,Bengaluru,122,1,1148,271,0.6775,1
bengaluru_india,Bengaluru,122,1,1148,272,0.68,20
bengaluru_india,Bengaluru,122,1,1148,273,0.6825,523
bengaluru_india,Bengaluru,122,1,1148,274,0.685,14
bengaluru_india,Bengaluru,122,1,1148,275,0.6875,105
bengaluru_india,Bengaluru,122,1,1148,278,0.6950000000000001,4
bengaluru_india,Bengaluru,122,1,1148,279,0.6975,19
bengaluru_india,Bengaluru,122,2,2157,266,0.665,2
bengaluru_india,Bengaluru,122,2,2157,267,0.6675,127
bengaluru_india,Bengaluru,122,2,2157,268,0.67,35
bengaluru_india,Bengaluru,122,2,2157,269,0.6725,16
bengaluru_india,Bengaluru,122,2,2157,270,0.675,46
bengaluru_india,Bengaluru,122,2,2157,271,0.6775,622
bengaluru_india,Bengaluru,122,2,2157,272,0.68,89
bengaluru_india,Bengaluru,122,2,2157,273,0.6825,2
bengaluru_india,Bengaluru,122,2,2157,274,0.685,1
bengaluru_india,Bengaluru,122,2,2157,275,0.6875,28
bengaluru_india,Bengaluru,122,2,2157,276,0.6900000000000001,23
bengaluru_india,Bengaluru,122,2,2157,277,0.6925,3
bengaluru_india,Bengaluru,122,2,2157,278,0.6950000000000001,1
bengaluru_india,Bengaluru,122,2,2157,281,0.7025,5
bengaluru_india,Bengaluru,122,3,3166,262,0.655,12
bengaluru_india,Bengaluru,122,3,3166,263,0.6575,46
bengaluru_india,Bengaluru,122,3,3166,264,0.66,128
bengaluru_india,Bengaluru,122,3,3166,265,0.6625,249
bengaluru_india,Bengaluru,122,3,3166,266,0.665,22
bengaluru_india,Bengaluru,122,3,3166,267,0.6675,203
bengaluru_india,Bengaluru,122,3,3166,268,0.67,12
bengaluru_india,Bengaluru,122,3,3166,270,0.675,100
bengaluru_india,Bengaluru,122,3,3166,271,0.6775,182
bengaluru_india,Bengaluru,122,3,3166,272,0.68,11
bengaluru_india,Bengaluru,122,3,3166,273,0.6825,1
bengaluru_india,Bengaluru,122,3,3166,274,0.685,2
bengaluru_india,Bengaluru,122,3,3166,275,0.6875,31
bengaluru_india,Bengaluru,122,3,3166,277,0.6925,1
bengaluru_india,Bengaluru,133,0,140,268,0.67,2
bengaluru_india,Bengaluru,133,0,140,269,0.6725,184
bengaluru_india,Bengaluru,133,0,140,270,0.675,27
bengaluru_india,Bengaluru,133,0,140,271,0.6775,28
bengaluru_india,Bengaluru,133,0,140,272,0.68,99
bengaluru_india,Bengaluru,133,0,140,273,0.6825,249
bengaluru_india,Bengaluru,133,0,140,274,0.685,10
bengaluru_india,Bengaluru,133,0,140,275,0.6875,13
bengaluru_india,Bengaluru,133,0,140,276,0.6900000000000001,88
bengaluru_india,Bengaluru,133,0,140,277,0.6925,68
bengaluru_india,Bengaluru,133,0,140,278,0.6950000000000001,19
bengaluru_india,Bengaluru,133,0,140,279,0.6975,98
bengaluru_india,Bengaluru,133,0,140,280,0.7000000000000001,1
bengaluru_india,Bengaluru,133,0,140,281,0.7025,3
bengaluru_india,Bengaluru,133,0,140,282,0.705,110
bengaluru_india,Bengaluru,133,0,140,286,0.715,1
bengaluru_india,Bengaluru,133,1,1159,267,0.6675,5
bengaluru_india,Bengaluru,133,1,1159,269,0.6725,28
bengaluru_india,Bengaluru,133,1,1159,270,0.675,58
bengaluru_india,Bengaluru,133,1,1159,271,0.6775,178
bengaluru_india,Bengaluru,133,1,1159,272,0.68,22
bengaluru_india,Bengaluru,133,1,1159,273,0.6825,90
bengaluru_india,Bengaluru,133,1,1159,274,0.685,76
bengaluru_india,Bengaluru,133,1,1159,275,0.6875,458
bengaluru_india,Bengaluru,133,1,1159,276,0.6900000000000001,83
bengaluru_india,Bengaluru,133,1,1159,278,0.6950000000000001,1
bengaluru_india,Bengaluru,133,1,1159,279,0.6975,1
bengaluru_india,Bengaluru,133,2,2168,265,0.6625,1
bengaluru_india,Bengaluru,133,2,2168,266,0.665,218
bengaluru_india,Bengaluru,133,2,2168,267,0.6675,16
bengaluru_india,Bengaluru,133,2,2168,268,0.67,13
bengaluru_india,Bengaluru,133,2,2168,269,0.6725,224
bengaluru_india,Bengaluru,133,2,2168,270,0.675,191
bengaluru_india,Bengaluru,133,2,2168,271,0.6775,3
bengaluru_india,Bengaluru,133,2,2168,272,0.68,37
bengaluru_india,Bengaluru,133,2,2168,273,0.6825,20
bengaluru_india,Bengaluru,133,2,2168,274,0.685,238
bengaluru_india,Bengaluru,133,2,2168,275,0.6875,26
bengaluru_india,Bengaluru,133,2,2168,277,0.6925,2
bengaluru_india,Bengaluru,133,2,2168,280,0.7000000000000001,1
bengaluru_india,Bengaluru,133,2,2168,281,0.7025,10
bengaluru_india,Bengaluru,133,3,3177,264,0.66,219
bengaluru_india,Bengaluru,133,3,3177,265,0.6625,222
bengaluru_india,Bengaluru,133,3,3177,266,0.665,3
bengaluru_india,Bengaluru,133,3,3177,267,0.6675,25
bengaluru_india,Bengaluru,133,3,3177,268,0.67,13
bengaluru_india,Bengaluru,133,3,3177,269,0.6725,504
bengaluru_india,Bengaluru,133,3,3177,270,0.675,1
bengaluru_india,Bengaluru,133,3,3177,271,0.6775,1
bengaluru_india,Bengaluru,133,3,3177,272,0.68,10
bengaluru_india,Bengaluru,133,3,3177,274,0.685,1
bengaluru_india,Bengaluru,133,3,3177,275,0.6875,1
osaka_japan,Osaka,211,0,218,246,0.615,30
osaka_japan,Osaka,211,0,218,247,0.6175,31
osaka_japan,Osaka,211,0,218,248,0.62,564
osaka_japan,Osaka,211,0,218,249,0.6225,190
osaka_japan,Osaka,211,0,218,250,0.625,178
osaka_japan,Osaka,211,0,218,251,0.6275000000000001,3
osaka_japan,Osaka,211,0,218,252,0.63,4
osaka_japan,Osaka,211,1,1237,243,0.6075,29
osaka_japan,Osaka,211,1,1237,244,0.61,148
osaka_japan,Osaka,211,1,1237,245,0.6125,68
osaka_japan,Osaka,211,1,1237,246,0.615,25
osaka_japan,Osaka,211,1,1237,247,0.6175,485
osaka_japan,Osaka,211,1,1237,248,0.62,140
osaka_japan,Osaka,211,1,1237,249,0.6225,93
osaka_japan,Osaka,211,1,1237,250,0.625,10
osaka_japan,Osaka,211,1,1237,251,0.6275000000000001,2
osaka_japan,Osaka,211,2,2246,242,0.605,5
osaka_japan,Osaka,211,2,2246,243,0.6075,1
osaka_japan,Osaka,211,2,2246,244,0.61,3
osaka_japan,Osaka,211,2,2246,245,0.6125,81
osaka_japan,Osaka,211,2,2246,246,0.615,862
osaka_japan,Osaka,211,2,2246,247,0.6175,33
osaka_japan,Osaka,211,2,2246,248,0.62,1
osaka_japan,Osaka,211,2,2246,249,0.6225,1
osaka_japan,Osaka,211,2,2246,250,0.625,13
osaka_japan,Osaka,211,3,3255,241,0.6025,9
osaka_japan,Osaka,211,3,3255,242,0.605,221
osaka_japan,Osaka,211,3,3255,243,0.6075,99
osaka_japan,Osaka,211,3,3255,244,0.61,107
osaka_japan,Osaka,211,3,3255,245,0.6125,164
osaka_japan,Osaka,211,3,3255,246,0.615,124
osaka_japan,Osaka,211,3,3255,247,0.6175,87
osaka_japan,Osaka,211,3,3255,248,0.62,186
osaka_japan,Osaka,211,3,3255,249,0.6225,3
osaka_japan,Osaka,222,0,229,244,0.61,1
osaka_japan,Osaka,222,0,229,245,0.6125,1
osaka_japan,Osaka,222,0,229,246,0.615,69
osaka_japan,Osaka,222,0,229,247,0.6175,84
osaka_japan,Osaka,222,0,229,248,0.62,11
osaka_japan,Osaka,222,0,229,249,0.6225,158
osaka_japan,Osaka,222,0,229,250,0.625,231
osaka_japan,Osaka,222,0,229,251,0.6275000000000001,436
osaka_japan,Osaka,222,0,229,252,0.63,6
osaka_japan,Osaka,222,0,229,254,0.635,2
osaka_japan,Osaka,222,0,229,255,0.6375000000000001,1
osaka_japan,Osaka,222,1,1248,245,0.6125,2
osaka_japan,Osaka,222,1,1248,246,0.615,51
osaka_japan,Osaka,222,1,1248,247,0.6175,488
osaka_japan,Osaka,222,1,1248,248,0.62,77
osaka_japan,Osaka,222,1,1248,249,0.6225,219
osaka_japan,Osaka,222,1,1248,250,0.625,31
osaka_japan,Osaka,222,1,1248,251,0.6275000000000001,19
osaka_japan,Osaka,222,1,1248,252,0.63,113
osaka_japan,Osaka,222,2,2257,242,0.605,3
osaka_japan,Osaka,222,2,2257,243,0.6075,7
osaka_japan,Osaka,222,2,2257,244,0.61,446
osaka_japan,Osaka,222,2,2257,245,0.6125,208
osaka_japan,Osaka,222,2,2257,246,0.615,162
osaka_japan,Osaka,222,2,2257,247,0.6175,102
osaka_japan,Osaka,222,2,2257,248,0.62,8
osaka_japan,Osaka,222,2,2257,249,0.6225,38
osaka_japan,Osaka,222,2,2257,250,0.625,19
osaka_japan,Osaka,222,2,2257,252,0.63,7
osaka_japan,Osaka,222,3,3266,242,0.605,26
osaka_japan,Osaka,222,3,3266,243,0.6075,130
osaka_japan,Osaka,222,3,3266,244,0.61,442
osaka_japan,Osaka,222,3,3266,245,0.6125,224
osaka_japan,Osaka,222,3,3266,246,0.615,68
osaka_japan,Osaka,222,3,3266,247,0.6175,52
osaka_japan,Osaka,222,3,3266,248,0.62,17
osaka_japan,Osaka,222,3,3266,249,0.6225,40
osaka_japan,Osaka,222,3,3266,250,0.625,1
osaka_japan,Osaka,233,0,240,246,0.615,320
osaka_japan,Osaka,233,0,240,247,0.6175,75
osaka_japan,Osaka,233,0,240,248,0.62,34
osaka_japan,Osaka,233,0,240,249,0.6225,225
osaka_japan,Osaka,233,0,240,250,0.625,345
osaka_japan,Osaka,233,0,240,255,0.6375000000000001,1
osaka_japan,Osaka,233,1,1259,245,0.6125,9
osaka_japan,Osaka,233,1,1259,246,0.615,17
osaka_japan,Osaka,233,1,1259,247,0.6175,526
osaka_japan,Osaka,233,1,1259,248,0.62,41
osaka_japan,Osaka,233,1,1259,249,0.6225,338
osaka_japan,Osaka,233,1,1259,250,0.625,69
osaka_japan,Osaka,233,2,2268,243,0.6075,2
osaka_japan,Osaka,233,2,2268,244,0.61,371
osaka_japan,Osaka,233,2,2268,245,0.6125,65
osaka_japan,Osaka,233,2,2268,246,0.615,10
osaka_japan,Osaka,233,2,2268,247,0.6175,525
osaka_japan,Osaka,233,2,2268,248,0.62,3
osaka_japan,Osaka,233,2,2268,250,0.625,24
osaka_japan,Osaka,233,3,3277,242,0.605,4
osaka_japan,Osaka,233,3,3277,243,0.6075,3
osaka_japan,Osaka,233,3,3277,244,0.61,21
osaka_japan,Osaka,233,3,3277,245,0.6125,623
osaka_japan,Osaka,233,3,3277,246,0.615,142
osaka_japan,Osaka,233,3,3277,247,0.6175,202
osaka_japan,Osaka,233,3,3277,248,0.62,5
tehran_iran,Tehran,311,0,318,278,0.6950000000000001,2
tehran_iran,Tehran,311,0,318,279,0.6975,29
tehran_iran,Tehran,311,0,318,280,0.7000000000000001,29
tehran_iran,Tehran,311,0,318,281,0.7025,61
tehran_iran,Tehran,311,0,318,282,0.705,99
tehran_iran,Tehran,311,0,318,283,0.7075,634
tehran_iran,Tehran,311,0,318,284,0.71,111
tehran_iran,Tehran,311,0,318,287,0.7175,24
tehran_iran,Tehran,311,0,318,288,0.72,9
tehran_iran,Tehran,311,0,318,289,0.7225,1
tehran_iran,Tehran,311,0,318,290,0.725,1
tehran_iran,Tehran,311,1,1337,279,0.6975,53
tehran_iran,Tehran,311,1,1337,280,0.7000000000000001,307
tehran_iran,Tehran,311,1,1337,281,0.7025,73
tehran_iran,Tehran,311,1,1337,282,0.705,401
tehran_iran,Tehran,311,1,1337,283,0.7075,106
tehran_iran,Tehran,311,1,1337,284,0.71,41
tehran_iran,Tehran,311,1,1337,286,0.715,16
tehran_iran,Tehran,311,1,1337,287,0.7175,1
tehran_iran,Tehran,311,1,1337,288,0.72,2
tehran_iran,Tehran,311,2,2346,276,0.6900000000000001,3
tehran_iran,Tehran,311,2,2346,277,0.6925,4
tehran_iran,Tehran,311,2,2346,278,0.6950000000000001,1
tehran_iran,Tehran,311,2,2346,279,0.6975,53
tehran_iran,Tehran,311,2,2346,280,0.7000000000000001,191
tehran_iran,Tehran,311,2,2346,281,0.7025,71
tehran_iran,Tehran,311,2,2346,282,0.705,42
tehran_iran,Tehran,311,2,2346,283,0.7075,78
tehran_iran,Tehran,311,2,2346,284,0.71,129
tehran_iran,Tehran,311,2,2346,285,0.7125,322
tehran_iran,Tehran,311,2,2346,286,0.715,106
tehran_iran,Tehran,311,3,3355,277,0.6925,34
tehran_iran,Tehran,311,3,3355,278,0.6950000000000001,100
tehran_iran,Tehran,311,3,3355,279,0.6975,768
tehran_iran,Tehran,311,3,3355,280,0.7000000000000001,89
tehran_iran,Tehran,311,3,3355,281,0.7025,3
tehran_iran,Tehran,311,3,3355,283,0.7075,6
tehran_iran,Tehran,322,0,329,278,0.6950000000000001,1
tehran_iran,Tehran,322,0,329,279,0.6975,27
tehran_iran,Tehran,322,0,329,280,0.7000000000000001,240
tehran_iran,Tehran,322,0,329,281,0.7025,481
tehran_iran,Tehran,322,0,329,282,0.705,37
tehran_iran,Tehran,322,0,329,283,0.7075,6
tehran_iran,Tehran,322,0,329,284,0.71,155
tehran_iran,Tehran,322,0,329,285,0.7125,49
tehran_iran,Tehran,322,0,329,286,0.715,3
tehran_iran,Tehran,322,0,329,287,0.7175,1
tehran_iran,Tehran,322,1,1348,279,0.6975,110
tehran_iran,Tehran,322,1,1348,280,0.7000000000000001,67
tehran_iran,Tehran,322,1,1348,281,0.7025,81
tehran_iran,Tehran,322,1,1348,282,0.705,628
tehran_iran,Tehran,322,1,1348,284,0.71,11
tehran_iran,Tehran,322,1,1348,285,0.7125,103
tehran_iran,Tehran,322,2,2357,277,0.6925,1
tehran_iran,Tehran,322,2,2357,278,0.6950000000000001,139
tehran_iran,Tehran,322,2,2357,279,0.6975,790
tehran_iran,Tehran,322,2,2357,280,0.7000000000000001,38
tehran_iran,Tehran,322,2,2357,281,0.7025,24
tehran_iran,Tehran,322,2,2357,282,0.705,6
tehran_iran,Tehran,322,2,2357,283,0.7075,2
tehran_iran,Tehran,322,3,3366,274,0.685,1
tehran_iran,Tehran,322,3,3366,276,0.6900000000000001,43
tehran_iran,Tehran,322,3,3366,277,0.6925,196
tehran_iran,Tehran,322,3,3366,278,0.6950000000000001,504
tehran_iran,Tehran,322,3,3366,279,0.6975,140
tehran_iran,Tehran,322,3,3366,280,0.7000000000000001,9
tehran_iran,Tehran,322,3,3366,281,0.7025,79
tehran_iran,Tehran,322,3,3366,282,0.705,7
tehran_iran,Tehran,322,3,3366,283,0.7075,20
tehran_iran,Tehran,322,3,3366,284,0.71,1
tehran_iran,Tehran,333,0,340,278,0.6950000000000001,6
tehran_iran,Tehran,333,0,340,279,0.6975,146
tehran_iran,Tehran,333,0,340,280,0.7000000000000001,31
tehran_iran,Tehran,333,0,340,281,0.7025,2
tehran_iran,Tehran,333,0,340,282,0.705,669
tehran_iran,Tehran,333,0,340,283,0.7075,23
tehran_iran,Tehran,333,0,340,284,0.71,19
tehran_iran,Tehran,333,0,340,285,0.7125,8
tehran_iran,Tehran,333,0,340,286,0.715,95
tehran_iran,Tehran,333,0,340,288,0.72,1
tehran_iran,Tehran,333,1,1359,278,0.6950000000000001,2
tehran_iran,Tehran,333,1,1359,279,0.6975,3
tehran_iran,Tehran,333,1,1359,280,0.7000000000000001,56
tehran_iran,Tehran,333,1,1359,281,0.7025,241
tehran_iran,Tehran,333,1,1359,282,0.705,537
tehran_iran,Tehran,333,1,1359,283,0.7075,136
tehran_iran,Tehran,333,1,1359,284,0.71,3
tehran_iran,Tehran,333,1,1359,285,0.7125,20
tehran_iran,Tehran,333,1,1359,286,0.715,1
tehran_iran,Tehran,333,1,1359,287,0.7175,1
tehran_iran,Tehran,333,2,2368,275,0.6875,2
tehran_iran,Tehran,333,2,2368,276,0.6900000000000001,57
tehran_iran,Tehran,333,2,2368,277,0.6925,122
tehran_iran,Tehran,333,2,2368,278,0.6950000000000001,41
tehran_iran,Tehran,333,2,2368,279,0.6975,5
tehran_iran,Tehran,333,2,2368,280,0.7000000000000001,2
tehran_iran,Tehran,333,2,2368,281,0.7025,209
tehran_iran,Tehran,333,2,2368,282,0.705,340
tehran_iran,Tehran,333,2,2368,285,0.7125,220
tehran_iran,Tehran,333,2,2368,286,0.715,2
tehran_iran,Tehran,333,3,3377,275,0.6875,1
tehran_iran,Tehran,333,3,3377,276,0.6900000000000001,152
tehran_iran,Tehran,333,3,3377,277,0.6925,39
tehran_iran,Tehran,333,3,3377,278,0.6950000000000001,2
tehran_iran,Tehran,333,3,3377,279,0.6975,69
tehran_iran,Tehran,333,3,3377,280,0.7000000000000001,23
tehran_iran,Tehran,333,3,3377,281,0.7025,643
tehran_iran,Tehran,333,3,3377,282,0.705,2
tehran_iran,Tehran,333,3,3377,283,0.7075,69
