instance,domain,orders,source_sha256,released_p_star,h_deg,h_2d,p_star_s1,p_peak_s2,p_peak_susceptibility,p_star_order_mean,p_star_order_median,gap_deg_p_star_s1,gap_deg_p_peak_s2,gap_deg_p_peak_susceptibility,gap_deg_p_star_order_mean,gap_deg_p_star_order_median
Barcelona,road,512,8c644d7caf49057e92c28ae69518861f9b1fbfcf4f0feaaa5b9b30496d7e74cd,0.6275000000000001,0.438814196750765,0.6479528105482304,0.625,0.6175,0.7975,0.6446093749999999,0.6325000000000001,0.186185803249235,0.17868580324923505,0.358685803249235,0.20579517824923493,0.19368580324923507
Bengaluru,road,512,a0f6df009d3b8b9764dcea9e7501de04c3077f4bab9b4cde67b36bfb10b73666,0.685,0.487624045120297,0.7419822405071631,0.6875,0.665,0.675,0.682568359375,0.6775,0.199875954879703,0.17737595487970303,0.18737595487970304,0.19494431425470304,0.189875954879703
Bogota,road,512,af1ed8028a379c90eddbf433fa52997c3e0d380b3383fe1bf1cd840ac4aa43ae,0.6525,0.4493951193413192,0.6741848005820491,0.6625,0.6375000000000001,0.6475,0.6537451171875,0.6525,0.21310488065868077,0.18810488065868086,0.19810488065868076,0.20434999784618074,0.20310488065868076
Boston,road,512,3f49fe2b28a080147e98804743f9221d89d877076448d4ea1df9b1b016de297f,0.675,0.4629981269779758,0.6924364590017578,0.675,0.6575,0.67,0.6723876953125001,0.6725,0.21200187302202422,0.19450187302202415,0.20700187302202422,0.20938956833452427,0.20950187302202417
Brisbane,road,512,907fbb829f1aa4c98befee2700573198eaa9a4c68e262fbf67608530e4f8746c,0.71,0.4911197989388439,0.7203900608403935,0.705,0.6925,0.6975,0.70775390625,0.705,0.21388020106115607,0.20138020106115612,0.20638020106115612,0.21663410731115612,0.21388020106115607
Buenos Aires,road,512,d8ce99ca71d276c27121e7f9e4d804ba63fa0194bc1d8ed347d7b6a0b0c96c9d,0.555,0.3806157377781841,0.5775512382578992,0.5475,0.5825,0.5925,0.58916015625,0.59,0.1668842622218159,0.20188426222181594,0.21188426222181594,0.20854441847181587,0.2093842622218159
Cairo,road,512,a597851df664ecd713b1ded810e9237f67f19a4fac3e3c8dbc5daa1e3c6a765e,0.6975,0.4905812814983452,0.7238537782920393,0.7025,0.6900000000000001,0.6925,0.6977148437499999,0.6975,0.21191871850165483,0.19941871850165488,0.20191871850165483,0.20713356225165475,0.20691871850165483
Casablanca,road,512,c118235ea7e838fd4c05c894f0030a2b649c5d94aeaca74bab146b0e041f8a65,0.665,0.4598827284198025,0.662470411017861,0.6725,0.655,0.6575,0.665146484375,0.665,0.2126172715801975,0.19511727158019754,0.19761727158019748,0.20526375595519752,0.20511727158019755
Chennai,road,512,66717a5c6de7d020505851f74ec18faf30ca24b194c9e8457031ed4fa4de89fc,0.7225,0.498448919501551,0.7462025316455696,0.725,0.71,0.7125,0.719580078125,0.72,0.22655108049844896,0.21155108049844895,0.214051080498449,0.221131158623449,0.22155108049844896
Chicago,road,512,ca354ea5d5c58310436730e566c4a8ee2f95582c7db7b8d88e844c119cf6bb06,0.6,0.3959947031400221,0.6074209803023363,0.605,0.5875,0.5925,0.6008349609375,0.6,0.20900529685997787,0.1915052968599779,0.19650529685997792,0.2048402577974779,0.20400529685997787
Dakar,road,512,6cf85834892457ac3f4e0a87ddba82c9fd3d1950a3676661b5f996cba02cb387,0.6825,0.4600377595972308,0.6636833684991537,0.675,0.6725,0.6825,0.6892871093749999,0.6875,0.21496224040276923,0.21246224040276918,0.22246224040276918,0.22924934977776912,0.2274622404027692
Dar es Salaam,road,512,df7ce6128a72e93f714edbb109a0a94eed5f30c27972beb13d6d87547270ec96,0.7625000000000001,0.5075988359230076,0.7480721518138537,0.7575000000000001,0.755,0.785,0.7763427734375,0.7725,0.24990116407699248,0.24740116407699242,0.27740116407699245,0.26874393751449244,0.2649011640769924
Delhi,road,512,23d399cc9637b658a1a8e667fa96778a68c008d6e6a721f2c0be0a28799ca8cf,0.6975,0.4689645379225219,0.6906342440546899,0.7000000000000001,0.6900000000000001,0.6950000000000001,0.69982421875,0.6975,0.23103546207747816,0.22103546207747815,0.22603546207747816,0.2308596808274781,0.2285354620774781
Dhaka,road,512,1f5bfcaeed2a7dd660c8a0d6a917fe43ca8bbee2618ed4bec2e804504d49474e,0.7175,0.501127631139325,0.7477706475539628,0.72,0.7125,0.715,0.723037109375,0.7225,0.21887236886067496,0.211372368860675,0.21387236886067496,0.22190947823567497,0.22137236886067502
Dubai,road,512,dadf9d9d1fc57543c4154f08e806fdea0a532565f5865fe1a9e2e141422400a9,0.7000000000000001,0.4908611675236571,0.6920774647887324,0.6950000000000001,0.685,0.6925,0.6979443359375,0.6975,0.20413883247634296,0.19413883247634295,0.2016388324763429,0.20708316841384294,0.2066388324763429
Hanoi,road,512,59bdb75433da2c03b444ead9619514ecd55b96a08d5a388a1d470acd639476e0,0.705,0.4889668023341342,0.7350950208093064,0.7075,0.6950000000000001,0.72,0.722109375,0.71375,0.21853319766586582,0.20603319766586586,0.23103319766586577,0.23314257266586585,0.2247831976658658
Ho Chi Minh City,road,512,d533bb1e86a336fb158ae1546226ec68d8a78271fead6a77ddaaf69bcffbd16e,0.7175,0.5059497146863499,0.7788213557103815,0.72,0.6975,0.7175,0.7376318359375,0.73,0.2140502853136501,0.19155028531365015,0.21155028531365017,0.23168212125115017,0.22405028531365012
Hong Kong,road,512,05d9abf0c121529cc4ecbd11e1b695d24997991056f04aa9b87a2bece67069f3,0.655,0.4651775366136339,0.6821442053605135,0.67,0.6525,0.66,0.665078125,0.66,0.20482246338636612,0.18732246338636604,0.1948224633863661,0.19990058838636604,0.1948224633863661
Hyderabad,road,512,2aac17e2f3c7afb54183554d9e1ecec94d56bc66945e1df944b9b3f7fa1d5532,0.7325,0.4881558622014944,0.7453858615834179,0.74,0.7275,0.7325,0.734453125,0.7325,0.2518441377985056,0.23934413779850566,0.24434413779850567,0.24629726279850567,0.24434413779850567
Istanbul,road,512,4b4b92b7dd9735ab0f1d386f45a3a67329a0874144b6999adee75ea8063a2e56,0.675,0.4613033850047454,0.667709061981374,0.6775,0.6675,0.675,0.6856005859375001,0.68,0.2161966149952546,0.2061966149952546,0.21369661499525466,0.22429720093275468,0.21869661499525467
Jakarta,road,512,aa25d2c2c67690294633bee93fd20ae121aae613458473d1093a7ebc81006da1,0.705,0.512325721577254,0.7665367866147147,0.7075,0.6925,0.6975,0.7073535156249999,0.705,0.19517427842274604,0.18017427842274603,0.18517427842274603,0.19502779404774595,0.19267427842274598
Johannesburg,road,512,04403ccd8364a27b2084360479e42705cb6217691186ca168e9c940f6362108f,0.67,0.454250595097234,0.6837460161804364,0.6625,0.6475,0.65,0.6682275390625001,0.665,0.208249404902766,0.193249404902766,0.19574940490276604,0.21397694396526612,0.21074940490276606
Kampala,road,512,2779baccd4172e7a5f20071a5a9ec2c9d7f880716233ff20c73035bcc940cb4e,0.8225,0.574452139397388,0.8679906259814936,0.8250000000000001,0.805,0.8125,0.81859375,0.8187500000000001,0.250547860602612,0.230547860602612,0.23804786060261196,0.24414161060261197,0.24429786060261205
Karachi,road,512,773036d796195c43e9eadf9469a1de08e92c02fca36352625dbb96600564cfd5,0.675,0.4466206054300997,0.66026939436905,0.68,0.67,0.6775,0.68572265625,0.685,0.23337939456990037,0.22337939456990036,0.2308793945699003,0.23910205081990027,0.23837939456990037
Kuala Lumpur,road,512,ddc1abac12110f2e23fe93b4b6a2c10baa351c11af250bc9b940ec65955f130b,0.6975,0.4969016115517276,0.7296809741367478,0.7025,0.6875,0.6875,0.697568359375,0.6950000000000001,0.20559838844827244,0.19059838844827243,0.19059838844827243,0.20066674782327237,0.1980983884482725
Lagos,road,512,17d45833df4f366621af2d097d36ad3cc2fda9a6f1d6385cb23617032ca951b6,0.7225,0.4953369019369792,0.7367424242424242,0.725,0.7175,0.72,0.72822265625,0.725,0.22966309806302077,0.22216309806302081,0.22466309806302076,0.23288575431302083,0.22966309806302077
Lima,road,512,bda100542d14e90b64b4f15a13af02bdf7f44b5fc91809b2bd3de33c98d65b69,0.645,0.4428345242198864,0.6518813657712809,0.6475,0.6375000000000001,0.645,0.6488378906250001,0.6475,0.20466547578011357,0.19466547578011367,0.20216547578011362,0.20600336640511369,0.20466547578011357
Lisbon,road,512,540eef8d47f8f8a70bf47b771a05c8c379190c6a0a9c07c79aa1f0ad7b74e596,0.715,0.4955161486076462,0.7262484691794802,0.7125,0.79,0.8,0.7629736328125,0.76125,0.21698385139235382,0.29448385139235383,0.30448385139235384,0.26745748420485377,0.2657338513923538
London,road,512,87efdda2d97eeed92a5ec49eef8a90e1bd365ae5629758e119ac75d4873703df,0.775,0.5199847165924646,0.772387463659308,0.7825,0.7675000000000001,0.7675000000000001,0.77486328125,0.775,0.2625152834075354,0.24751528340753548,0.24751528340753548,0.25487856465753544,0.25501528340753543
Los Angeles,road,512,7493c59fdc3e036aa52decec7831e3ae1ab566fbb4fc42cc6df08c847970fa4e,0.6025,0.4249303262083952,0.6437259830689666,0.61,0.5925,0.605,0.6202734375,0.615,0.18506967379160477,0.1675696737916048,0.18006967379160477,0.19534311129160475,0.19006967379160478
Manila,road,512,415937e8807f2e4e4f91af6e2570ef8f045eb33e9b917f111f7b19e4b4843eae,0.6575,0.4492979529208324,0.6814473505895108,0.65,0.6375000000000001,0.64,0.650673828125,0.6475,0.2007020470791676,0.18820204707916766,0.1907020470791676,0.20137587520416755,0.19820204707916755
Melbourne,road,512,1d67e580bc1dba1dafec23fedcfcce1c285cdcc1728e30c8048fe94e7f5018a6,0.705,0.4686087256486138,0.6790259777997326,0.71,0.6950000000000001,0.705,0.7053955078125,0.7075,0.2413912743513862,0.22639127435138628,0.23639127435138618,0.23678678216388627,0.23889127435138624
Mexico City,road,512,b73f3236bed749fee6d70390c0f6e619efcb77a3da1e5e52b5bcd499b675097a,0.615,0.4265999557561695,0.6510950515805153,0.6175,0.615,0.615,0.6210205078125,0.6175,0.19090004424383056,0.1884000442438305,0.1884000442438305,0.19442055205633046,0.19090004424383056
Miami,road,512,407be4d87c13132cf516582015a10f513fa5efe2734bafc33c27d8af6b2e5835,0.6175,0.4188310741874362,0.6258003897550111,0.6175,0.61,0.615,0.6196728515625,0.62,0.19866892581256385,0.19116892581256378,0.1961689258125638,0.20084177737506376,0.2011689258125638
Milan,road,512,0b238e5becad707cf499a923b017c97679f90620bc642dc5dde555edf7b62057,0.6575,0.4648772408417771,0.6741852666876245,0.6475,0.6425,0.645,0.6627099609375,0.6575,0.18262275915822285,0.17762275915822284,0.1801227591582229,0.1978327200957229,0.19262275915822286
Montevideo,road,512,39b89bf8b77496c518ff88998a0fd192aa141132be00dd10365c76e33a190e3d,0.58,0.4069683126676818,0.6129621380846325,0.585,0.625,0.6275000000000001,0.6188916015625001,0.6075,0.17803168733231817,0.2180316873323182,0.22053168733231826,0.21192328889481832,0.20053168733231824
Montreal,road,512,1640eb6f260741f3045b47dc46a490d6c2008662c0ed4808dd1c653bcd340c19,0.625,0.4231662575553621,0.6334944643692499,0.6175,0.65,0.6725,0.6616064453125,0.66,0.19433374244463797,0.22683374244463794,0.2493337424446379,0.23844018775713793,0.23683374244463795
Mumbai,road,512,55a0332b67eb047b7128944e5f837ff3ab6415e103b7d0ed67e5a61ab6617dfe,0.7175,0.4825037154272258,0.7308292331693268,0.715,0.7075,0.71,0.7176171875,0.7175,0.23249628457277416,0.2249962845727742,0.22749628457277415,0.23511347207277422,0.23499628457277422
Nairobi,road,512,3c55859481d114651bd2ca49fd017e7b553217d5fb911afd7119091711eb6b3e,0.78,0.5433092136999518,0.8154277799481479,0.7825,0.7475,0.7675000000000001,0.7918896484375,0.7825,0.2391907863000482,0.20419078630004828,0.2241907863000483,0.2485804347375482,0.2391907863000482
New York City,road,512,fbf929ff88013a15c7a03310a109b0b479954aa1c4eaf79d1b850a57492f91bd,0.585,0.3876426827190641,0.5891883973044242,0.5750000000000001,0.5725,0.5875,0.6004931640625,0.59,0.18735731728093596,0.1848573172809359,0.19985731728093592,0.21285048134343587,0.20235731728093587
Osaka,road,512,9aa78724510b92e4c6f245c799b24a0fe61486d6b6b72539b3f7e4f09619e58d,0.62,0.4467357272621854,0.6666666666666666,0.625,0.61,0.6125,0.6294873046875,0.62375,0.1782642727378146,0.16326427273781458,0.16576427273781463,0.18275157742531462,0.17701427273781462
Panama City,road,512,b0d859e86ecd8e5b0774edef87aa83e0b7c20f938d710d8d9e6fbed9ee1b9e15,0.715,0.4936399020906064,0.7515038205169892,0.725,0.6925,0.7025,0.7638818359375,0.74,0.2313600979093936,0.19886009790939363,0.20886009790939364,0.27024193384689366,0.24636009790939362
Paris,road,512,c0bec782e80aac33105798b5905adcb9411b2062849911e15a39857fa31e94bb,0.6475,0.453974052043998,0.6695420525180769,0.6425,0.6375000000000001,0.64,0.6491943359375001,0.645,0.18852594795600197,0.18352594795600208,0.18602594795600202,0.1952202838935021,0.19102594795600203
Prague,road,512,445ab061ca43ca06e17206e8c908c5f6cbc5fd0c30cbb58253c0b97ec3ac4cea,0.7025,0.4768012005095185,0.7241354071363221,0.6900000000000001,0.6825,0.685,0.7057568359374999,0.6975,0.21319879949048154,0.20569879949048148,0.20819879949048153,0.22895563542798142,0.2206987994904815
Quito,road,512,44be5d84d237658a07d8394b64de9fceaea520d5dec3e80f4a419d9e6e1087d0,0.71,0.4811776588774842,0.7416106430658383,0.6900000000000001,0.6775,0.685,0.7090527343749999,0.7025,0.20882234112251585,0.1963223411225158,0.20382234112251585,0.22787507549751573,0.2213223411225158
Rio de Janeiro,road,512,8e0fa55619e3f1823c16e3e6c29ec7c27298efaed8fc87430128f261ddd01efe,0.7075,0.479348377866999,0.7176759410801964,0.7000000000000001,0.6950000000000001,0.6975,0.7064892578125,0.705,0.22065162213300105,0.21565162213300104,0.218151622133001,0.22714087994550103,0.22565162213300094
Riyadh,road,512,325f5dea6ac45a29870d3009d4f25c1d7aca5102e9624c5b27d62df49186a375,0.6625,0.4665628855078422,0.6561323546076074,0.6625,0.6525,0.6575,0.6621337890625,0.66,0.19593711449215778,0.18593711449215777,0.19093711449215778,0.19557090355465778,0.19343711449215784
Rome,road,512,24b4f77d586a019a6ff40f7dac4bcec1c179d2bbbb4cf6a550ea454a3288bc2f,0.6875,0.4705329710788918,0.697291025848578,0.6825,0.665,0.67,0.6856738281250001,0.6825,0.2119670289211082,0.19446702892110823,0.19946702892110824,0.2151408570461083,0.2119670289211082
San Francisco,road,512,f34451517d1af189cf2f0ae3bfd8bd8806080b2be8314e0855a00878382c0578,0.605,0.4019767215033488,0.6201876415399546,0.605,0.5875,0.5975,0.605244140625,0.6025,0.2030232784966512,0.18552327849665123,0.19552327849665124,0.2032674191216512,0.20052327849665125
Santiago,road,512,b059c64b62a7c8de800e3ddc484b21d3334383fbe3fad9be9e548fdfc0fd9121,0.6425,0.4543405779204741,0.6876174945074857,0.635,0.625,0.63,0.642041015625,0.63875,0.1806594220795259,0.1706594220795259,0.1756594220795259,0.18770043770452594,0.18440942207952593
Sao Paulo,road,512,c699b77f1c31dde3bc488d6d24367cc32c9a4d63b45a77bec936229bdbe345c6,0.65,0.4525467568643056,0.6632226863046823,0.655,0.64,0.6475,0.6508935546875,0.65,0.2024532431356944,0.1874532431356944,0.19495324313569434,0.19834679782319437,0.1974532431356944
Seattle,road,512,1924b02a54831f401171f800eedb63d899802165efcdb03f9585601377e64cef,0.6525,0.4417716876708675,0.6629938492887061,0.645,0.645,0.6575,0.670947265625,0.65875,0.20322831232913252,0.20322831232913252,0.21572831232913248,0.22917557795413246,0.21697831232913245
Seoul,road,512,76bf2eb13c5daf24898f54dc4bbecb16fd85f2162f8bac9d5eaab3487705fc10,0.6725,0.4516653899369949,0.6693925848014726,0.6675,0.6625,0.665,0.6696728515625,0.6675,0.21583461006300508,0.21083461006300508,0.21333461006300514,0.2180074616255051,0.21583461006300508
Singapore,road,512,f02725febb519b03ea398acae8bca45594a7657ed0562c2448aca2bdb57b7412,0.675,0.4668204315025708,0.6936695831188883,0.665,0.655,0.66,0.6749462890625,0.67125,0.19817956849742924,0.18817956849742923,0.19317956849742923,0.20812585755992918,0.20442956849742921
Sydney,road,512,2dd786cd9e97ff7782d35d14aa1fbfc4e6460f8bccffd5c39f4e3532b631ae7a,0.6950000000000001,0.487296324811841,0.7163125141069874,0.6975,0.6875,0.6950000000000001,0.7044677734375,0.7000000000000001,0.21020367518815902,0.200203675188159,0.20770367518815908,0.217171448625659,0.21270367518815908
Taipei,road,512,ce6ec45306cfcbcd942b932dbad213cda55aa210cd3d9d42341cfc8fcb6d9b84,0.59,0.431684610183596,0.6581526104417671,0.59,0.58,0.585,0.5973876953125,0.5925,0.15831538981640397,0.14831538981640396,0.15331538981640397,0.16570308512890403,0.16081538981640403
Tehran,road,512,22a121314c80aecabfabfa546eb295619d49d238fcc4065ca89050b7a9d5d36d,0.7075,0.5095652255940534,0.7924322222942141,0.7125,0.7025,0.7025,0.705556640625,0.7075,0.20293477440594665,0.19293477440594664,0.19293477440594664,0.19599141503094664,0.19793477440594665
Tel Aviv,road,512,3f710e59e4656ad616572177e8303c77380dda3f816a7d5c94799355eb94fc18,0.6725,0.4704556407107436,0.7006906122988468,0.675,0.67,0.6725,0.6873681640625,0.6775,0.20454435928925646,0.19954435928925646,0.2020443592892564,0.21691252335175643,0.2070443592892564
Tokyo,road,512,3be0a76101e8977826f98c07dab1be622c5e512550dab92218d80ee0404ed573,0.635,0.4276266169078313,0.6332504129029627,0.635,0.625,0.6275000000000001,0.63318359375,0.635,0.20737338309216868,0.19737338309216867,0.19987338309216873,0.20555697684216867,0.20737338309216868
Toronto,road,512,2d2cc88e9a88221018989a711f3caf30faa6cca0c28f652d8ecd8e706b613a0a,0.66,0.4503249767873723,0.6751492132392838,0.6625,0.6375000000000001,0.65,0.657392578125,0.655,0.21217502321262766,0.18717502321262774,0.1996750232126277,0.20706760133762764,0.2046750232126277
Tunis,road,512,1183ee912d5815a3a0880ab56a089637134cecfc37988414151fd550592ca521,0.7000000000000001,0.4801932298410621,0.6922142380917105,0.6950000000000001,0.6875,0.6900000000000001,0.6985986328125,0.6950000000000001,0.21480677015893795,0.2073067701589379,0.20980677015893795,0.2184054029714379,0.21480677015893795
Vancouver,road,512,3ccbb322059a9a08321e4b1efc4ed607bd7b13c7e364a7769db284db91a4079f,0.61,0.4277066531310511,0.6538613687310448,0.61,0.6025,0.7425,0.6560205078125001,0.625,0.18229334686894888,0.17479334686894893,0.31479334686894894,0.228313854681449,0.1972933468689489
Vienna,road,512,c56e6b5d9384255916eaee883a67e8e28d274c497127bc575d02fe277a7bcf37,0.6475,0.4456985030858935,0.6743554433478693,0.635,0.63,0.6325000000000001,0.6547070312500001,0.6475,0.18930149691410653,0.18430149691410652,0.18680149691410658,0.2090085281641066,0.20180149691410648
Warsaw,road,512,23f7d9798c047b3ccf2273b8bc2595372aaceb7d1cc7d670c16cd1d4bae2f0ab,0.6825,0.4800796812749004,0.7223203648165646,0.6825,0.6675,0.67,0.682880859375,0.68,0.20242031872509958,0.18742031872509957,0.18992031872509962,0.20280117810009957,0.19992031872509963
Net3,water,512,c8b32e7b46758a1b7e80f9b958686218169e961700cac7ab15b12b2ad0ebf56e,0.8025,0.5666666666666668,0.8151260504201681,0.795,0.7525000000000001,0.8175,0.8664013671874999,0.88,0.22833333333333328,0.1858333333333333,0.25083333333333324,0.2997347005208332,0.31333333333333324
Net6,water,512,975fb96b27ce334fbe20c4cc251750cca502539cf6b5c303bb2b899a52ae1de7,0.875,0.6491525423728813,0.8762402088772846,0.875,0.86,0.875,0.9298779296874999,0.9425,0.22584745762711866,0.21084745762711865,0.22584745762711866,0.2807253873146186,0.29334745762711867
ky10,water,512,3ae75154546e0dec016edc833e6bb2ee76ac6717c6cf366142ccbfa2e64a1a3a,0.9275,0.6030751708428246,0.8829084041548632,0.92,0.89,0.9125,0.94162109375,0.9525,0.31692482915717546,0.28692482915717543,0.3094248291571754,0.33854592290717545,0.34942482915717543
ky4,water,512,ceeb558923da6181eca5794de68f93952c45343456ac128bbf2430a641ce06c1,0.84,0.5774504824784155,0.8478452066842568,0.8575,0.81,0.8275,0.841015625,0.84,0.2800495175215846,0.2325495175215846,0.25004951752158455,0.2635651425215846,0.2625495175215845
