domain,instance,system_id,n_nodes,n_edges,mean_degree,pc_cebh,pc_dimension,pc_junction_anchor,pc,pc_low,pc_high,point_endpoint,bootstrap_endpoint_count,p_step,n_orders,n_bootstrap,mean_curve_p0,mean_curve_p1,exact_endpoint_slope,largest_component_bridges,method_version,input_hash,pc_nonbacktracking,nb_spectral_radius,nb_residual,candidate_id,macro_region,source_sha256
road_external,Medellin,Medellin,24333,34222,2.8128056548719846,0.4683774721138712,0.7110338378820642,0.6173461940094997,0.6625,0.6599375000000001,0.6675,False,0,0.0025,8192,1000,4.109645337607364e-05,1.0,0.8211482349073275,5735,canonical_v2_exact_endpoint,2c4102e24808bfc2c76bbef600bd8f84094704e8f6b6e1bcb7e009dfe8fe0eb3,0.3606099180011726,2.7730795801261023,1.021128418033894e-09,ER41P,Latin America,e53efe10e20fae405ad795be61eaa31c5bab79d0ab1c87f5a740aa8944e15cc5
road_external,Minneapolis,Minneapolis,19301,30730,3.1842909693798247,0.4129488282089872,0.6280833062154247,0.586648109222151,0.6225,0.615,0.625,False,0,0.0025,8192,1000,5.18107870058546e-05,1.0,0.1458991762084866,1945,canonical_v2_exact_endpoint,27c3ffce3c8e10504bcdc1d68f3ba62f134c0e1de8bfbf2f5e7585fb191ed8dc,0.3485604852994026,2.8689425284137737,2.7915313665672036e-09,ER62P,North America,dc3ca1a5e0bb3047ab419149fe84364d5db6e05e3fa3c34abdbbda531fef9a69
road_external,Munich,Munich,16338,23849,2.919451585261354,0.4624946670286624,0.6850601702377458,0.6186233394319055,0.665,0.6625,0.67,False,0,0.0025,8192,1000,6.120700208103809e-05,1.0,0.2303219488309462,2282,canonical_v2_exact_endpoint,c7cdeeac24f61664777d1e1c677c1e88bd088f6c81183b86d0387bf831f6d29b,0.3955014025590989,2.528436039744694,1.509638408565067e-09,ER32P,Europe,0b30374857d23a167defa7d94fce5eea9c633429b09d86576565efed1133296a
road_external,Muscat,Muscat,4258,5692,2.6735556599342414,0.5080781933410693,0.7480674631061138,0.6354294767174811,0.75,0.745,0.77,False,0,0.0025,8192,1000,0.0002348520432127,1.0,0.7468294974166275,1087,canonical_v2_exact_endpoint,e74846089ee9e67c78751bf94f3a2dfd8c576d4e6a5fb0dcf23ee0d03149bb7f,0.3669367832204593,2.725265074881277,1.3641824996219078e-10,ER53P,Middle East,a5edaa61a6ecac8ce885ae95ed52c9355986ee601e864fb9252d1de6cc454d38
road_external,Perth,Perth,30045,44315,2.9499084706273924,0.4627666795459529,0.6779871375380796,0.6219471832070371,0.68,0.68,0.6900000000000001,False,0,0.0025,8192,1000,3.328340822100182e-05,1.0,0.2139457480445997,3690,canonical_v2_exact_endpoint,86894f7deea9fb958f8babb7a327f08d84868b25c82611c6c30f495e7e3d8489,0.3826729129019876,2.6131977631145418,2.046658049235482e-09,ER72P,Oceania,fa064c741ef9d87d55193a15af2637278aba5640ebc47eba1860bd7a6bd1f67a
road_external,Philadelphia,Philadelphia,27366,44378,3.243294599137616,0.4114445711530795,0.6166569020685926,0.5906657054307194,0.595,0.5925,0.6,False,0,0.0025,8192,1000,3.654169407293722e-05,1.0,0.0837535628151721,1820,canonical_v2_exact_endpoint,28fd4d7608acd315dfbf0f3099f27861087c9b865c0542c1fc5bd84036bc3210,0.3529204363991425,2.833499839802504,2.045656993969611e-09,ER63P,North America,2116514d81ee59316526cc4c08825407a27101623babe3489925e2bed9517094
road_external,Recife,Recife,27394,38958,2.8442724684237426,0.4733714868953451,0.7031675137327378,0.6231371080577702,0.705,0.6950000000000001,0.7125,False,0,0.0025,8192,1000,3.650434401693802e-05,1.0,0.2956486821931809,4789,canonical_v2_exact_endpoint,bebe1210ab92e2de2569d89b3db93a25f9497ef16c032a6852287405270ba26d,0.3732534889965245,2.679144413863232,5.611675888454633e-10,ER43P,Latin America,f67bbe2fbe7b1d4a354c611a19063b434a1e10dbeab08c54378aa7d449a36fde
road_external,Sapporo,Sapporo,48701,77596,3.1866286113221496,0.431671645610463,0.6276225578638074,0.60865273416541,0.6275000000000001,0.625,0.63,False,0,0.0025,8192,1000,2.0533459271883533e-05,1.0,0.054824336255929,1958,canonical_v2_exact_endpoint,556c3161f709326a0f885d5f89d1d737086267bf95b52244c80b9e3d3ace20fe,0.347307828522828,2.879290122117911,1.177934660116975e-09,ER22P,Asia,06effe40ba8c7594cedfe2056f387a7e408b9055203dfb5d7509de085424ccda
road_external,Stockholm,Stockholm,20210,26620,2.6343394359228105,0.4993153639825183,0.7592036063110443,0.6252124309268955,0.725,0.725,0.74,False,0,0.0025,8192,1000,4.9480455220188016e-05,1.0,0.6951509153884216,6115,canonical_v2_exact_endpoint,dbe2ff93ef80f646305d98c41c25c39775a0231aeb52f12146fb6d2c2b57b7f3,0.3534830443099179,2.828990007009347,8.981424960261352e-10,ER31P,Europe,470787ee502ef8104814993a930db0b18e4d228b1beec5b84e86247717efe36f
road_external,Valencia,Valencia,23969,36321,3.030664608452585,0.4546717740724049,0.6599212576746235,0.6204886045114422,0.6975,0.6975,0.7000000000000001,False,0,0.0025,8192,1000,4.172055571780216e-05,1.0,0.1220743460302891,1964,canonical_v2_exact_endpoint,5e0513d8e76227790ffe22c66b488a0567141e6ee789a5d6174a0e6ec21a9efb,0.3665566417156307,2.728091340316745,8.666650633973824e-10,ER33P,Europe,0b5f472c17ccbe8435fda546f7b590f654da8d373f4e2a7f5fa3c795f0f5b539
road_external,Wellington,Wellington,4593,5645,2.4580883953842805,0.536596958174905,0.8136403897254207,0.6372967635312415,0.8025,0.8,0.8175,False,0,0.0025,8192,1000,0.0002177226213803,1.0,0.811452209884607,1765,canonical_v2_exact_endpoint,51531baf4afd256f052cc3d160fe92fe2c6d23b1497d848c3713f978b428fed1,0.4081058577730176,2.4503446371901503,9.86250380682912e-10,ER73P,Oceania,969885baf2f0e170604eb3278bdad266916a129c9c430bec55a8172dfe15d481
