cohort,domain,instance,system_id,snapshot_name,snapshot_format,snapshot_sha256,ordered_edges_sha256,n_nodes,n_edges,input_hash,seed,n_orders,n_bootstrap,p_step,method_version
reference,road,Boston,Boston,road_Boston.npz,npz,3f49fe2b28a080147e98804743f9221d89d877076448d4ea1df9b1b016de297f,ab3d63731e66861be4661fcbd1408a07cf673f8dbd389898320b18a72d281d2f,24819,35843,ab1c8ef8bea3a1b1d6c8460021acdda0c4c6c3f850f7873e37bc77953dbbad0e,20289981,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Brisbane,Brisbane,road_Brisbane.npz,npz,907fbb829f1aa4c98befee2700573198eaa9a4c68e262fbf67608530e4f8746c,1a7d23311db74f5f77e05cf8b5dd398e3a51e988ee7e8d89b1636d7ecb9ef58b,25339,35174,6370c1a0ef0082186e72fcb0cd4d0fdfbc158a565f99d0ed55bc1e88b32f1b67,20294317,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Buenos Aires,Buenos Aires,road_Buenos_Aires.npz,npz,d8ce99ca71d276c27121e7f9e4d804ba63fa0194bc1d8ed347d7b6a0b0c96c9d,dd01632f57ffacdb2f04ee5407703f923490a18ed49886b9e65e06af5e2a0378,21642,37472,9d9d15a5d2f4fbba12698a26633ec7b121490021a8df53eda0a4066573a44ab9,20304440,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Cairo,Cairo,road_Cairo.npz,npz,a597851df664ecd713b1ded810e9237f67f19a4fac3e3c8dbc5daa1e3c6a765e,f62f474fa8e21b3672066afb76fc9cf52254315eef3ebe85fee4d301e6f4bfcf,118235,163341,1dd01752b9f1dbd0c8474162d1793e9ce47b810d0108b2f780896d0a7c7278ca,20287559,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Casablanca,Casablanca,road_Casablanca.npz,npz,c118235ea7e838fd4c05c894f0030a2b649c5d94aeaca74bab146b0e041f8a65,ca07fd9c127041f8e5af21787ca0190114e98cda32eafe8e95b5b300ad999fe3,36942,55764,f8c7a1f9e2b886aa40e9fa56bf4a3568975e4cdbaf1739150fb45b89f9b8490c,20299089,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Chennai,Chennai,road_Chennai.npz,npz,66717a5c6de7d020505851f74ec18faf30ca24b194c9e8457031ed4fa4de89fc,4bdbe52903062fb0a2b0f2e6e91114f7aafeb92e9970baa9428c709f013173c8,42444,56880,7cfca29680ba8cef2af8b744e09858e92d0014be372a6b8771952f4c230b3e17,20291901,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Chicago,Chicago,road_Chicago.npz,npz,ca354ea5d5c58310436730e566c4a8ee2f95582c7db7b8d88e844c119cf6bb06,53e10ec1116ae01ede8b8ff0107f056fda565d816a5d4ee25372ff8007471a54,13260,21830,6e54a03ece4f9e8613bb187ade95bb2ed96d1aa8c0ad94f557dd8312a3ff7df6,20291842,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Dakar,Dakar,road_Dakar.npz,npz,6cf85834892457ac3f4e0a87ddba82c9fd3d1950a3676661b5f996cba02cb387,b9e8cd0116ca1d1fa1215859989eb4ffbbf41594a753df93040c35f5950f1b56,28624,43129,d135e6c58b836e7913965c30226322d34eaf4bd8c574de7659ea7d8998805576,20287458,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Dar es Salaam,Dar es Salaam,road_Dar_es_Salaam.npz,npz,df7ce6128a72e93f714edbb109a0a94eed5f30c27972beb13d6d87547270ec96,4dfa7920b5535c46faeb380650bf3b4497e3812ca3f51b124683f2070cab766f,22312,29826,3dbe8788844f68a6baa9d7d70471afabf3c868af462c46dc55b3dd77ad295122,20306260,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Delhi,Delhi,road_Delhi.npz,npz,23d399cc9637b658a1a8e667fa96778a68c008d6e6a721f2c0be0a28799ca8cf,9bcff51bb2928ccdae3c74e5f8839f7f1cba519cf9cce0686b682050b5594aa2,59302,85866,ef9646d6b32ee8d368c13f641fcff98d043f745b57904bc921c5f3509bfa4b32,20287467,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Dhaka,Dhaka,road_Dhaka.npz,npz,1f5bfcaeed2a7dd660c8a0d6a917fe43ca8bbee2618ed4bec2e804504d49474e,84424277aae25dc51b700e8ff195b068fd579bfa6932a2bcc58e518d5ec8975e,35890,47996,a65144ddcc34f23972b2d202b2d2cd55ea3e782cf425f82e62474c28beb59939,20287347,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Dubai,Dubai,road_Dubai.npz,npz,dadf9d9d1fc57543c4154f08e806fdea0a532565f5865fe1a9e2e141422400a9,254ce95e327e8bb697545cb9a7211e1d3bb991ff51e97f3407b9322b7c809d21,15724,22720,2db898e088c7cb2fb4ac59525af70ddc3a6629bdfcf307f718dffa812066751a,20287436,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Hanoi,Hanoi,road_Hanoi.npz,npz,59bdb75433da2c03b444ead9619514ecd55b96a08d5a388a1d470acd639476e0,9212322353314d1a3317cb7ea480c2a01a5f164e5b9d78468017367553594cd4,29320,39886,4a321e4140484f274f5b6fa29d763d163fc4b6049743cfa5b35266e3aa4f820a,20287542,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Ho Chi Minh City,Ho Chi Minh City,road_Ho_Chi_Minh_City.npz,npz,d533bb1e86a336fb158ae1546226ec68d8a78271fead6a77ddaaf69bcffbd16e,5e8f31299762c704f3e2835d1656c439a80d1626b6f4b97b51b7c1eefcd8cbed,40466,51958,8687b876aad2ebf2f3544c09e61dbe0084498b8528b11b33176c5376014c9c5d,20315062,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Hong Kong,Hong Kong,road_Hong_Kong.npz,npz,05d9abf0c121529cc4ecbd11e1b695d24997991056f04aa9b87a2bece67069f3,a1e195d0c10926dd83071eb704b47aefc121e86f5a91929653e77976cf8676d5,9035,13245,8c450ae99e1d49537e3fe46c4f3b09a708194b8e3a26ee2ab24260144f99ea54,20296307,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Hyderabad,Hyderabad,road_Hyderabad.npz,npz,2aac17e2f3c7afb54183554d9e1ecec94d56bc66945e1df944b9b3f7fa1d5532,f91d1e65b8c821bd361c7c105a687af6f159b50a84a168c430d48c882a742194,98461,132094,e4231c8b15f318853b5383dfc47cc6714ae0597f46f38eb309dd665fd8221603,20296622,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Istanbul,Istanbul,road_Istanbul.npz,npz,4b4b92b7dd9735ab0f1d386f45a3a67329a0874144b6999adee75ea8063a2e56,a2e83c2fdc37d732ea157b142fafa057a6a4f851ae81ab429753bd55f8e630a0,48682,72909,eec3a6dbbdcd00ad23b67c1f9091e15b935660f56c8cfe1f00ddc54c0b80a322,20294598,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Jakarta,Jakarta,road_Jakarta.npz,npz,aa25d2c2c67690294633bee93fd20ae121aae613458473d1093a7ebc81006da1,1b980b0d62241db0514210cc4f9542475bbb5dd49951662089601cef091cf10d,50166,65445,d59d38ad96562a8ea8ea6eb9efcfc96393a754eea73f17cea49fbc37d4a9e8c2,20291978,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Johannesburg,Johannesburg,road_Johannesburg.npz,npz,04403ccd8364a27b2084360479e42705cb6217691186ca168e9c940f6362108f,63ac1926d713151ee33588a05e5831d34daf3d967809374cdf59a1afcec7ce4d,22312,32632,4f091fc0d64c7e37ebb8bf87212b572e814d05a9e39d7fd528eafc7620690a88,20305301,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Kampala,Kampala,road_Kampala.npz,npz,2779baccd4172e7a5f20071a5a9ec2c9d7f880716233ff20c73035bcc940cb4e,1a34185b92d68918929db3e2bdc97dbf3910a17995442b461f103f68189ec656,35927,41391,a3fdf2484e3d4125bab8164f7b70b3bba13444fbc8d8db4d5b040bd21d48250c,20291877,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Karachi,Karachi,road_Karachi.npz,npz,773036d796195c43e9eadf9469a1de08e92c02fca36352625dbb96600564cfd5,c3c606086cd77032c728f22ed73ee2b371f256b977061cbd398c8f42739c76db,52156,78992,345bd7c3f4e02b299a268bf152f0f49a4cfd3c52f69f9f4d5eff1283f4b71a48,20291854,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Kuala Lumpur,Kuala Lumpur,road_Kuala_Lumpur.npz,npz,ddc1abac12110f2e23fe93b4b6a2c10baa351c11af250bc9b940ec65955f130b,d68cd731b30b85dd82bd2d2ede4928e7f6b5e0eac9a294c5ac298fc8aad883b4,37213,50999,49b7553a44a7eb0148643d5a81a8b7ab648c1a4225da6cb8aaab15e1173468b7,20304828,8192,1000,0.0025,canonical_v2_exact_endpoint
