graph,seed,stage_index,chi_chord,chi_added,pc,pc_low,pc_high,pc_shift,ks_length_statistic,target_reached,accepted_swaps,attempts,mean_length_ratio,median_length_ratio,largest_component_fraction,graph_sha256
osaka_japan,222,2,0.09041747782825,0.0521450717427355,0.61,0.61,0.625,-0.0175,0.0135626216742376,True,2673,603667,1.0456703135233325,1.0,0.99978369024443,6e9dc3427a4121a9568ced6ab4410b66fda0010df7e32d9f805d8d5161c0940f
osaka_japan,222,3,0.1185737976782752,0.0803013915927608,0.61,0.605,0.6225,-0.0175,0.0212416179969716,False,5186,1000000,1.071875528059568,1.0,0.999870214146658,076d1d8dc73d59129828eaaa45d190f3e9c0fdf0004eb913032320be3371b14b
osaka_japan,233,0,0.0382724060855144,0.0,0.625,0.615,0.625,0.0,0.0,True,0,0,1.0,1.0,1.0,8716f7da01a6ea100c83066836fea709c34b406534acc56a2f284e9c2ad9c7db
osaka_japan,233,1,0.0586992573365058,0.0204268512509914,0.6175,0.615,0.625,-0.0074999999999999,0.0052995890114644,True,859,218561,1.0182374539280388,1.0,0.999978369024443,58bff779b2d3519c34158eb481c683cbfbffe24337ecfeea9f2ada2979434661
osaka_japan,233,2,0.090741942461605,0.0524695363760905,0.6175,0.61,0.62,-0.0074999999999999,0.0138366140312927,True,2690,603365,1.0473937510139664,1.0,0.999935107073329,819c1bcf441ff3bbfed1a5f5717c4bade3a98b59a988d4233ac441787d05e9ba
osaka_japan,233,3,0.1192371475953565,0.080964741509842,0.6125,0.61,0.6175,-0.0124999999999999,0.0212488283221573,False,5197,1000000,1.0717564516686,1.0,0.999913476097772,cdfbadbd0be2b77a50222f40b274e6ba7579a82165fc1a06393b5f6e5f615415
tehran_iran,311,0,0.0373298036783694,0.0,0.7075,0.6975,0.7175,0.0,0.0,True,0,0,1.0,1.0,1.0,aade61c16f52640e8fe72184ac08ff6e1230f57f6c2b62218fe0711186df012a
tehran_iran,311,1,0.0577302220535557,0.0204004183751862,0.705,0.6975,0.71,-0.0025,0.0032396308672029,True,690,135829,1.0106075478666512,1.0,0.9996262206232772,81d4754272567a4dce9fd3cde97f4ae403c586d7ab50ddf1f19e45f0045f9b8b
tehran_iran,311,2,0.0894878606403361,0.0521580569619667,0.7125,0.6975,0.715,0.005,0.0081638697853513,True,2059,320559,1.0267276130687082,1.0,0.9991823576134188,a2c56f3d42a3c2fd6ac7612057c87f65fcb77892ab58eb40dafee8f4bba5a864
tehran_iran,311,3,0.14287697733184,0.1055471736534705,0.6975,0.6925,0.7000000000000001,-0.01,0.0163925321880467,True,5817,1000000,1.053047973195803,1.0,0.9981077419053404,b389e7484bd55b229aa634b40c84698470406ee5d30023481b3c0ceebc16e4eb
tehran_iran,322,0,0.0373298036783694,0.0,0.7025,0.6975,0.7125,0.0,0.0,True,0,0,1.0,1.0,1.0,aade61c16f52640e8fe72184ac08ff6e1230f57f6c2b62218fe0711186df012a
tehran_iran,322,1,0.0577117098771717,0.0203819061988022,0.705,0.6975,0.7125,0.0024999999999999,0.0032951673963549,True,686,127721,1.0105846448441662,1.0,0.9998364715226836,042dad61993d351847e1d8130fb073a97c3b3587a841cf9a8384a6e92d863130
tehran_iran,322,2,0.0895341410812962,0.0522043374029267,0.6975,0.6950000000000001,0.7025,-0.005,0.0080805649916232,True,2038,315103,1.0266896554412843,1.0,0.99936924730178,d856cededc835878a2e5032488a9a5dd1fef13fd5753c38b6a02ede1e611b16d
tehran_iran,322,3,0.1405722113720299,0.1032424076936605,0.6950000000000001,0.6900000000000001,0.705,-0.0074999999999999,0.0158834473374862,True,5713,1000000,1.0540472730860022,1.0,0.9973017801242816,096f375b06614caf13c4ef127d1c3c02eb162c49c12a352982d61bea2aa2e3aa
tehran_iran,333,0,0.0373298036783694,0.0,0.705,0.6975,0.715,0.0,0.0,True,0,0,1.0,1.0,1.0,aade61c16f52640e8fe72184ac08ff6e1230f57f6c2b62218fe0711186df012a
tehran_iran,333,1,0.0577209659653637,0.0203911622869942,0.705,0.7000000000000001,0.7075625,0.0,0.0032488869553949,True,675,137525,1.0109522713453647,1.0,0.9992407606410316,e61a017abd259900ac9d260b856c9269d7a1cec603e2c20f7e8c01c3bd88cc31
tehran_iran,333,2,0.089349019317456,0.0520192156390866,0.705,0.6900000000000001,0.7125,0.0,0.0081268454325833,True,1976,303370,1.0272327184751475,1.0,0.9986800915759472,e1c647a2cb6f8f0549d7f458bb9ab67a58e22291f1a4532e7dcea48ee59ec853
tehran_iran,333,3,0.1422475633347834,0.104917759656414,0.7025,0.6900000000000001,0.7075,-0.0024999999999999,0.0160037764839823,True,5620,1000000,1.05445825579288,1.0,0.9978157267672756,97131d52a760bab17dd18d9b514110376d0f9a25c09c3ab05b878eeeff742018
