domain,instance,system_id,n_nodes,n_edges,mean_degree,pc_cebh,pc_dimension,pc_junction_anchor,pc,pc_low,pc_high,point_endpoint,bootstrap_endpoint_count,p_step,n_orders,n_bootstrap,mean_curve_p0,mean_curve_p1,exact_endpoint_slope,largest_component_bridges,method_version,input_hash,kind,replicate,n_swaps,degree_sequence_exact,realization_hash,seed
road,Kampala,Kampala,35927,41391,2.3041723494864588,0.574452139397388,0.8679906259814936,0.6442676492938583,0.6,0.5975,0.61,False,0,0.0025,256,1000,2.7834219389317228e-05,0.9301639435522032,0.500737606813817,12548,canonical_v2_exact_endpoint,a3fdf2484e3d4125bab8164f7b70b3bba13444fbc8d8db4d5b040bd21d48250c,degree,3,82782,True,bc4e84dc059439d1e9b08230a25d84bac044320f922adc100de02428dfa05cf2,20286971
road,Karachi,Karachi,52156,78992,3.0290666462152007,0.4466206054300997,0.66026939436905,0.6130062683845439,0.465,0.4625,0.4675,False,0,0.0025,256,1000,1.9173249482322263e-05,0.9963762558478408,0.1033821612086816,5085,canonical_v2_exact_endpoint,345bd7c3f4e02b299a268bf152f0f49a4cfd3c52f69f9f4d5eff1283f4b71a48,degree,0,157984,True,df970fd3669c66b8826c5e79a208b938b4756068dbc5106f42e94a2c16190160,20286885
road,Karachi,Karachi,52156,78992,3.0290666462152007,0.4466206054300997,0.66026939436905,0.6130062683845439,0.4675,0.4625,0.47,False,0,0.0025,256,1000,1.9173249482322263e-05,0.9964721220952524,0.1022892859881892,5062,canonical_v2_exact_endpoint,345bd7c3f4e02b299a268bf152f0f49a4cfd3c52f69f9f4d5eff1283f4b71a48,degree,1,157984,True,bcc117fe8ef7377b33a642c39f3e78a163b159836aed7c33c0832a85e234f2c1,20286906
road,Karachi,Karachi,52156,78992,3.0290666462152007,0.4466206054300997,0.66026939436905,0.6130062683845439,0.465,0.46,0.4675,False,0,0.0025,256,1000,1.9173249482322263e-05,0.9969322800828286,0.1036889332003988,5102,canonical_v2_exact_endpoint,345bd7c3f4e02b299a268bf152f0f49a4cfd3c52f69f9f4d5eff1283f4b71a48,degree,2,157984,True,88655e309a1026a5fb082c5e3c32ce303cced012af01411450dc8fa452143065,20286927
road,Karachi,Karachi,52156,78992,3.0290666462152007,0.4466206054300997,0.66026939436905,0.6130062683845439,0.4625,0.4625,0.4675,False,0,0.0025,256,1000,1.9173249482322263e-05,0.9970856660786872,0.1036889332003988,5113,canonical_v2_exact_endpoint,345bd7c3f4e02b299a268bf152f0f49a4cfd3c52f69f9f4d5eff1283f4b71a48,degree,3,157984,True,9f802c4041cf56a65b9e8761690f3c60ded043c305f80121a3efef0bc208aa35,20286948
road,Kuala Lumpur,Kuala Lumpur,37213,50999,2.74092387069035,0.4969016115517276,0.7296809741367478,0.6335353536428462,0.52,0.5125,0.5225,False,0,0.0025,256,1000,2.687232956224976e-05,0.9881224303334852,0.1944481767124392,6290,canonical_v2_exact_endpoint,49b7553a44a7eb0148643d5a81a8b7ab648c1a4225da6cb8aaab15e1173468b7,degree,0,101998,True,3a28b1ce041bbc34c32f31ca78278ddcc54d0b332e2f8f1bff92f28900e9c8c3,20298669
road,Kuala Lumpur,Kuala Lumpur,37213,50999,2.74092387069035,0.4969016115517276,0.7296809741367478,0.6335353536428462,0.52,0.5175,0.52,False,0,0.0025,256,1000,2.687232956224976e-05,0.9884986429473572,0.1912772418240937,6276,canonical_v2_exact_endpoint,49b7553a44a7eb0148643d5a81a8b7ab648c1a4225da6cb8aaab15e1173468b7,degree,1,101998,True,75905869bc8d03604cf08f786b714b93bd244372843058fbcd9fdef2397115bc,20298695
road,Kuala Lumpur,Kuala Lumpur,37213,50999,2.74092387069035,0.4969016115517276,0.7296809741367478,0.6335353536428462,0.5175,0.515,0.5225,False,0,0.0025,256,1000,2.687232956224976e-05,0.9893854298229116,0.1932926665412624,6315,canonical_v2_exact_endpoint,49b7553a44a7eb0148643d5a81a8b7ab648c1a4225da6cb8aaab15e1173468b7,degree,2,101998,True,13d0b3dfc05b326d86715b8bb1bf0df51b17a65bebbd39a4769110241c72d908,20298721
road,Kuala Lumpur,Kuala Lumpur,37213,50999,2.74092387069035,0.4969016115517276,0.7296809741367478,0.6335353536428462,0.5175,0.515,0.52,False,0,0.0025,256,1000,2.687232956224976e-05,0.9894123021524736,0.1943406873941902,6327,canonical_v2_exact_endpoint,49b7553a44a7eb0148643d5a81a8b7ab648c1a4225da6cb8aaab15e1173468b7,degree,3,101998,True,e81ecc48151a423e2625c15334722ebf4483c78bdf8fe5a1e56000f8a882b950,20298747
road,Lagos,Lagos,13226,17952,2.7146529562982007,0.4953369019369792,0.7367424242424242,0.6306685916449754,0.52,0.5175,0.5275,False,0,0.0025,256,1000,7.560864962951764e-05,0.9862392257674276,0.2294722516255859,2594,canonical_v2_exact_endpoint,c2a9d25f86f9b3ca4fd33a84ae643503972c6868a893966ba48b9e5af72f2436,degree,0,35904,True,695810d79b115b83a0588c53bad6cbca09b59248963b619459b5f01ab2b4d979,20283117
