city,country,macro_region,n_edges_simple,mean_degree,chi_poly,chi_long,chi_short,edge_len_p90_m,edge_len_median_m,cross_pairs_with_tagged_edge_share,canonical_pc,canonical_cebh,road_gap_fine,log_edges,log_gdp,chi_annotation_supported
Johannesburg,South Africa,Africa,32632,2.9250627465041235,0.0218190733022799,0.0198884530522186,0.0019306202500612,269.7875525477764,81.245987598194,1.0,0.67,0.454250595097234,0.215749404902766,10.393048680997394,8.650932742445304,0.0218190733022799
Kampala,Uganda,Africa,41391,2.3041723494864588,0.0021743857360295,0.0021260660530066,4.831968302287937e-05,193.04686490294023,76.93319445833946,0.9222222222222224,0.8225,0.574452139397388,0.2480478606026119,10.630818744876144,6.893747775741977,0.0020052668454494
Delhi,India,Asia,85866,2.8958888401740244,0.0116576992057391,0.0116111149931288,4.6584212610346354e-05,142.66184706694798,43.80382986349088,0.999000999000999,0.6975,0.4689645379225219,0.2285354620774781,11.360543220538933,7.7819523715281615,0.0116460531525865
Lisbon,Portugal,Europe,36745,2.7538784381323542,0.0289018914137977,0.0273506599537352,0.0015512314600625,175.8419958145843,51.47045192353683,1.0,0.715,0.4955161486076462,0.2194838513923537,10.511757440962972,10.027799415146076,0.0289018914137977
Los Angeles,United States,North America,34611,3.106912028725314,0.0455924417092831,0.0392938661119297,0.0062985755973534,283.465779300242,110.1529743032022,1.0,0.6025,0.4249303262083952,0.1775696737916048,10.4519268295954,11.102792037320048,0.0455924417092831
Kuala Lumpur,Malaysia,Asia,50999,2.74092387069035,0.0641777289750779,0.062197297986235,0.0019804309888429,224.64125486118053,65.37441259106865,1.0,0.6975,0.4969016115517276,0.2005983884482724,10.83956130367109,9.382930673106989,0.0641777289750779
Istanbul,Turkey,Middle East,72909,2.995316544102543,0.0222057633488321,0.0213965354071513,0.0008092279416807,141.83999349537893,49.747337868988296,1.0,0.675,0.4613033850047454,0.2136966149952546,11.19696736716671,9.64179987195094,0.0222057633488321
Bengaluru,India,Asia,136603,2.695482305119528,0.0045167382853963,0.0044947768350621,2.196145033418007e-05,123.88173101491456,41.96651615336926,0.9983792544570502,0.685,0.487624045120297,0.197375954879703,11.824834187810318,7.7819523715281615,0.0045094178019515
Miami,United States,North America,28736,3.1959072457320805,0.0224109131403118,0.0216453229398663,0.0007655902004454,204.7113595219723,87.67479629685813,1.0,0.6175,0.4188310741874362,0.1986689258125638,10.265905971101926,11.102792037320048,0.0224109131403118
Jakarta,Indonesia,Asia,65445,2.609137662958976,0.0212239284895713,0.0211475284590113,7.640003056001223e-05,172.77933415909035,52.85436370247995,1.0,0.705,0.512325721577254,0.1926742784227459,11.08896537422582,8.382029076044914,0.0212239284895713
Manila,Philippines,Asia,36895,2.934929599872723,0.033148123051904,0.0320097574197045,0.0011383656321994,205.86307314786404,68.51751008822117,1.0,0.6575,0.4492979529208324,0.2082020470791675,10.515831319492468,8.275199301014526,0.033148123051904
Melbourne,Australia,Oceania,51621,2.9453954125299555,0.0123786830940896,0.0122818232889715,9.685980511807212e-05,203.54456191283592,59.86395553318789,1.0,0.705,0.4686087256486138,0.2363912743513861,10.851683845421269,11.026478107003092,0.0123786830940896
Montevideo,Uruguay,Latin America,22450,3.2628442700385145,0.0025389755011135,0.0024944320712694,4.4543429844098e-05,179.15218619610184,99.3948648409359,1.0,0.58,0.4069683126676818,0.1730316873323181,10.0190458931704,9.85001310903206,0.0025389755011135
London,United Kingdom,Europe,62602,2.589373978863773,0.0060061978850515,0.0057506149963259,0.0002555828887255,179.312338126757,63.11405084358785,1.0,0.775,0.5199847165924646,0.2550152834075354,11.044552505459624,10.778141595120394,0.0060061978850515
Karachi,Pakistan,Asia,78992,3.0290666462152007,0.0054689082438727,0.0053802916751063,8.861656876645736e-05,144.4475513475277,46.847990687948624,1.0,0.675,0.4466206054300997,0.2283793945699003,11.277101860498645,7.399133432172423,0.0054689082438727
Milan,Italy,Europe,38172,2.9665436176413444,0.0280572147123546,0.0267473540815257,0.0013098606308288,212.1967588620664,57.25402290067373,1.0,0.6575,0.4648772408417771,0.1926227591582228,10.549857541537143,10.44857704515195,0.0280572147123546
Panama City,Panama,Latin America,12302,2.661330448891293,0.0229231019346447,0.0195903105186148,0.0033327914160299,230.6739819401584,73.20511610409835,1.0,0.715,0.4936399020906064,0.2213600979093936,9.417517129768314,9.748161553866934,0.0229231019346447
Mumbai,India,Asia,24999,2.7366174055829227,0.0306012240489619,0.0300412016480659,0.000560022400896,199.6403627417316,59.67119354452514,1.0,0.7175,0.4825037154272258,0.2349962845727742,10.126591103050316,7.7819523715281615,0.0306012240489619
Montreal,Canada,North America,32065,3.157091517747256,0.0338063308903789,0.0310930921565569,0.0027132387338219,278.5574938618178,87.21048525631169,1.0,0.625,0.4231662575553621,0.2018337424446379,10.375520371582963,10.70129646832037,0.0338063308903789
Cairo,Egypt,Africa,163341,2.762988962659111,0.013395289608855,0.0132667242149858,0.0001285653938692,115.61017712036728,32.799325760491406,1.0,0.6975,0.4905812814983452,0.2069187185016548,12.00359531909262,8.327873434400853,0.013395289608855
Nairobi,Kenya,Africa,28157,2.452700348432056,0.0101928472493518,0.0096601200411975,0.0005327272081542,226.70077985359825,70.05006040637475,1.0,0.78,0.5433092136999518,0.2366907863000482,10.24555127050591,7.528344062587437,0.0101928472493518
Lima,Peru,Latin America,75796,3.068042906294272,0.0063327880099213,0.0059765686843632,0.000356219325558,157.85477476914156,58.6951055003579,0.9979166666666668,0.645,0.4428345242198864,0.2021654757801136,11.235800799789503,8.811532162380013,0.0063195947015672
Prague,Czechia,Europe,27325,2.7619143882346995,0.0200914913083257,0.0180786825251601,0.0020128087831655,230.2337310443702,80.35392906383169,1.0,0.7025,0.4768012005095185,0.2256987994904815,10.21555731304474,9.925514803038189,0.0200914913083257
Rio de Janeiro,Brazil,Latin America,20774,2.786773090079817,0.0328776355059208,0.0317704823336863,0.0011071531722345,220.15959075366,76.84142231074019,1.0,0.7075,0.479348377866999,0.228151622133001,9.941457483787756,9.166048205689751,0.0328776355059208
Quito,Ecuador,Latin America,35253,2.696832925336597,0.0097864011573483,0.0087084787110316,0.0010779224463166,183.51163956720487,66.73166866153291,1.0,0.71,0.4811776588774842,0.2288223411225157,10.47030591100205,8.699413728218833,0.0097864011573483
Mexico City,Mexico,Latin America,90635,3.0717481190266387,0.0228498924256633,0.0218127654879461,0.0010371269377172,174.93302308745427,61.82675990195873,1.0,0.615,0.4265999557561695,0.1884000442438305,11.41459573089702,9.241496072304914,0.0228498924256633
San Francisco,United States,North America,18546,3.224830464267084,0.0368273482152485,0.0347783888709155,0.002048959344333,207.8084406238101,94.29124313054616,1.0,0.605,0.4019767215033488,0.2030232784966512,9.82800941136017,11.102792037320048,0.0368273482152485
Hyderabad,India,Asia,132094,2.683174048608078,0.0031871243205596,0.0031871243205596,0.0,110.97621859195078,43.94944448245067,1.0,0.7325,0.4881558622014944,0.2443441377985056,11.791269069342633,7.7819523715281615,0.0031871243205596
New York City,United States,North America,34130,3.394499975135512,0.0537064166422502,0.0504541459126867,0.0032522707295634,237.4347395186061,83.79768968539719,1.0,0.585,0.3876426827190641,0.1973573172809358,10.437932041900751,11.102792037320048,0.0537064166422502
Rome,Italy,Europe,37062,2.868242851062184,0.0242296692029572,0.0220441422481247,0.0021855269548324,208.9819972420475,69.3379657572666,1.0,0.6875,0.4705329710788918,0.2169670289211082,10.520347464923956,10.44857704515195,0.0242296692029572
Paris,France,Europe,55181,2.987116331943918,0.0377122560301553,0.0357006940794838,0.0020115619506714,209.8638147754504,74.8695002632719,1.0,0.6475,0.453974052043998,0.1935259479560019,10.91837397011522,10.588688126006776,0.0377122560301553
Seattle,United States,North America,26501,3.0166192373363687,0.0292064450398098,0.0276970680351684,0.0015093770046413,201.98603674736285,86.07894195908841,1.0,0.6525,0.4417716876708675,0.2107283123291324,10.184937747111393,11.102792037320048,0.0292064450398098
Taipei,Taiwan,Asia,24900,3.0388088845496704,0.0916465863453815,0.0873895582329317,0.0042570281124497,273.0995834472781,77.37026075581636,1.0,0.59,0.431684610183596,0.1583153898164039,10.1226230824528,,0.0916465863453815
Singapore,Singapore,Asia,19430,2.88321709452441,0.0524961399897066,0.0512094698919197,0.0012866700977869,283.6574004749798,63.29526732273432,0.9990196078431371,0.675,0.4668204315025708,0.2081795684974292,9.874573542371486,11.122942393466182,0.0524446731857951
Sydney,Australia,Oceania,31013,2.792077425163178,0.0477541676071324,0.0464966304452971,0.0012575371618353,234.80017288427777,82.93563269199863,1.0,0.6950000000000001,0.487296324811841,0.207703675188159,10.342161750401328,11.026478107003092,0.0477541676071324
Tel Aviv,Israel,Middle East,30263,2.85432680971469,0.0139774642302481,0.0135478967716353,0.0004295674586128,198.62154454432272,59.26881216398616,1.0,0.6725,0.4704556407107436,0.2020443592892564,10.317681123208132,10.6417315628365,0.0139774642302481
Riyadh,Saudi Arabia,Middle East,79423,3.048165489714461,0.0137491658587562,0.0135351220679148,0.0002140437908414,168.3221598242537,66.49753607203293,1.0,0.6625,0.4665628855078422,0.1959371144921577,11.282543277832316,10.12516331573258,0.0137491658587562
Toronto,Canada,North America,18430,2.962308125050229,0.0204557786218122,0.0192078133478024,0.0012479652740097,266.10426483190093,101.6878590554506,1.0,0.66,0.4503249767873723,0.2096750232126277,9.821735050663868,10.70129646832037,0.0204557786218122
Vancouver,Canada,North America,22751,3.058752352783006,0.0147685816008087,0.0138455452507582,0.0009230363500505,235.0007062664197,101.65996020414116,1.0,0.61,0.4277066531310511,0.1822933468689488,10.032364379457016,10.70129646832037,0.0147685816008087
Warsaw,Poland,Europe,24341,2.76885451029462,0.030565712172877,0.0287580625282445,0.0018076496446325,287.2380071913878,83.84547299861288,1.0,0.6825,0.4800796812749004,0.2024203187250995,10.099917450331914,9.798155006438732,0.030565712172877
Vienna,Austria,Europe,26142,2.9657949968801405,0.0224925407390406,0.0221482671563002,0.0003442735827404,243.5536857142834,89.09693902034925,1.0,0.6475,0.4456985030858935,0.2018014969141064,10.171298495345496,10.735501166081626,0.0224925407390406
Sao Paulo,Brazil,Latin America,77333,3.0155783891282733,0.0169914525493644,0.0164224845796749,0.0005689679696895,177.77669407617165,72.38450992223378,1.0,0.65,0.4525467568643056,0.1974532431356944,11.25587605162622,9.166048205689751,0.0169914525493644
Seoul,South Korea,Asia,76060,2.9877833208940565,0.0261767026032079,0.0257033920589008,0.0004733105443071,143.71839406204333,54.19822910339461,1.0,0.6725,0.4516653899369949,0.2208346100630051,11.23927778148225,10.519981157491612,0.0261767026032079
Santiago,Chile,Latin America,88302,2.90859382720116,0.0124006251274036,0.0120269076578106,0.0003737174695929,147.53393033171727,53.66848272338785,1.0,0.6425,0.4543405779204741,0.1881594220795258,11.388518036392169,9.587364859800584,0.0124006251274036
Osaka,Japan,Asia,138690,3.0,0.0250054077438892,0.0249044631912899,0.0001009445525993,115.38392286686764,48.40346359223584,0.9939446366782008,0.62,0.4467357272621854,0.1732642727378145,11.83999650565038,10.522788054504089,0.0248539909149902
Tunis,Tunisia,Africa,67495,2.8892789109822137,0.0075709311800874,0.0074968516186384,7.407956144899622e-05,139.75795603827802,49.33956151392805,1.0,0.7000000000000001,0.4801932298410621,0.2198067701589379,11.119808800042929,8.2955999084834,0.0075709311800874
Tehran,Iran,Middle East,108037,2.5238751576881744,0.0163092273943186,0.0157908864555661,0.0005183409387524,149.93290723193883,45.2897130449504,0.9886492622020432,0.7075,0.5095652255940534,0.1979347744059466,11.590229040027507,8.671534076478812,0.0161241056304784
Tokyo,Japan,Asia,98086,3.158308244650878,0.0357543380298921,0.0354178985787982,0.0003364394510939,129.75658167577996,59.30480056742168,1.0,0.635,0.4276266169078313,0.2073733830921686,11.493599923850338,10.522788054504089,0.0357543380298921
