graph,seed,stage_index,target_increment,chi_chord,chi_added,accepted_swaps,attempts,target_reached,pc,pc_low,pc_high,pc_shift,mean_length_ratio,median_length_ratio,p90_length_ratio,ks_length_statistic,wasserstein_length_normalized,n_nodes,n_edges,edge_count_preserved,no_new_parallel_edges,nodewise_degree_nx_preserved,nodewise_degree_bincount_preserved,length_bin_histogram_preserved,selfloops,zero_selfloops,positions_unchanged,connected_components,largest_component_fraction,graph_sha256,invariants_pass,n_orders,n_bootstrap,p_step,method_version
tehran_iran,311,2,0.05,0.0894878606403361,0.0521580569619667,2059,320559,True,0.7125,0.6975,0.715,0.005,1.0267276130687082,1.0,1.0058476189807508,0.0081638697853513,0.0425023264495822,85612,108037,True,True,True,True,True,0,True,True,31,0.9991823576134188,a2c56f3d42a3c2fd6ac7612057c87f65fcb77892ab58eb40dafee8f4bba5a864,True,512,1000,0.0025,canonical_v2_exact_endpoint
tehran_iran,311,3,0.1,0.14287697733184,0.1055471736534705,5817,1000000,True,0.6975,0.6925,0.7000000000000001,-0.01,1.053047973195803,1.0,1.0120165640905523,0.0163925321880467,0.085632328231264,85612,108037,True,True,True,True,True,0,True,True,66,0.9981077419053404,b389e7484bd55b229aa634b40c84698470406ee5d30023481b3c0ceebc16e4eb,True,512,1000,0.0025,canonical_v2_exact_endpoint
tehran_iran,322,0,0.0,0.0373298036783694,0.0,0,0,True,0.7025,0.6975,0.7125,0.0,1.0,1.0,1.0,0.0,0.0,85612,108037,True,True,True,True,True,0,True,True,1,1.0,aade61c16f52640e8fe72184ac08ff6e1230f57f6c2b62218fe0711186df012a,True,512,1000,0.0025,canonical_v2_exact_endpoint
tehran_iran,322,1,0.02,0.0577117098771717,0.0203819061988022,686,127721,True,0.705,0.6975,0.7125,0.0024999999999999,1.0105846448441662,1.0,1.0019111367977749,0.0032951673963549,0.0167503372012755,85612,108037,True,True,True,True,True,0,True,True,8,0.9998364715226836,042dad61993d351847e1d8130fb073a97c3b3587a841cf9a8384a6e92d863130,True,512,1000,0.0025,canonical_v2_exact_endpoint
tehran_iran,322,2,0.05,0.0895341410812962,0.0522043374029267,2038,315103,True,0.6975,0.6950000000000001,0.7025,-0.005,1.0266896554412843,1.0,1.006584301474991,0.0080805649916232,0.0424912285044334,85612,108037,True,True,True,True,True,0,True,True,26,0.99936924730178,d856cededc835878a2e5032488a9a5dd1fef13fd5753c38b6a02ede1e611b16d,True,512,1000,0.0025,canonical_v2_exact_endpoint
tehran_iran,322,3,0.1,0.1405722113720299,0.1032424076936605,5713,1000000,True,0.6950000000000001,0.6900000000000001,0.705,-0.0074999999999999,1.0540472730860022,1.0,1.01390896931444,0.0158834473374862,0.0855647791326683,85612,108037,True,True,True,True,True,0,True,True,80,0.9973017801242816,096f375b06614caf13c4ef127d1c3c02eb162c49c12a352982d61bea2aa2e3aa,True,512,1000,0.0025,canonical_v2_exact_endpoint
tehran_iran,333,0,0.0,0.0373298036783694,0.0,0,0,True,0.705,0.6975,0.715,0.0,1.0,1.0,1.0,0.0,0.0,85612,108037,True,True,True,True,True,0,True,True,1,1.0,aade61c16f52640e8fe72184ac08ff6e1230f57f6c2b62218fe0711186df012a,True,512,1000,0.0025,canonical_v2_exact_endpoint
tehran_iran,333,1,0.02,0.0577209659653637,0.0203911622869942,675,137525,True,0.705,0.7000000000000001,0.7075625,0.0,1.0109522713453647,1.0,1.0018398768991124,0.0032488869553949,0.0177474955304824,85612,108037,True,True,True,True,True,0,True,True,14,0.9992407606410316,e61a017abd259900ac9d260b856c9269d7a1cec603e2c20f7e8c01c3bd88cc31,True,512,1000,0.0025,canonical_v2_exact_endpoint
tehran_iran,333,2,0.05,0.089349019317456,0.0520192156390866,1976,303370,True,0.705,0.6900000000000001,0.7125,0.0,1.0272327184751475,1.0,1.006141605885909,0.0081268454325833,0.0431020228682222,85612,108037,True,True,True,True,True,0,True,True,31,0.9986800915759472,e1c647a2cb6f8f0549d7f458bb9ab67a58e22291f1a4532e7dcea48ee59ec853,True,512,1000,0.0025,canonical_v2_exact_endpoint
tehran_iran,333,3,0.1,0.1422475633347834,0.104917759656414,5620,1000000,True,0.7025,0.6900000000000001,0.7075,-0.0024999999999999,1.05445825579288,1.0,1.0120975298640595,0.0160037764839823,0.0869530823623975,85612,108037,True,True,True,True,True,0,True,True,72,0.9978157267672756,97131d52a760bab17dd18d9b514110376d0f9a25c09c3ab05b878eeeff742018,True,512,1000,0.0025,canonical_v2_exact_endpoint
