graph,seed,chi_chord,chi_added,accepted_swaps,pc,pc_ci_lo,pc_ci_hi,mean_degree
delaunay20k,11,0.0,0.0,0,0.33,0.325,0.335,5.997
delaunay20k,11,0.022294480573620143,0.022294480573620143,297,0.325,0.325,0.335,5.997
delaunay20k,11,0.05245956311489078,0.05245956311489078,717,0.325,0.325,0.33,5.997
delaunay20k,11,0.10523595130898783,0.10523595130898783,1442,0.325,0.325,0.33,5.997
delaunay20k,11,0.21023845255961315,0.21023845255961315,2958,0.325,0.319875,0.325,5.997
delaunay20k,22,0.0,0.0,0,0.335,0.335,0.335,5.997
delaunay20k,22,0.02209438052359513,0.02209438052359513,302,0.33,0.325,0.34,5.997
delaunay20k,22,0.0528264132066033,0.0528264132066033,728,0.33,0.325,0.34,5.997
delaunay20k,22,0.10498582624645657,0.10498582624645657,1462,0.325,0.325,0.33,5.997
delaunay20k,22,0.21043855260963815,0.21043855260963815,3021,0.32,0.32,0.325,5.997
