target,model_group,macro_region,n_region,leave_region_out_r2_region,leave_region_out_mae_region,leave_region_out_spearman_r_region
road_gap,M3_embedded_form,Oceania,4,-3.2692774989719924,0.016419091644059837,-0.19999999999999998
road_gap,M4_embedded_form_public_controls,Africa,12,0.3334440426882501,0.01526052828596919,0.7062937062937064
road_gap,M4_embedded_form_public_controls,Asia,19,0.27862267384407213,0.019701543955789047,0.487719298245614
road_gap,M4_embedded_form_public_controls,Europe,11,0.3694960522590487,0.01603080754206894,0.690909090909091
road_gap,M4_embedded_form_public_controls,Latin America,10,0.41793048224812523,0.010478798349935075,0.6363636363636362
road_gap,M4_embedded_form_public_controls,Middle East,5,-1.3597384639069032,0.016939624130638237,-0.6
road_gap,M4_embedded_form_public_controls,North America,10,-0.7726457676469152,0.009962586053954623,0.5272727272727272
road_gap,M4_embedded_form_public_controls,Oceania,4,-2.535038655551401,0.013512490429116106,-0.19999999999999998
road_minus_spatial,M0_size,Africa,12,-1.135826598440731,0.024697548331806995,-0.03653140182467878
road_minus_spatial,M0_size,Asia,19,0.22287019684571885,0.01707020150888798,0.5254171584401919
road_minus_spatial,M0_size,Europe,11,0.08816861411004806,0.018548618470063918,0.48850421045919723
road_minus_spatial,M0_size,Latin America,10,0.23056683597481908,0.00920903033819807,0.7745360140854262
road_minus_spatial,M0_size,Middle East,5,-1.1718085682834132,0.015193255770203678,0.6668859288553503
road_minus_spatial,M0_size,North America,10,-0.1372028061882351,0.012544479660659252,0.4785984984029348
road_minus_spatial,M0_size,Oceania,4,-1.587146714902791,0.01608520395243823,0.2581988897471611
road_minus_spatial,M1_degree,Africa,12,-0.07882279642949319,0.01605397490935426,0.4383768218961453
road_minus_spatial,M1_degree,Asia,19,0.23761858103498912,0.01807734940234408,0.37130680836596763
road_minus_spatial,M1_degree,Europe,11,0.06461157772816328,0.01901597066729754,0.288450105223526
road_minus_spatial,M1_degree,Latin America,10,0.5334909748746255,0.007832676322554534,0.6443042949029208
road_minus_spatial,M1_degree,Middle East,5,-0.32720824050686814,0.013189585654183888,0.15389675281277312
road_minus_spatial,M1_degree,North America,10,-1.2235532850894306,0.012496006955065968,0.13767902008851546
road_minus_spatial,M1_degree,Oceania,4,-3.243092582193273,0.020310596853051203,-0.7745966692414834
road_minus_spatial,M2_degree_edge_scale,Africa,12,-0.17846029612561787,0.01617072799743698,0.2630260931376872
road_minus_spatial,M2_degree_edge_scale,Asia,19,0.390780549342884,0.014866553184478645,0.5281208487923714
road_minus_spatial,M2_degree_edge_scale,Europe,11,0.2745884465792222,0.01696398456896834,0.4652421051992354
road_minus_spatial,M2_degree_edge_scale,Latin America,10,0.1909979677236503,0.009292254542119798,0.26731773937461606
road_minus_spatial,M2_degree_edge_scale,Middle East,5,-0.9410957776885625,0.01476405895674964,0.4103913408340617
road_minus_spatial,M2_degree_edge_scale,North America,10,-4.258267260122079,0.021320469008097555,0.28191418399076984
road_minus_spatial,M2_degree_edge_scale,Oceania,4,-2.1471002497790463,0.01844680216652856,-0.7745966692414834
road_minus_spatial,M3_embedded_form,Africa,12,-0.09518541806194047,0.016632955063280053,0.2484135324078157
road_minus_spatial,M3_embedded_form,Asia,19,0.4364774253996043,0.014370491091214594,0.6074290991229664
road_minus_spatial,M3_embedded_form,Europe,11,0.3625865403046711,0.01569480831750431,0.6839058946428761
road_minus_spatial,M3_embedded_form,Latin America,10,0.15448774398671672,0.009526952794124788,0.26731773937461606
road_minus_spatial,M3_embedded_form,Middle East,5,0.3698273096456819,0.00794117062652851,0.6668859288553503
road_minus_spatial,M3_embedded_form,North America,10,-1.7837394552457053,0.014638427028182705,0.544159936540323
road_minus_spatial,M3_embedded_form,Oceania,4,-2.261492662124939,0.015646453837018664,-0.7745966692414834
road_minus_spatial,M4_embedded_form_public_controls,Africa,12,-0.05197607443360308,0.016012306195002924,0.28494493423249445
road_minus_spatial,M4_embedded_form_public_controls,Asia,19,0.28480767316346445,0.017777445567108797,0.5830958859533519
road_minus_spatial,M4_embedded_form_public_controls,Europe,11,0.26542496325497955,0.01700670854421921,0.6978631577988532
road_minus_spatial,M4_embedded_form_public_controls,Latin America,10,0.4258617726261146,0.008330239234510498,0.3838408565379102
road_minus_spatial,M4_embedded_form_public_controls,Middle East,5,0.3276720595822121,0.009190795058190291,0.6668859288553503
road_minus_spatial,M4_embedded_form_public_controls,North America,10,-0.8502787321022713,0.011208177992424297,0.4785984984029348
road_minus_spatial,M4_embedded_form_public_controls,Oceania,4,-1.9878685842071366,0.018061528539925743,-0.7745966692414834
