city,country,macro_region,n_nodes,n_edges,mean_degree,kappa,kappa_minus_1,pc_cebh,pc_nb,pc_road_rank,road_gap_cebh,road_minus_nb,nb_minus_cebh,abs_error_cebh,abs_error_nb,nb_improvement_over_cebh,rho_nb,nb_iterations,nb_converged,runtime_seconds,status,ipr_directed,top1_directed_weight_share,top5pct_directed_weight_share,node_nb_entropy,node_nb_ipr,top1_node_weight_share,top5pct_node_weight_share,road_minus_spatial,spatial_null_gap,spatial_fraction_of_road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,null_mobility_index_mean,geometry_vs_spatial_residual_change,dead_end_share,degree4plus_share,cycle_density,orientation_entropy,orientation_dominance,edge_length_cv,bridge_tunnel_length_share,nb_fraction_of_road_gap,nb_improvement_fraction
Dubai,United Arab Emirates,Middle East,15724,22720,2.889849910964131,3.037235915492958,2.037235915492958,0.4908611675236571,0.3531916248640121,0.725,0.2341388324763428,0.3718083751359878,-0.1376695426596449,0.2341388324763428,0.3718083751359878,-0.1376695426596449,2.831324214964117,640,False,1.6415934562683103,pass,0.0032779236289499,0.0072381879333996,0.9985201491287028,0.5115614161726478,0.0111374774178588,0.0227131616679513,0.998321566319762,0.0749999999999999,0.1591388324763429,0.6796772273664694,0.7041666666666666,0.21330549914300945,0.0208333333333333,0.9110214520462416,0.08897854795375865,0.014986795774647801,0.00214085815048905,0.0,0.0040530646136926,-0.0541666666666665,0.0742177562961078,0.0704019333502925,0.4449885525311625,0.970867041371218,0.1158890845070422,1.6527200499130923,0.0582911831322236,1.5879825281590358,-0.5879825281590354
Vancouver,Canada,North America,14876,22751,3.058752352783006,3.3380510746780363,2.3380510746780363,0.4277066531310511,0.3566908471206035,0.625,0.1972933468689489,0.2683091528793964,-0.0710158060104475,0.1972933468689489,0.2683091528793964,-0.0710158060104475,2.803548249338403,503,True,2.159477949142456,pass,0.0015499042019672,0.0029067451403766,0.9856660025459508,0.5859991621650731,0.0055031791454321,0.0106283769982582,0.987036394645112,0.0749999999999999,0.1222933468689489,0.6198554021701587,0.6208333333333333,0.19312668020228219,0.00416666666666665,0.9788808556761199,0.0211191443238801,0.015010329216298149,0.0021266843808484,0.0,0.00899176347083655,-0.07083333333333319,0.1220758268351707,0.3230034955633235,0.5294433987631083,0.7770281589511662,0.2763834556722781,1.0194136913158818,0.02936659327044,1.3599503335387146,-0.3599503335387148
Warsaw,Poland,Europe,17582,24341,2.76885451029462,3.08298755186722,2.08298755186722,0.4800796812749004,0.3999777761203059,0.7,0.2199203187250995,0.300022223879694,-0.0801019051545945,0.2199203187250995,0.300022223879694,-0.0801019051545945,2.5001389069657174,640,False,2.3658435344696045,pass,0.0022581673295812,0.0048417943696373,0.9821563620152848,0.5659445287598072,0.0071857904763039,0.0151680474565905,0.9816419847444732,0.0999999999999999,0.1199203187250995,0.5452898550724641,0.6916666666666665,0.2115869853917662,0.0083333333333333,0.9621074879227063,0.03789251207729455,0.01499527546115605,0.00213436163681755,0.0,0.0056428164350738,-0.09166666666666655,0.1780229780457285,0.1592537822773291,0.3844841314981231,0.994147745364325,0.0713199950700464,1.367183448531113,0.0651453110707835,1.3642314890181744,-0.3642314890181744
Taipei,Taiwan,Asia,16388,24900,3.0388088845496704,3.3165060240963857,2.3165060240963857,0.431684610183596,0.3458890496565069,0.6,0.1683153898164039,0.254110950343493,-0.085795560527089,0.1683153898164039,0.254110950343493,-0.085795560527089,2.8911004872605046,117,True,1.8315880298614504,pass,0.0012961863318731,0.0036746614477034,0.9829188692864644,0.6076322029072632,0.0044105451539119,0.0113030521026546,0.9850566430336992,0.0499999999999999,0.118315389816404,0.7029386317285712,0.6041666666666666,0.17248205648307055,-0.00416666666666665,1.0247551140226199,-0.02475511402261915,0.015,0.0018183474319945,0.0,0.00614224439876055,-0.05416666666666655,0.1211862338296314,0.2842933854039541,0.5194654625335612,0.9774568082808875,0.1136546184738955,1.669868129666379,0.1701398506441239,1.509730932035827,-0.5097309320358264
Mumbai,India,Asia,18270,24999,2.7366174055829227,3.0725229009160366,2.0725229009160366,0.4825037154272258,0.373565043908325,0.725,0.2424962845727741,0.3514349560916749,-0.1089386715189008,0.2424962845727741,0.3514349560916749,-0.1089386715189008,2.676909995479678,428,True,2.009920835494995,pass,0.0027151595814365,0.0051503269846155,0.999673167692544,0.5139835449141529,0.0090535517470361,0.0178576015776925,0.999734931590258,0.0999999999999999,0.1424962845727742,0.587622547800358,0.725,0.2424962845727741,0.0,1.0000000000000002,0.0,0.0150006000240009,0.0021511923429854496,0.0,0.00659900348099365,-0.0999999999999999,0.2019157088122605,0.1571975916803503,0.3683634373289545,0.97875480005294,0.0981639265570622,1.864052904565394,0.0871152458031777,1.4492385180697804,-0.44923851806978043
Accra,Ghana,Africa,19183,25655,2.6747641140593235,2.9877606704346134,1.9877606704346131,0.5030786728370853,0.3763940600682777,0.725,0.2219213271629146,0.3486059399317222,-0.1266846127688075,0.2219213271629146,0.3486059399317222,-0.1266846127688075,2.6567900668214595,640,False,2.6290414333343506,pass,0.0082590915094953,0.0135789803292668,0.9986419246241208,0.4269223427465379,0.0253768943134003,0.0424953869931142,0.9985685317997968,0.0999999999999999,0.1219213271629147,0.5493898613602427,0.7291666666666667,0.22608799382958125,-0.00416666666666665,1.0187754224433236,-0.01877542244332325,0.01500682128240105,0.00178944730241305,0.0,0.00630068068807615,-0.10416666666666655,0.2051816712714382,0.1000364906427566,0.3374341865193139,0.9896426722767344,0.0857142857142857,1.0589216464588824,0.0157690479788559,1.5708537092327641,-0.5708537092327638
Vienna,Austria,Europe,17629,26142,2.9657949968801405,3.243669191339607,2.243669191339607,0.4456985030858935,0.3180432953733044,0.675,0.2293014969141065,0.3569567046266956,-0.1276552077125891,0.2293014969141065,0.3569567046266956,-0.1276552077125891,3.14422600490995,236,True,2.2627854347229004,pass,0.0110648597772585,0.0191784663913892,0.9999888738773872,0.3883212163803051,0.0367801385746969,0.0622230790710159,0.9999811286618414,0.075,0.1543014969141065,0.672919710471432,0.6666666666666666,0.22096816358077315,0.008333333333333318,0.9636577456079369,0.036342254392063185,0.014995027159360401,0.0020454918072503,0.0,0.0056547894691963505,-0.0666666666666666,0.1263826649271087,0.2430654035963469,0.4829542231550287,0.9848721534002748,0.090008415576467,1.2014675759529367,0.0727283989518505,1.5567133639795083,-0.5567133639795083
Seattle,United States,North America,17570,26501,3.0166192373363687,3.2636126938606087,2.2636126938606087,0.4417716876708675,0.3517635201826617,0.65,0.2082283123291325,0.2982364798173382,-0.0900081674882057,0.2082283123291325,0.2982364798173382,-0.0900081674882057,2.842818946890018,154,True,2.425633668899536,pass,0.0010042398783285,0.0018911367830116,0.9942971824534944,0.6096473470755264,0.0036251890817412,0.0070470209225244,0.9960062817553166,0.0999999999999999,0.1082283123291325,0.5197579095683367,0.6583333333333333,0.2165616456624658,-0.0083333333333333,1.0400201742026396,-0.04002017420263865,0.0149994339836232,0.00242348028962615,0.0,0.0078512997697529,-0.1083333333333332,0.1118952760387023,0.2519635742743312,0.5083665338645418,0.8173280469077179,0.1985585449605675,1.1857856542597065,0.043484017982682,1.4322571051045923,-0.4322571051045923
Prague,Czechia,Europe,19787,27325,2.7619143882346995,3.0973101555352245,2.0973101555352245,0.4768012005095185,0.377024381570581,0.7,0.2231987994904814,0.3229756184294189,-0.0997768189389374,0.2231987994904814,0.3229756184294189,-0.0997768189389374,2.652348359632,640,False,2.6838278770446777,pass,0.001675730556493,0.004639734514843,0.9982515066900316,0.5621701288976496,0.0054774972786751,0.0139318710265216,0.998569586310616,0.0749999999999999,0.1481987994904814,0.6639766872796357,0.7083333333333333,0.23153213282381468,-0.0083333333333333,1.0373359236355961,-0.0373359236355961,0.0149862763037511,0.0017662210970209,0.0,0.004867785990484,-0.0833333333333332,0.1856269267701016,0.1698589983322383,0.3810077323495224,0.976113567290705,0.1026166514181152,1.3170676031314463,0.0631435643050285,1.447031163100824,-0.4470311631008235
Nairobi,Kenya,Africa,22960,28157,2.452700348432056,2.84057250417303,1.8405725041730296,0.5433092136999518,0.3848259042796937,0.825,0.2816907863000482,0.4401740957203062,-0.158483309420258,0.2816907863000482,0.4401740957203062,-0.158483309420258,2.598577665585615,457,True,2.550543069839477,pass,0.0031103602618196,0.0060026426904852,0.9999257539215988,0.4914859883042093,0.0100986521982629,0.019419798792017,0.9999577141760154,0.1499999999999999,0.1316907863000482,0.467501220149158,0.7791666666666667,0.23585745296671484,0.0458333333333332,0.8372920394900207,0.1627079605099792,0.015005149696345449,0.0020823402467884,0.0,0.0069918265779787495,-0.10416666666666666,0.293074912891986,0.0580574912891986,0.2263937282229965,0.9965259265559292,0.0665198707248641,1.4505987046573472,0.0346768297081664,1.5626144592867393,-0.5626144592867393
Miami,United States,North America,17983,28736,3.1959072457320805,3.387597438752784,2.387597438752784,0.4188310741874362,0.3498989962593141,0.6,0.1811689258125637,0.2501010037406859,-0.0689320779281221,0.1811689258125637,0.2501010037406859,-0.0689320779281221,2.857967615485495,640,False,2.579495906829834,pass,0.0011852641173841,0.0026286522817554,0.9861144108686564,0.6002591014348219,0.0042822728560831,0.0087295676867824,0.988533341644205,0.0749999999999999,0.1061689258125638,0.5860217216411912,0.6208333333333333,0.20200225914589706,-0.0208333333333333,1.1149939662107808,-0.11499396621078051,0.0149986080178173,0.00291006787533345,0.0,0.00854970009618995,-0.09583333333333319,0.0639492854362453,0.3362064171717733,0.5980092309403325,0.6807626347465565,0.3444807906458797,1.0847468596738636,0.040689258208027,1.3804851059250576,-0.3804851059250571
Barcelona,Spain,Europe,18674,28820,3.0866445325050877,3.278868841082581,2.278868841082581,0.438814196750765,0.3557023546199905,0.625,0.186185803249235,0.2692976453800094,-0.0831118421307744,0.186185803249235,0.2692976453800094,-0.0831118421307744,2.811339275693959,189,True,2.0128090381622314,pass,0.0008602115312498,0.003157466032578,0.9699019164183648,0.6403102149950369,0.0029871638193822,0.0096377160880807,0.9759569122869683,0.0749999999999999,0.111185803249235,0.5971765908510103,0.6291666666666667,0.19035246991590166,-0.00416666666666665,1.0223790782860558,-0.02237907828605505,0.014989590562109599,0.00196414553322675,0.0,0.00558459529283615,-0.07916666666666655,0.0738459890757202,0.2494912712862804,0.5433758166434615,0.9714571285220454,0.113324080499653,1.2744134996658587,0.0962660859226608,1.446391941170283,-0.44639194117028297
Algiers,Algeria,Africa,21703,28885,2.661843984702576,2.97400034620045,1.9740003462004496,0.5065855241235377,0.401298830944115,0.75,0.2434144758764622,0.348701169055885,-0.1052866931794227,0.2434144758764622,0.348701169055885,-0.1052866931794227,2.491908580065762,640,False,2.9349703788757324,pass,0.009552830991791,0.0141228312865061,0.9999627134751482,0.3776910355068312,0.0299234838788689,0.0448488665051974,0.999965842109078,0.0999999999999999,0.1434144758764622,0.5891780895941786,0.75,0.2434144758764621,0.0,1.0000000000000002,0.0,0.015007789510126348,0.00195852042553035,0.0,0.0038400954368886,-0.0999999999999999,0.2046260885591853,0.0925217711837073,0.3309680689305626,0.9980402029910046,0.0682707287519473,1.2633269258819098,0.0320235404084878,1.4325408043228207,-0.4325408043228203
Dar es Salaam,Tanzania,Africa,22312,29826,2.6735389028325565,2.970059679474284,1.970059679474284,0.5075988359230076,0.3761809583614119,0.775,0.2674011640769924,0.398819041638588,-0.1314178775615956,0.2674011640769924,0.398819041638588,-0.1314178775615956,2.65829510445146,355,True,2.8160974979400635,pass,0.0010172142328027,0.0024290484226833,0.9982175151111612,0.592197450430006,0.0034541404949955,0.0082539765178264,0.9987552610582704,0.15,0.1174011640769924,0.4390450747745783,0.7625,0.25490116407699237,0.01249999999999995,0.953253756231215,0.0467462437687851,0.01500368805739955,0.0019422739999234002,0.0,0.0053163160379161,-0.13749999999999996,0.1989960559340265,0.0863212621011115,0.3368142703477949,0.9973032911934006,0.0730235365117682,1.080956128918812,0.0147894481000133,1.4914633712056566,-0.4914633712056566
