city,country,macro_region,n_nodes,n_edges,rho_nb,pc_nb,road_minus_nb,ipr_directed,top1_directed_weight_share,top5pct_directed_weight_share,node_nb_entropy,node_nb_ipr,top1_node_weight_share,top5pct_node_weight_share,dead_end_share,cycle_density,degree4plus_share,orientation_entropy
Vancouver,Canada,North America,14876,22751,2.803548249338403,0.3566908471206035,0.2683091528793964,0.0015499042019672,0.0029067451403766,0.9856660025459508,0.5859991621650731,0.0055031791454321,0.0106283769982582,0.987036394645112,0.1220758268351707,0.5294433987631083,0.3230034955633235,0.7770281589511662
Warsaw,Poland,Europe,17582,24341,2.5001389069657174,0.3999777761203059,0.300022223879694,0.0022581673295812,0.0048417943696373,0.9821563620152848,0.5659445287598072,0.0071857904763039,0.0151680474565905,0.9816419847444732,0.1780229780457285,0.3844841314981231,0.1592537822773291,0.994147745364325
Taipei,Taiwan,Asia,16388,24900,2.8911004872605046,0.3458890496565069,0.254110950343493,0.0012961863318731,0.0036746614477034,0.9829188692864644,0.6076322029072632,0.0044105451539119,0.0113030521026546,0.9850566430336992,0.1211862338296314,0.5194654625335612,0.2842933854039541,0.9774568082808875
Mumbai,India,Asia,18270,24999,2.676909995479678,0.373565043908325,0.3514349560916749,0.0027151595814365,0.0051503269846155,0.999673167692544,0.5139835449141529,0.0090535517470361,0.0178576015776925,0.999734931590258,0.2019157088122605,0.3683634373289545,0.1571975916803503,0.97875480005294
Accra,Ghana,Africa,19183,25655,2.6567900668214595,0.3763940600682777,0.3486059399317222,0.0082590915094953,0.0135789803292668,0.9986419246241208,0.4269223427465379,0.0253768943134003,0.0424953869931142,0.9985685317997968,0.2051816712714382,0.3374341865193139,0.1000364906427566,0.9896426722767344
Vienna,Austria,Europe,17629,26142,3.14422600490995,0.3180432953733044,0.3569567046266956,0.0110648597772585,0.0191784663913892,0.9999888738773872,0.3883212163803051,0.0367801385746969,0.0622230790710159,0.9999811286618414,0.1263826649271087,0.4829542231550287,0.2430654035963469,0.9848721534002748
Seattle,United States,North America,17570,26501,2.842818946890018,0.3517635201826617,0.2982364798173382,0.0010042398783285,0.0018911367830116,0.9942971824534944,0.6096473470755264,0.0036251890817412,0.0070470209225244,0.9960062817553166,0.1118952760387023,0.5083665338645418,0.2519635742743312,0.8173280469077179
Prague,Czechia,Europe,19787,27325,2.652348359632,0.377024381570581,0.3229756184294189,0.001675730556493,0.004639734514843,0.9982515066900316,0.5621701288976496,0.0054774972786751,0.0139318710265216,0.998569586310616,0.1856269267701016,0.3810077323495224,0.1698589983322383,0.976113567290705
Nairobi,Kenya,Africa,22960,28157,2.598577665585615,0.3848259042796937,0.4401740957203062,0.0031103602618196,0.0060026426904852,0.9999257539215988,0.4914859883042093,0.0100986521982629,0.019419798792017,0.9999577141760154,0.293074912891986,0.2263937282229965,0.0580574912891986,0.9965259265559292
Miami,United States,North America,17983,28736,2.857967615485495,0.3498989962593141,0.2501010037406859,0.0011852641173841,0.0026286522817554,0.9861144108686564,0.6002591014348219,0.0042822728560831,0.0087295676867824,0.988533341644205,0.0639492854362453,0.5980092309403325,0.3362064171717733,0.6807626347465565
Barcelona,Spain,Europe,18674,28820,2.811339275693959,0.3557023546199905,0.2692976453800094,0.0008602115312498,0.003157466032578,0.9699019164183648,0.6403102149950369,0.0029871638193822,0.0096377160880807,0.9759569122869683,0.0738459890757202,0.5433758166434615,0.2494912712862804,0.9714571285220454
Algiers,Algeria,Africa,21703,28885,2.491908580065762,0.401298830944115,0.348701169055885,0.009552830991791,0.0141228312865061,0.9999627134751482,0.3776910355068312,0.0299234838788689,0.0448488665051974,0.999965842109078,0.2046260885591853,0.3309680689305626,0.0925217711837073,0.9980402029910046
Dar es Salaam,Tanzania,Africa,22312,29826,2.65829510445146,0.3761809583614119,0.398819041638588,0.0010172142328027,0.0024290484226833,0.9982175151111612,0.592197450430006,0.0034541404949955,0.0082539765178264,0.9987552610582704,0.1989960559340265,0.3368142703477949,0.0863212621011115,0.9973032911934006
Tel Aviv,Israel,Middle East,21205,30263,2.5084255552174763,0.3986564392632739,0.2763435607367261,0.0009194011841171,0.0033090299737722,0.9786607079766813,0.6367114490400992,0.0028313086149634,0.0093627338079635,0.9808275812697088,0.1442584296156566,0.4272105635463334,0.1676962980429144,0.9718194188487436
Sydney,Australia,Oceania,22215,31013,2.675983654560083,0.3736943603134207,0.3263056396865793,0.008314243493184,0.0158505652690311,0.999574125129435,0.4209098480330469,0.0259565089999729,0.0473700085125335,0.9995328163791672,0.151114112086428,0.3960837272113436,0.1199639882961962,0.982375162743006
Montreal,Canada,North America,20313,32065,2.8143336763844813,0.3553238936772701,0.2696761063227299,0.0006588488410732,0.0015516049354138,0.970568068918542,0.650068844062714,0.0023708991497437,0.0057150031659281,0.9761574813057068,0.0638999655393098,0.5785949884310541,0.3387978142076502,0.9035635047143024
Johannesburg,South Africa,Africa,22312,32632,2.780964691839707,0.3595874492525342,0.2904125507474658,0.0010452334797249,0.0022031951008158,0.9942311218452636,0.596342005258215,0.0037158485828339,0.0080054587197144,0.9958228983211276,0.1390731444962352,0.4625761921835783,0.2273664395840803,0.9805910999329076
Amsterdam,Netherlands,Europe,23201,32887,2.8422127955069856,0.3518385398802002,0.3481614601197997,0.0051827581880162,0.0140405064829382,0.9987528287332614,0.4727113977389722,0.0161399673498687,0.0426224415130521,0.998599146408314,0.1549933192534804,0.4175251066764364,0.1897763027455713,0.9888378756553252
New York City,United States,North America,20109,34130,2.933910324703177,0.3408420467320077,0.2341579532679922,0.000605742806358,0.0010308385048875,0.9787348982129632,0.643154963399328,0.002326107181382,0.0039774678049129,0.9805318007586304,0.05524889353026,0.6972997165448307,0.510666865582575,0.9430064529272923
Los Angeles,United States,North America,22280,34611,2.837330665419812,0.3524439404217414,0.2475560595782586,0.0009642933347407,0.0019290300304615,0.9908481321803162,0.602245887410953,0.0034914386493218,0.0068502097524036,0.993253848326742,0.100359066427289,0.5535008976660682,0.3221723518850987,0.9004749494963771
Brisbane,Australia,Oceania,25339,35174,2.6464922624075977,0.3778586524527634,0.3221413475472365,0.0095414867672075,0.0187695353762671,0.9996597520304448,0.3860300841038353,0.0291385823867564,0.0525405954005732,0.9996170874823532,0.1551363510793638,0.3881763289790441,0.1108567820355973,0.9376190366949906
Quito,Ecuador,Latin America,26144,35253,2.7258863191742493,0.3668531563351949,0.358146843664805,0.0011716177265934,0.0021942416557411,0.9972459663865096,0.5743026574066659,0.004063593082868,0.0076328440607702,0.9985059492534272,0.2329023867809057,0.3484547123623011,0.1708613831089351,0.9830531937092308
Boston,United States,North America,24819,35843,2.6652180646659605,0.3752038203768264,0.2997961796231736,0.0023156338012793,0.0046642857678165,0.9935542877683712,0.5327877716372594,0.007609033239736,0.0162653338119865,0.993891188313914,0.1391272815181917,0.4442161247431403,0.1836496232724928,0.9941706946809956
Lisbon,Portugal,Europe,26686,36745,2.694001859720604,0.3711949924576928,0.3788050075423072,0.0018959242422991,0.0041071223824777,0.9988752749178116,0.5381827982494929,0.0063808589115266,0.0141751249380685,0.9992275802163144,0.1549126883009818,0.3769766918983737,0.1047740388218541,0.9973324314912948
Manila,Philippines,Asia,25142,36895,2.779767673824065,0.3597422940832757,0.2902577059167243,0.0010038004561056,0.0023840865347376,0.9767967199840792,0.613418943273131,0.0035428898918726,0.0086136152676436,0.982344505793185,0.1446185665420412,0.4675045740195688,0.2409911701535279,0.9910014927541004
Rome,Italy,Europe,25843,37062,2.729180744466015,0.3664103236942841,0.3085896763057159,0.002037430520739,0.0050847628748492,0.9996023375367674,0.5294653265597439,0.0069759221433739,0.0173952475926087,0.9996894915029946,0.1347753743760399,0.4341601207290175,0.160662461788492,0.9980432202521198
Buenos Aires,Argentina,Latin America,21642,37472,3.005919713480719,0.3326768827242046,0.2423231172757953,0.0012558866462848,0.0036647256117165,0.9889089890898256,0.589855315599676,0.0046289909107141,0.0130024794390124,0.989534980020383,0.0423251085851584,0.7314943166065982,0.5494871084003327,0.9162399053266254
Milan,Italy,Europe,25735,38172,2.712048793485441,0.3687249294341902,0.2812750705658098,0.0116428612771183,0.0233973594225826,0.9990222774709444,0.410856289023371,0.0333937482578407,0.0709530394311688,0.9990823441703696,0.083582669516223,0.4833106664076161,0.1587721002525743,0.9919273750097586
Hanoi,Vietnam,Asia,29320,39886,2.913356648755572,0.3432466809125981,0.4067533190874018,0.0192454389688128,0.021388846041122,0.9998557124898768,0.2634491387997515,0.0730636090618292,0.0821673271368328,0.9998691434178648,0.198738062755798,0.3604024556616644,0.1343792633015006,0.9975283363537362
Kampala,Uganda,Africa,35927,41391,2.469321743932254,0.4049695032481094,0.4200304967518906,0.0042333975215659,0.0086445621998339,0.9999869187559448,0.4637384523853251,0.0126687941563024,0.0270286347331529,0.9999887809828052,0.361761349402956,0.1521140089626186,0.0348484426754251,0.9988889267165608
Dakar,Senegal,Africa,28624,43129,2.8047991887820003,0.3565317631292726,0.3434682368707273,0.0017282831321427,0.0030329316685899,0.9999961208213604,0.5180681307291883,0.0061936729904577,0.0110972688714778,0.9999962920518606,0.0750069871436556,0.5067775293460034,0.1714295695919508,0.9939982890016424
Dhaka,Bangladesh,Asia,35890,47996,2.6602806812070767,0.3759001849181792,0.3490998150818207,0.0018454101451414,0.0040650148279336,0.999981191740176,0.5254722511983856,0.0060810348159844,0.0126228521100577,0.9999808172436851,0.2112008916132627,0.3373363053775425,0.1062412928392309,0.929507449422004
Kuala Lumpur,Malaysia,Asia,37213,50999,2.5517365251333968,0.3918899894838175,0.3081100105161824,0.0105001921108582,0.0206455828304138,0.9999349071650416,0.3796423818006206,0.0299616602956794,0.0576901207451786,0.999920611916449,0.1679789320936232,0.3704888076747373,0.1009862144949345,0.9841540457152068
Melbourne,Australia,Oceania,35052,51621,2.6588738504446927,0.3760990766195062,0.3239009233804937,0.0009066778269236,0.0033517566046016,0.9973052836268724,0.6024056062793033,0.0029798173622181,0.0097864725795899,0.9981217767277744,0.0936893757845486,0.4727262353075431,0.1504051124044277,0.8187344276672944
