graph,arm,target_fraction,achieved_fraction,accepted_swaps,chi_chord,pc,mean_degree,pc_k_over_2,mean_chord_len_ratio,seconds
gabriel20k,noncross,0.04,0.0032098703513303408,128,0.0014293953908267923,0.525,3.9877,1.04677125,0.007102369497755549,4347.5
gabriel20k,noncross,0.08,0.006093738245103694,243,0.00278355944529428,0.525,3.9877,1.04677125,0.007132277568645742,8785.5
delaunay20k,noncross,0.005,0.0,0,0.0,0.325,5.9967,0.97446375,0.008330622207168294,659.8
delaunay20k,noncross,0.01,0.0,0,0.0,0.325,5.9967,0.97446375,0.008330622207168294,1984.4
delaunay20k,noncross,0.02,0.0,0,0.0,0.325,5.9967,0.97446375,0.008330622207168294,4623.4
delaunay20k,noncross,0.04,0.0,0,0.0,0.325,5.9967,0.97446375,0.008330622207168294,9652.4
delaunay20k,noncross,0.08,0.0,0,0.0,0.325,5.9967,0.97446375,0.008330622207168294,19800.9
tehran_iran,noncross,0.005,0.0001293577388267253,14,0.03730122797453501,0.7,2.5283137877867587,0.8849098257253655,69.0380832758123,766.5
tehran_iran,noncross,0.01,0.0004157927319430456,45,0.037402866197898864,0.7,2.5283137877867587,0.8849098257253655,69.12905169949337,2281.8
tehran_iran,noncross,0.02,0.0011549798109529046,125,0.037726260544965674,0.7,2.5283137877867587,0.8849098257253655,69.26593103803152,5251.4
tehran_iran,noncross,0.04,0.0023746384913191716,257,0.038299130531198315,0.7,2.5283137877867587,0.8849098257253655,69.46240074686617,10937.7
tehran_iran,noncross,0.08,0.004887874559952692,529,0.03938943147273786,0.7,2.5283137877867587,0.8849098257253655,70.05095669779294,22320.1
